"SP","dDBH.mult","dHt.mult","mort.mult","n","mean_obs_cm","mean_def_cm","rmse_def_cm","rmse_cal_cm"
"BF",1.3729,1,1,6000,1.301,0.966,0.906,0.82
"RM",1.5305,1,1,6000,1.27,0.836,0.984,0.874
"RS",1.2907,1,1,6000,1.286,0.989,0.793,0.731
"WC",1.22,1,1,6000,0.953,0.763,0.616,0.589
"SM",1.1443,1,1,6000,1.337,1.175,0.928,0.912
"EH",1.3973,1,1,6000,1.562,1.092,1.024,0.913
"AB",1.3729,1,1,6000,1.384,1.012,0.98,0.899
"YB",1.4628,1,1,6000,1.517,1.052,1.127,1.01
"PB",1.546,1,1,6000,0.937,0.608,0.784,0.707
"WP",1.2358,1,1,6000,2.047,1.613,1.406,1.343
"RO",1.9421,1,1,6000,1.977,0.997,1.527,1.172
"BS",1.7048,1,1,6000,0.894,0.548,0.714,0.584
"WA",1.6788,1,1,6000,1.61,0.972,1.303,1.113
"QA",1.5233,1,1,6000,1.932,1.306,1.359,1.163
"WS",1.4933,1,1,6000,1.625,1.113,1.187,1.032
"ST",1.0474,1,1,6000,1.016,0.971,0.698,0.696
"BT",1.748,1,1,5041,2.087,1.223,1.58,1.272
"GB",1.2022,1,1,3280,1.023,0.809,0.762,0.741
"BA",1.2659,1,1,2840,0.849,0.673,0.674,0.648
"TA",1.4787,1,1,2498,1.459,0.964,1.164,1.054
"BC",0.9366,1,1,2411,1.383,1.418,1.226,1.223
"RN",1.602,1,1,1647,2.139,1.354,1.406,1.097
"BP",1.3841,1,1,1525,1.684,1.206,1.154,1.042
"AE",0.7633,1,1,923,1.888,2.371,1.61,1.489
"MM",1.0839,1,1,923,0.688,0.606,0.548,0.545
"WO",0.8761,1,1,738,1.101,1.24,0.716,0.696
"NS",1.2884,1,1,687,2.006,1.526,1.179,1.077
"BW",0.8835,1,1,536,1.363,1.43,1.073,1.058
"BO",1.0374,1,1,510,1.847,1.745,1.135,1.133
"GA",1.0607,1,1,278,1.286,1.229,0.904,0.901
"SV",0.9614,1,1,145,1.939,1.487,2.05,2.049
"JP",1.708,1,1,42,1.143,0.705,0.754,0.548
"BN",0.8817,1,1,31,2.638,2.314,2.392,2.372
"SC",1.105,1,1,31,1.647,1.423,1.023,1.006
"99",1,1,1,0,NA,NA,NA,NA
"AH",1,1,1,0,NA,NA,NA,NA
"AI",1,1,1,0,NA,NA,NA,NA
"AL",1,1,1,0,NA,NA,NA,NA
"AP",1,1,1,0,NA,NA,NA,NA
"AW",1,1,1,0,NA,NA,NA,NA
"BE",1,1,1,0,NA,NA,NA,NA
"BH",1,1,1,0,NA,NA,NA,NA
"BR",1,1,1,0,NA,NA,NA,NA
"CC",1,1,1,0,NA,NA,NA,NA
"DW",1,1,1,0,NA,NA,NA,NA
"EC",1,1,1,0,NA,NA,NA,NA
"HH",1,1,1,0,NA,NA,NA,NA
"HT",1,1,1,0,NA,NA,NA,NA
"MA",1,1,1,0,NA,NA,NA,NA
"NM",1,1,1,0,NA,NA,NA,NA
"OH",1,1,1,0,NA,NA,NA,NA
"OS",1,1,1,0,NA,NA,NA,NA
"PP",1,1,1,0,NA,NA,NA,NA
"PR",1,1,1,0,NA,NA,NA,NA
"SB",1,1,1,0,NA,NA,NA,NA
"SE",1,1,1,0,NA,NA,NA,NA
"SH",1,1,1,0,NA,NA,NA,NA
"SO",1,1,1,0,NA,NA,NA,NA
"SW",1,1,1,0,NA,NA,NA,NA
"SY",1,1,1,0,NA,NA,NA,NA
"TM",1,1,1,0,NA,NA,NA,NA
"WI",1,1,1,0,NA,NA,NA,NA
"YP",1,1,1,0,NA,NA,NA,NA
