"SP","n_ht","dHt.mult","obs_grow_m_yr","pred_grow_m_yr","frac_neg"
"BF",6000,1.1401,0.164,0.144,0.172
"RM",6000,1.4123,0.146,0.103,0.274
"RS",6000,0.9426,0.145,0.154,0.229
"WC",6000,0.4603,0.067,0.146,0.342
"SM",6000,1.039,0.129,0.124,0.286
"EH",6000,1.1468,0.158,0.138,0.211
"AB",6000,1.4788,0.143,0.097,0.261
"YB",6000,1.4274,0.153,0.107,0.256
"PB",6000,1.0825,0.109,0.1,0.296
"WP",6000,1.2976,0.246,0.189,0.173
"RO",6000,1.2389,0.174,0.14,0.262
"BS",6000,1.3772,0.122,0.088,0.226
"WA",6000,1.5288,0.176,0.115,0.258
"QA",6000,1.3184,0.224,0.17,0.216
"WS",6000,1.3134,0.231,0.176,0.169
"ST",6000,0.6043,0.171,0.283,0.122
"BT",5041,1.3986,0.231,0.165,0.218
"GB",3280,1.2398,0.166,0.134,0.173
"BA",2840,0.6457,0.112,0.173,0.278
"TA",2498,1.8888,0.213,0.113,0.239
"BC",2411,1.0639,0.156,0.147,0.239
"RN",1647,1.6113,0.336,0.208,0.124
"BP",1525,0.6696,0.21,0.313,0.228
"AE",923,0.8361,0.207,0.248,0.213
"MM",923,0.7656,0.114,0.149,0.124
"WO",738,0.5576,0.117,0.21,0.31
"NS",687,2.2845,0.372,0.163,0.105
"BW",536,0.6292,0.143,0.228,0.272
"BO",510,0.5575,0.176,0.316,0.267
"GA",278,0.6823,0.144,0.211,0.234
"SV",145,0.6094,0.095,0.156,0.393
"JP",42,1.4349,0.275,0.192,0.095
"BN",31,0.3,0.1,0.335,0.323
"SC",31,2.1882,0.36,0.165,0.129
