variant,ecodiv,area_m2,area_pct,weight,source
acd,220,,41.55244660062311,0.44822582060743504,proxy_ne
acd,210,,20.01358151231628,0.2158863010612048,proxy_ne
acd,M210,,14.305220827756411,0.15431027217529802,proxy_ne
acd,M220,,12.178931351340069,0.13137400912980562,proxy_ne
acd,230,,4.654087713567392,0.050203597026256534,proxy_ne
ak,M240,1192515375.2678952,100.0,1.0,area
bc,M240,,55.22776248336596,0.5522776248336596,proxy_pn
bc,240,,42.22978701179108,0.4222978701179108,proxy_pn
bc,M260,,2.5424505048429613,0.025424505048429615,proxy_pn
bm,M330,35246996819.51983,73.94816173610276,0.7394816173610276,area
bm,340,12086312041.955725,25.35706977385893,0.2535706977385893,area
bm,330,331157694.5762951,0.6947684900383067,0.006947684900383067,area
ca,M260,74984358070.18648,58.997062300299895,0.589970623002999,area
ca,260,51648042120.62425,40.63624517298484,0.4063624517298484,area
ca,M240,466060557.13285017,0.3666925267152702,0.003666925267152702,area
ci,M330,62353109768.35156,52.86170155897671,0.528617015589767,area
ci,340,55602059909.23722,47.1382984410233,0.47138298441023296,area
cr,330,691090943585.0508,32.21259281645425,0.32270522903355287,area
cr,310,605389222103.5433,28.217930922272995,0.2826867713819573,area
cr,320,409927332054.2092,19.107213535887684,0.1914157533181258,area
cr,M330,171016337635.74463,7.9712803363390305,0.07985615629534082,area
cr,340,106428099000.87888,4.960743660682448,0.04969664901918588,area
cr,M310,89196493019.3075,4.157557463250208,0.04165034280360662,area
cr,250,59944403020.80801,2.79408182679662,0.02799106613343832,area
cr,M340,8545383062.552404,0.3983107398668273,0.003990270490414901,area
cr,M260,16621730.059427422,0.000774759135942,7.761524377581014e-06,area
cs,250,399108475725.4356,56.997445617630255,0.573809878563464,area
cs,220,268615031293.22693,38.36142695387515,0.38619565321565164,area
cs,330,15744802233.060364,2.2485453545130225,0.022636760697543726,area
cs,230,12073002662.609592,1.7241686272205126,0.01735770752334059,area
ec,340,68553240500.6308,61.59397742545173,0.6159397742545173,area
ec,M240,29832749049.2486,26.80424233864884,0.2680424233864884,area
ec,M330,10777027068.363976,9.682984452882064,0.09682984452882064,area
ec,330,2135593028.4578552,1.91879578301736,0.019187957830173602,area
em,330,429301138458.9647,82.66896715152058,0.8266896715152058,area
em,M330,87937889634.36008,16.933881274232498,0.16933881274232498,area
em,340,1073949020.2390144,0.2068064776050743,0.0020680647760507433,area
em,250,988464831.532926,0.1903450966418521,0.0019034509664185208,area
ie,M330,110559489320.29422,85.68015281435524,0.8568015281435524,area
ie,330,14721418674.772898,11.408639904662762,0.11408639904662761,area
ie,340,3756547808.5487967,2.911207280982,0.02911207280982,area
kt,330,,82.66896715152058,0.8266896715152058,proxy_em
kt,M330,,16.933881274232498,0.16933881274232498,proxy_em
kt,340,,0.2068064776050743,0.0020680647760507433,proxy_em
kt,250,,0.1903450966418521,0.0019034509664185208,proxy_em
ls,210,258209107230.97232,37.40064753889118,0.4614774533580011,area
ls,220,190785608616.512,27.634599646309823,0.3409765741645514,area
ls,250,107717869757.47914,15.602540606113894,0.19251593698577202,area
ls,330,2814440801.375508,0.407661486305211,0.005030035491675442,area
nc,260,26368679974.7634,54.02095640961263,0.5402095640961263,area
nc,M260,19337851932.87429,39.61704785075116,0.39617047850751164,area
nc,M240,3105413913.5793667,6.361995739636215,0.06361995739636214,area
ne,220,283332074387.4691,41.55244660062311,0.44822582060743504,area
ne,210,136465840875.95557,20.01358151231628,0.2158863010612048,area
ne,M210,97542460752.19728,14.305220827756411,0.15431027217529802,area
ne,M220,83044012227.81471,12.178931351340069,0.13137400912980562,area
ne,230,31734649440.509914,4.654087713567392,0.050203597026256534,area
oc,M260,,58.997062300299895,0.589970623002999,proxy_ca
oc,260,,40.63624517298484,0.4063624517298484,proxy_ca
oc,M240,,0.3666925267152702,0.003666925267152702,proxy_ca
on,210,,37.40064753889118,0.4614774533580011,proxy_ls
on,220,,27.634599646309823,0.3409765741645514,proxy_ls
on,250,,15.602540606113894,0.19251593698577202,proxy_ls
on,330,,0.407661486305211,0.005030035491675442,proxy_ls
op,M240,,55.22776248336596,0.5522776248336596,proxy_pn
op,240,,42.22978701179108,0.4222978701179108,proxy_pn
op,M260,,2.5424505048429613,0.025424505048429615,proxy_pn
pn,M240,40298682396.588806,55.22776248336596,0.5522776248336596,area
pn,240,30814298786.345474,42.22978701179108,0.4222978701179108,area
pn,M260,1855179366.2575505,2.5424505048429613,0.025424505048429615,area
sn,230,1093074830423.2578,63.953354402027,0.6596097793965146,area
sn,220,198581395788.34344,11.618551657239676,0.11983281201112368,area
sn,250,194709213820.0332,11.39199898322687,0.11749616586137081,area
sn,M220,102678496888.20187,6.007488342235348,0.061960754008915535,area
sn,M230,28949508495.33046,1.693770751129141,0.017469415982113847,area
sn,410,21406705383.26905,1.252458274449401,0.012917754413937737,area
sn,310,17730656487.259308,1.0373809061829866,0.010699463649334839,area
sn,330,22959329.66032569,0.0013432988352967,1.3854676688945775e-05,area
so,340,80495315910.25916,60.62122941414562,0.6062122941414563,area
so,M260,34685194949.50036,26.12150951307766,0.2612150951307766,area
so,M240,17565626914.044964,13.228718800815278,0.13228718800815278,area
so,M330,37899581.06321546,0.0285422719614468,0.0002854227196144681,area
tt,M330,44443242914.17799,57.1796814381264,0.5717968143812641,area
tt,340,33282343861.379013,42.820318561873606,0.42820318561873605,area
ut,340,306351903346.53,59.339658285407936,0.5933965828540794,area
ut,M340,118710770795.5361,22.9940029647421,0.22994002964742102,area
ut,320,36887897027.19508,7.145100717670685,0.07145100717670685,area
ut,M330,28275211241.0692,5.47684331210073,0.0547684331210073,area
ut,310,26042615821.85865,5.044394720078552,0.050443947200785516,area
wc,M240,48640508336.7644,93.45545095476244,0.9345545095476244,area
wc,M260,2189223872.5559025,4.206265749406291,0.04206265749406291,area
wc,240,1217000046.3606184,2.3382832958312814,0.023382832958312814,area
ws,M260,93380339619.34702,64.59381024457132,0.6459381024457131,area
ws,340,34591251878.22035,23.92774291732181,0.23927742917321812,area
ws,260,14747809793.319069,10.201475291221946,0.10201475291221947,area
ws,320,1846059804.8151188,1.276971546884935,0.01276971546884935,area
