component,metric,model,n_variants,mean_val,sd_val,min_val,max_val
Crown_Ratio,bias,calibrated,25,-0.002265082030642713,0.01203880800604565,-0.027769964799166814,0.01052973266666669
Crown_Ratio,r2,calibrated,25,0.24070174533622654,0.06358696639822241,0.13518510204537448,0.37568118099649495
Crown_Ratio,rmse,calibrated,25,1.5916741578576947,0.48163993759703777,0.991443453254624,3.02462235777312
Diameter_Growth,bias,calibrated,7,-0.8977487193596084,2.569059185333537,-6.71369109476156,0.38933935152443605
Diameter_Growth,r2,calibrated,7,-3.7827077955141464,11.660791694315026,-30.226607576114144,0.70836509259877
Diameter_Growth,rmse,calibrated,7,1.8960702680730068,2.9573529981745055,0.7015858986871449,8.6007700296582
Height_Diameter,bias,baseline,25,-0.9818174980328629,0.37896024130557365,-1.8933888295574695,-0.46980763318173396
Height_Diameter,bias,calibrated,25,0.018082941013516474,0.10447015286364823,-0.2285653150663304,0.21550882149528267
Height_Diameter,r2,baseline,25,0.8071876759139408,0.04579558221993406,0.7190801014787482,0.878453102161809
Height_Diameter,r2,calibrated,25,0.8373419914236027,0.04089261249844508,0.7495786549830092,0.898420618208533
Height_Diameter,rmse,baseline,25,11.718053253674645,3.7903846154217926,3.9757301597306274,18.819008720870357
Height_Diameter,rmse,calibrated,25,10.70904142981998,3.3102397341534733,3.6062140505626905,16.576336154798213
Mortality,auc,calibrated,25,0.7754469938058604,0.10436983335405128,0.6596569237745051,0.9335181136985549
Mortality,brier_score,calibrated,25,0.07460929003302258,0.040229973831213205,0.0221231909887381,0.1543911691887349
Mortality,overall_mort_rate,calibrated,25,0.10115457017940868,0.05088304050214703,0.04251386321626616,0.23220633214846653
SDIMAX,correlation,comparison,15,0.46150945615793243,0.41116073382738355,-0.7793460394014181,0.773626020427941
SDIMAX,mean_pct_change,comparison,15,-24.947920090893486,8.437591693597206,-42.48111650223783,-10.340283095124637
