variant,sp_idx,SPCD,sp_code,default_sdimax,calibrated_sdimax,pct_change,abs_change
AK,1,11,SF,790,NA,NA,NA
AK,2,19,AF,602,NA,NA,NA
AK,3,42,YC,592,613.6643459740824,3.6595179010274292,21.66434597408238
AK,4,71,TA,387,NA,NA,NA
AK,5,94,WS,412,274.9101589417556,-33.27423326656418,-137.08984105824442
AK,7,95,BE,500,504.3316071300146,0.8663214260029235,4.331607130014618
AK,8,98,SS,654,577.8071502580482,-11.650282835160828,-76.19284974195182
AK,9,108,LP,679,347.58704854543316,-48.80897665015712,-331.41295145456684
AK,10,242,RC,762,707.8081065098283,-7.111797045954285,-54.19189349017165
AK,11,263,WH,682,599.1489966310419,-12.14824096319034,-82.85100336895812
AK,12,264,MH,687,565.7284730285234,-17.65233289250024,-121.27152697147665
AK,13,299,OS,412,NA,NA,NA
AK,14,350,AD,441,NA,NA,NA
AK,15,351,RA,441,NA,NA,NA
AK,16,375,PB,466,222.11513148139255,-52.33580869498014,-243.88486851860745
AK,17,376,AB,466,229.02753883217156,-50.85245947807477,-236.97246116782844
AK,18,741,BA,384,NA,NA,NA
AK,19,746,AS,562,298.768875231104,-46.83827842862918,-263.231124768896
AK,20,747,CW,452,329.49309174518476,-27.10329828646355,-122.50690825481524
AK,21,920,WI,447,NA,NA,NA
AK,22,928,SU,447,NA,NA,NA
AK,23,998,OH,452,NA,NA,NA
CR,1,19,AF,602,446.59932338444406,-25.814065882982714,-155.40067661555594
CR,2,18,CB,423,464.3165387618285,9.767503253387352,41.3165387618285
CR,3,202,DF,570,429.28027716891495,-24.687670672120184,-140.71972283108505
CR,4,17,GF,562,NA,NA,NA
CR,5,15,WF,634,405.9638628240496,-35.96784498043382,-228.0361371759504
CR,6,264,MH,687,NA,NA,NA
CR,7,242,RC,762,NA,NA,NA
CR,8,73,WL,423,NA,NA,NA
CR,9,102,BC,621,373.66302896300186,-39.82881981272112,-247.33697103699814
CR,10,113,LM,409,334.27595981828244,-18.269936474747567,-74.72404018171756
CR,11,108,LP,679,386.2642485092736,-43.112776360931726,-292.7357514907264
CR,12,106,PI,348,312.5891426322586,-10.175533726362476,-35.410857367741414
CR,13,122,PP,446,337.63908918383794,-24.296168344430956,-108.36091081616206
CR,14,101,WB,621,NA,NA,NA
CR,15,114,SW,529,NA,NA,NA
CR,16,65,UJ,497,385.99866435461706,-22.33427276567061,-111.00133564538294
CR,17,96,BS,620,290.69666240734614,-53.113441547202235,-329.30333759265386
CR,18,93,ES,620,491.96115941641585,-20.65142590057809,-128.03884058358415
CR,19,94,WS,412,NA,NA,NA
CR,20,746,AS,562,423.33006191620376,-24.67436620708118,-138.66993808379624
CR,21,749,NC,452,NA,NA,NA
CR,22,745,PW,452,NA,NA,NA
CR,23,814,GO,652,457.7100768302454,-29.799067970821262,-194.28992316975462
CR,24,803,AW,403,338.74553545507524,-15.944035867226987,-64.25446454492476
CR,25,810,EM,284,247.4905252413278,-12.8554488586874,-36.50947475867221
CR,26,823,BK,423,NA,NA,NA
CR,27,843,SO,284,502.4254717786371,76.91037738684405,218.42547177863707
CR,28,375,PB,466,NA,NA,NA
CR,29,63,AJ,395,362.71348043284735,-8.173802422063963,-32.28651956715265
CR,30,66,RM,411,404.2444912537743,-1.64367609397219,-6.755508746225701
CR,31,69,OJ,408,335.8194696908269,-17.69130644832674,-72.1805303091731
CR,32,68,ER,354,NA,NA,NA
CR,33,133,PM,358,NA,NA,NA
CR,34,134,PD,348,165.33343492985802,-52.49039226153506,-182.66656507014198
CR,35,143,AZ,358,211.764998748946,-40.847765712584916,-146.235001251054
CR,36,118,CI,446,NA,NA,NA
CR,37,299,OS,348,NA,NA,NA
CR,38,998,OH,452,NA,NA,NA
CS,1,68,RC,354,303.19756468402244,-14.350970428242249,-50.80243531597756
CS,2,57,JU,354,NA,NA,NA
CS,3,110,SP,490,252.10506502134515,-48.54998673033773,-237.89493497865485
CS,4,132,VP,499,318.9853736703264,-36.07507541676826,-180.0146263296736
CS,5,131,LP,480,378.94032665644545,-21.05409861324053,-101.05967334355455
CS,6,299,OS,354,NA,NA,NA
CS,7,129,WP,529,363.1037763151849,-31.36034474193102,-165.89622368481508
CS,8,602,WN,283,297.0469805993547,4.9635973849309885,14.046980599354697
CS,9,601,BN,283,NA,NA,NA
CS,10,690,TL,430,NA,NA,NA
CS,11,694,TS,704,NA,NA,NA
CS,12,691,WT,726,NA,NA,NA
CS,13,693,BG,430,234.8921469175479,-45.37391932150049,-195.1078530824521
CS,15,407,SH,302,207.7938413469438,-31.194092269223912,-94.2061586530562
CS,16,405,SL,302,NA,NA,NA
CS,17,409,MH,230,279.416669829399,21.485508621477816,49.416669829398984
CS,18,403,PH,276,281.4357258426354,1.9694658850128284,5.4357258426354065
CS,19,400,HI,302,243.8723255838189,-19.247574309993738,-58.127674416181094
CS,20,401,WH,301,NA,NA,NA
CS,21,402,BH,301,257.9396274792094,-14.30577160159157,-43.06037252079062
CS,22,404,PE,338,NA,NA,NA
CS,23,408,BI,289,NA,NA,NA
CS,24,531,AB,364,307.73908671663946,-15.45629485806608,-56.26091328336054
CS,25,543,BA,423,NA,NA,NA
CS,26,545,PA,408,NA,NA,NA
CS,27,546,UA,408,NA,NA,NA
CS,28,742,EC,648,NA,NA,NA
CS,29,316,RM,421,309.62354486044165,-26.455214997519796,-111.37645513955835
CS,30,313,BE,344,269.8881276689565,-21.544148933442884,-74.11187233104351
CS,31,317,SV,590,318.8125173870576,-45.963980103888545,-271.1874826129424
CS,32,762,BC,384,219.3557879741608,-42.87609688172896,-164.6442120258392
CS,33,972,AE,282,205.9960849089284,-26.951742940096313,-76.0039150910716
CS,34,461,SG,339,NA,NA,NA
CS,35,462,HK,420,261.28842023391206,-37.788471372878085,-158.71157976608794
CS,36,971,WE,263,NA,NA,NA
CS,37,970,EL,282,NA,NA,NA
CS,38,974,SI,282,NA,NA,NA
CS,39,975,RL,227,190.26915491438305,-16.180989024500857,-36.73084508561695
CS,40,977,RE,282,NA,NA,NA
CS,41,621,YP,478,342.19708733840247,-28.41065118443463,-135.80291266159753
CS,42,951,BW,526,266.482983975773,-49.337835746050764,-259.517016024227
CS,43,318,SM,371,289.588346001751,-21.94384204804555,-81.411653998249
CS,44,540,AS,414,NA,NA,NA
CS,45,541,WA,408,252.18456157068115,-38.19005843855854,-155.81543842931885
CS,46,544,GA,414,321.0005029431393,-22.463646632091958,-92.99949705686072
CS,47,802,WO,361,306.81218425919417,-15.01047527446145,-54.18781574080583
CS,48,833,RO,414,327.02703596232,-21.007962327942032,-86.97296403768001
CS,49,812,SK,342,297.040350675695,-13.146096293656438,-44.95964932430502
CS,50,837,BO,370,297.5421541081586,-19.58320159238956,-72.45784589184137
CS,51,806,SO,315,317.5032826951416,0.7946929190925691,2.5032826951415927
CS,52,824,BJ,326,NA,NA,NA
CS,53,826,CK,336,272.47629519770913,-18.905864524491328,-63.523704802290865
CS,54,804,SW,361,NA,NA,NA
CS,55,823,BR,423,NA,NA,NA
CS,56,825,SN,417,NA,NA,NA
CS,57,835,PO,311,251.34841935135847,-19.18057255583329,-59.65158064864153
CS,58,836,DO,311,NA,NA,NA
CS,59,832,CO,417,306.12103088679874,-26.58968084249431,-110.87896911320126
CS,60,830,PN,455,NA,NA,NA
CS,61,813,CB,405,275.32981941196897,-32.017328540254574,-129.67018058803103
CS,62,817,QI,370,NA,NA,NA
CS,63,822,OV,384,NA,NA,NA
CS,64,827,WK,365,NA,NA,NA
CS,65,828,NK,342,NA,NA,NA
CS,66,831,WL,315,NA,NA,NA
CS,67,834,QS,342,301.0808449602076,-11.96466521631356,-40.91915503979237
CS,69,931,SS,492,245.27239529762096,-50.14788713462988,-246.72760470237904
CS,70,331,OB,371,NA,NA,NA
CS,71,450,CA,492,NA,NA,NA
CS,72,521,PS,147,NA,NA,NA
CS,73,552,HL,338,NA,NA,NA
CS,74,741,BP,384,NA,NA,NA
CS,75,743,BT,520,NA,NA,NA
CS,76,746,QA,562,NA,NA,NA
CS,77,901,BK,343,274.373350342887,-20.007769579333228,-68.62664965711298
CS,79,731,SY,499,312.7007648228117,-37.3345160675728,-186.29923517718828
CS,80,221,BY,692,NA,NA,NA
CS,81,373,RB,400,NA,NA,NA
CS,82,611,SU,430,361.54663819900406,-15.919386465347891,-68.45336180099594
CS,83,920,WI,447,NA,NA,NA
CS,84,922,BL,447,NA,NA,NA
CS,85,998,OH,257,NA,NA,NA
CS,86,391,AH,375,NA,NA,NA
CS,87,471,RD,422,NA,NA,NA
CS,88,491,DW,257,343.51619121210604,33.663887631169665,86.51619121210604
CS,89,500,HT,463,NA,NA,NA
CS,90,571,KC,343,NA,NA,NA
CS,91,641,OO,404,NA,NA,NA
CS,92,651,CT,415,NA,NA,NA
CS,93,653,MV,492,NA,NA,NA
CS,94,680,MB,277,NA,NA,NA
CS,95,701,HH,304,NA,NA,NA
CS,96,711,SD,164,244.57518664048263,49.131211366147944,80.57518664048263
EC,1,119,WP,645,NA,NA,NA
