variant,size_class,n,obs_mort_rate,pred_mort_rate,resid_rate
ACD,Sapling (1-5),14968,0.034607161945483744,0.03536111074627035,7.53948800786608e-4
ACD,Pole (5-9),23689,0.0582126725484402,0.05535947639222982,-0.0028531961562103803
ACD,SmallSaw (9-15),9521,0.04547841613275916,0.05112745836247323,0.005649042229714074
ACD,MedSaw (15-21),1519,0.030283080974325194,0.029612280736544982,-6.708002377802114e-4
ACD,LargeSaw (21+),303,0.04290429042904287,0.02440619545419309,-0.018498094974849777
AK,Sapling (1-5),5947,0.08592567681183794,0.08092153404827906,-0.005004142763558872
AK,Pole (5-9),17296,0.07140379278445885,0.07044975848641766,-9.540342980411953e-4
AK,SmallSaw (9-15),9881,0.06254427689505115,0.06224052215422182,-3.0375474082933174e-4
AK,MedSaw (15-21),3563,0.051922537187763074,0.05381077016071911,0.0018882329729560388
AK,LargeSaw (21+),2410,0.05518672199170127,0.05228723085730069,-0.002899491134400578
BC,Sapling (1-5),5103,0.09563002155594746,0.10324853022077762,0.007618508664830159
BC,Pole (5-9),21408,0.1313527653213752,0.1236152981310461,-0.007737467190329084
BC,SmallSaw (9-15),12712,0.12279735682819382,0.11973841528884355,-0.0030589415393502684
BC,MedSaw (15-21),3943,0.09459802181080401,0.10932923745967305,0.014731215648869034
BC,LargeSaw (21+),6834,0.07609013754755634,0.08245019968495038,0.00636006213739404
BM,Sapling (1-5),5506,0.05448601525608432,0.0673858960171988,0.01289988076111448
BM,Pole (5-9),18218,0.09441211988143594,0.08570348825318375,-0.008708631628252195
BM,SmallSaw (9-15),12753,0.08335293656394571,0.08080294931376686,-0.0025499872501788534
BM,MedSaw (15-21),4499,0.06845965770171147,0.07643694086388564,0.007977283162174165
BM,LargeSaw (21+),9024,0.0735815602836879,0.07952147851163771,0.005939918227949814
CA,Sapling (1-5),3126,0.12827895073576456,0.12914141801788137,8.624672821168078e-4
CA,Pole (5-9),15638,0.1261670290318455,0.12061282052433686,-0.005554208507508651
CA,SmallSaw (9-15),8193,0.11729525204442814,0.11731301122375182,1.7759179323673102e-5
CA,MedSaw (15-21),2925,0.107008547008547,0.11562218711781125,0.008613640109264242
CA,LargeSaw (21+),8149,0.12345073015093877,0.12220018525178322,-0.001250544899155548
CI,Sapling (1-5),2512,0.13654458598726116,0.15159074040826237,0.015046154421001212
CI,Pole (5-9),12044,0.23945533045499834,0.2358486553597483,-0.0036066750952500337
CI,SmallSaw (9-15),6631,0.2596893379580757,0.2506151331814782,-0.009074204776597483
CI,MedSaw (15-21),1999,0.2111055527763882,0.24862961197743028,0.03752405920104207
CI,LargeSaw (21+),1008,0.24503968253968256,0.23627083505659008,-0.008768847483092479
CR,Sapling (1-5),5734,0.10237181723055455,0.09510366150392946,-0.007268155726625092
CR,Pole (5-9),24130,0.12237878159966842,0.12076122062033345,-0.0016175609793349643
CR,SmallSaw (9-15),14707,0.12075882232950297,0.12571108812240306,0.00495226579290009
