SPCD,variant,n,obs_mort,auc,common_name
11,AK,8,0,NA,SPCD 11
11,BC,2039,0.083864639529181,0.7489418585721979,SPCD 11
11,CA,9,0,NA,SPCD 11
11,EC,3256,0.09367321867321865,0.6679825121798112,SPCD 11
11,OC,4,0,NA,SPCD 11
11,OP,1228,0.09690553745928343,0.6086488698274621,SPCD 11
11,PN,1494,0.09236947791164662,0.8935007053995127,SPCD 11
11,SO,268,0.03358208955223885,0.9631059631059631,SPCD 11
11,WC,7019,0.08277532412024502,0.759585004911137,SPCD 11
12,ACD,10701,0.07046070460704612,0.9365188549711349,Balsam fir
12,LS,3583,0.0929388780351661,0.9021150381150381,Balsam fir
12,NE,5619,0.06460224239188472,0.9208355870871437,Balsam fir
12,ON,3618,0.0901050304035379,0.9182252569903615,Balsam fir
15,BC,1052,0.12167300380228141,0.5898183847402597,White fir
15,BM,492,0.08536585365853655,0.7582539682539683,White fir
15,CA,5355,0.17198879551820734,0.6149174501446477,White fir
15,CR,768,0.19791666666666663,0.6368442412850308,White fir
15,EC,10,0.09999999999999998,0.4444444444444444,White fir
15,LS,1,1,0,White fir
15,NC,20,0.4,0.8854166666666666,White fir
15,OC,6740,0.17403560830860532,0.5933816236251531,White fir
15,OP,2451,0.10934312525499801,0.5454615379356083,White fir
15,SO,8029,0.1117200149458214,0.5854046422580159,White fir
15,UT,1184,0.15118243243243246,0.5319102809972484,White fir
15,WC,1090,0.12110091743119267,0.721270639590055,White fir
15,WS,8851,0.18664557677098637,0.6027638860253324,White fir
16,NE,1,0,0,SPCD 16
16,SN,8,0.375,0,SPCD 16
17,BC,2606,0.12624712202609367,0.69031934249325555,Grand fir
17,BM,10589,0.08716592690527902,0.7255137407391715,Grand fir
17,CI,737,0.10854816824966074,0.5447869101978691,Grand fir
17,EC,3399,0.16828478964401294,0.6086896831502421,Grand fir
17,IE,5920,0.12111486486486489,0.6663449983661931,Grand fir
17,KT,664,0.15963855421686746,0.7252654358558193,Grand fir
17,NC,49,0.020408163265306145,1,Grand fir
17,OC,40,0.07499999999999996,0.6126126126126126,Grand fir
17,OP,3005,0.09683860232945096,0.6606560864247241,Grand fir
17,PN,197,0.15228426395939088,0.8854291417165668,Grand fir
17,SO,310,0.1548387096774193,0.53125,Grand fir
17,WC,619,0.20516962843295639,0.5855098905319762,Grand fir
18,CR,697,0.24246771879483497,0.7852115832885064,SPCD 18
19,AK,10,0,NA,Subalpine fir
19,BC,3197,0.19174225836721925,0.5584561033136531,Subalpine fir
19,BM,1904,0.1601890756302521,0.7876849260295882,Subalpine fir
19,CA,6,0,NA,Subalpine fir
19,CI,5111,0.2768538446487967,0.7307183393755832,Subalpine fir
19,CR,2165,0.13949191685912243,0.7804402924855943,Subalpine fir
19,EC,4730,0.25644820295983084,0.6463972775268212,Subalpine fir
19,EM,5831,0.13188132395815466,0.6323823855967537,Subalpine fir
19,IE,8294,0.1772365565469014,0.611412501694699,Subalpine fir
19,KT,7562,0.14533192277175355,0.6299052054833865,Subalpine fir
19,OP,526,0.18060836501901145,0.6924899255098302,Subalpine fir
19,PN,305,0.1672131147540984,0.8820441562451752,Subalpine fir
19,SO,189,0.2328042328042328,0.5263322884012539,Subalpine fir
19,UT,1924,0.15124740124740121,0.6604040799405727,Subalpine fir
19,WC,483,0.11387163561076608,0.5815208156329652,Subalpine fir
20,BC,19,0.052631578947368474,1,SPCD 20
20,CA,980,0.20612244897959187,0.6137723026801395,SPCD 20
20,OC,2231,0.15194979829672794,0.6700281265006517,SPCD 20
20,OP,24,0,NA,SPCD 20
20,SO,152,0.02631578947368418,1,SPCD 20
20,WC,8,0,NA,SPCD 20
20,WS,4783,0.14237925987873723,0.716173336168525,SPCD 20
21,BC,260,0.11923076923076925,0.673334272432737,SPCD 21
21,CA,489,0.1370143149284253,0.5684728018674401,SPCD 21
21,OC,398,0.13819095477386933,0.7036310628147363,SPCD 21
21,OP,524,0.08969465648854957,0.6800035684018021,SPCD 21
21,SO,1448,0.058011049723756924,0.871631057114928,SPCD 21
21,WC,469,0.15565031982942434,0.6893593468935935,SPCD 21
22,BC,296,0.07094594594594594,0.7172294372294372,SPCD 22
22,CA,32,0.21875,0.7371428571428572,SPCD 22
22,EC,365,0.0821917808219178,0.582089552238806,SPCD 22
22,OC,7,0.2857142857142857,0.8,SPCD 22
22,OP,357,0.07843137254901966,0.69398610508033,SPCD 22
22,PN,59,0.06779661016949157,0.9590909090909091,SPCD 22
22,SO,37,0.16216216216216217,1,SPCD 22
22,WC,1089,0.08539944903581265,0.663438701040722,SPCD 22
41,BC,49,0.04081632653061229,0.8297872340425532,SPCD 41
41,CA,55,0,NA,SPCD 41
41,NC,442,0.0678733031674208,0.6753236245954692,SPCD 41
41,OC,51,0.039215686274509776,0.9795918367346939,SPCD 41
41,OP,101,0.05940594059405946,0.643859649122807,SPCD 41
41,PN,36,0.02777777777777779,0.6857142857142857,SPCD 41
42,AK,4883,0.049150112635674814,0.9180648287744992,SPCD 42
42,BC,108,0.01851851851851849,0.0849056603773585,SPCD 42
42,EC,190,0.0368421052631579,0.4754098360655738,SPCD 42
42,OP,9,0.11111111111111116,1,SPCD 42
42,PN,82,0,NA,SPCD 42
42,WC,397,0.027707808564231717,0.655440414507772,SPCD 42
43,NE,73,0.09589041095890416,0.9805194805194805,SPCD 43
43,SN,15,0.1333333333333333,0.6153846153846154,SPCD 43
51,CR,39,0.17948717948717952,0.6428571428571429,SPCD 51
