component,metric,n_variants,mean,sd,min,max
Crown_Ratio,bias,25,0.001,0.01,-0.024,0.024
Crown_Ratio,r2,25,0.237,0.061,0.135,0.376
Crown_Ratio,rmse,25,1.553,0.46,0.991,3.025
Diameter_Growth,bias,25,0.066,0.247,-0.548,0.617
Diameter_Growth,r2,25,0.562,0.104,0.305,0.686
Diameter_Growth,rmse,25,0.832,0.105,0.642,1.13
Height_Diameter,bias,25,-0.496,0.589,-1.893,0.216
Height_Diameter,r2,25,0.822,0.046,0.719,0.898
Height_Diameter,rmse,25,11.612,3.489,3.606,18.819
Mortality,auc,25,0.766,0.099,0.66,0.934
Mortality,brier_score,25,0.078,0.038,0.023,0.154
Mortality,overall_mort_rate,25,0.104,0.049,0.043,0.232
SDIMAX,correlation,15,0.597,0.127,0.406,0.789
SDIMAX,mean_pct_change,15,-23.259,6.796,-39.56,-11.383
