common_name,n_variants,total_n,mean_r2,sd_r2,mean_rmse,mean_bias
Douglas fir,21,189961,0.639,0.495,13.344,-0.355
Chestnut oak,21,27199,0.708,0.143,9.767,-0.621
SPCD 763,19,344,-1.552,5.626,6.841,-4.41
Lodgepole pine,18,96418,0.644,0.094,11.161,0.299
Subalpine fir,17,45387,0.778,0.041,11.057,-1.56
Ponderosa pine,17,79744,0.823,0.077,13.584,-1.585
SPCD 475,16,5976,-0.534,1.923,3.766,-0.473
SPCD 920,16,222,-0.483,2.373,8.919,-3.319
White fir,15,35522,0.813,0.099,14.829,-3.196
Engelmann spruce,15,25040,0.66,0.461,12.212,-0.94
Paper birch,15,9702,0.264,0.823,9.419,-1.201
SPCD 747,15,1902,0.66,0.188,16.612,-0.653
SPCD 760,15,76,-0.387,1.744,10.76,-2.435
SPCD 101,14,10640,0.606,0.093,15.389,-7.141
SPCD 119,14,3056,0.709,0.463,15.689,-2.008
SPCD 231,14,828,0.166,1.199,5.048,-0.74
SPCD 351,14,11075,0.512,0.359,11.668,-0.754
Grand fir,13,29034,0.859,0.041,12.92,0.024
SPCD 264,13,20629,0.837,0.05,11.188,0.917
SPCD 313,13,1670,-0.608,3.356,9.644,-0.441
SPCD 321,13,729,-4.252,13.908,8.051,-2.465
SPCD 374,13,86,-114.911,303.926,9.516,-7.916
SPCD 768,13,670,-0.355,1.425,7.086,-0.807
Western hemlock,12,45923,0.863,0.054,12.741,0.166
SPCD 64,11,10401,0.368,0.265,7.782,-0.227
SPCD 242,11,14598,0.877,0.046,12.584,0.609
SPCD 352,11,428,0.552,0.197,10.126,-2.995
SPCD 660,11,300,-40.856,109.299,13.515,-9.272
SPCD 11,10,14413,0.158,1.582,15.332,-5.746
SPCD 65,10,20942,0.094,0.221,4.435,-0.042
SPCD 66,10,6338,-1.586,5.356,6.64,-2.023
SPCD 73,10,10897,0.811,0.115,11.269,0.513
SPCD 81,10,12849,0.873,0.038,11.399,-0.029
SPCD 312,10,5354,0.511,0.252,13.366,-1.237
SPCD 431,10,1835,-0.982,4.284,8.324,-1.192
SPCD 740,10,71,-0.605,2.337,19.743,-14.715
SPCD 815,10,4207,0.515,0.165,9.509,0.24
SPCD 901,10,809,-4.408,14.101,16.352,-8.058
SPCD 22,9,2258,0.781,0.2,14.824,-3.93
SPCD 94,9,5802,-10.524,23.054,13.635,-1.967
SPCD 103,9,568,0.583,0.229,19.231,-11.332
SPCD 117,9,4770,0.865,0.031,15.628,-0.773
SPCD 361,9,4268,0.346,0.777,11.093,-0.576
SPCD 492,9,706,0.496,0.125,7.224,-1.574
SPCD 544,9,3304,0.508,0.34,9.538,0.552
SPCD 742,9,456,0.567,0.569,10.528,0.136
SPCD 805,9,14671,-27.204,74.835,11.962,-6.147
SPCD 818,9,8318,0.559,0.089,10.915,-0.821
SPCD 999,9,157,-0.248,1.481,19.931,-18.234
SPCD 20,8,7404,0.869,0.037,20.857,-8.549
SPCD 98,8,8814,0.754,0.115,19.294,1.482
SPCD 113,8,2883,0.485,0.032,9.846,-0.318
SPCD 116,8,7295,0.824,0.081,13.99,-1.739
SPCD 542,8,381,0.544,0.356,11.147,-1.009
SPCD 631,8,15047,-5.422,17.269,15.081,-4.863
SPCD 972,8,4494,-5.317,15.988,9.681,-3.487
SPCD 21,7,3314,0.891,0.019,14.172,0.712
SPCD 41,7,1333,0.853,0.03,38.718,-24.416
SPCD 96,7,327,-0.077,1.581,10.956,-6.331
SPCD 130,7,359,-0.975,2.551,11.816,-2.875
SPCD 500,7,378,0.135,0.147,6.412,-1.892
SPCD 661,7,67,-3.945,4.848,12.248,-7.291
SPCD 741,7,1576,-160.735,395.514,13.87,-8.698
SPCD 771,7,51,-2.076,4.092,23.055,-19.73
SPCD 981,7,2848,0.628,0.096,9.87,-0.093
SPCD 42,6,6150,0.855,0.068,11.163,1.106
SPCD 68,6,4017,-279.228,685.335,8.991,-3.129
White pine,6,6768,0.758,0.039,11.335,0.491
SPCD 133,6,11282,-0.151,1.514,6.208,-1.531
SPCD 211,6,2752,0.774,0.174,12.091,2.816
Red maple,6,27639,0.787,0.044,8.821,-0.128
SPCD 317,6,1413,0.524,0.197,12.756,2.905
Sugar maple,6,17342,0.786,0.031,8.999,-0.192
SPCD 356,6,518,0.78,0.098,5.216,-1.198
SPCD 357,6,23,-0.064,1.338,8.505,-6.729
SPCD 391,6,829,0.616,0.143,4.408,-0.165
SPCD 402,6,1262,0.769,0.041,10.829,0.853
SPCD 403,6,1609,0.361,0.945,13.219,0.533
SPCD 407,6,2195,0.598,0.297,11.122,0.885
American beech,6,7297,0.821,0.053,9.047,-0.273
White ash,6,4131,0.792,0.043,10.023,0.575
SPCD 701,6,2609,0.784,0.039,5.827,0.322
Red oak,6,3263,0.781,0.048,7.917,-0.022
SPCD 749,6,184,0.664,0.194,9.411,0.733
SPCD 762,6,5037,0.752,0.031,9.845,-0.063
White oak,6,8956,0.724,0.024,9.594,0.045
SPCD 826,6,657,-119.598,291.274,21.407,-9.514
Northern red oak,6,6370,0.706,0.017,10.923,-0.258
SPCD 837,6,4972,0.717,0.018,10.042,-0.322
