year,scenario,species_group,site_class,density_class,variant,config,variable,median,q025,q250,q500,q750,q975,mean,sd,n_draws
2000,1,Spruce-Fir,Low,Low,ACD,default,tpa,79.0,79.0,79.0,79.0,79.0,79.0,79.0,0.0,1
2005,1,Spruce-Fir,Low,Low,ACD,default,tpa,78.0,78.0,78.0,78.0,78.0,78.0,78.0,0.0,1
2010,1,Spruce-Fir,Low,Low,ACD,default,tpa,76.0,76.0,76.0,76.0,76.0,76.0,76.0,0.0,1
2015,1,Spruce-Fir,Low,Low,ACD,default,tpa,75.0,75.0,75.0,75.0,75.0,75.0,75.0,0.0,1
2020,1,Spruce-Fir,Low,Low,ACD,default,tpa,74.0,74.0,74.0,74.0,74.0,74.0,74.0,0.0,1
2025,1,Spruce-Fir,Low,Low,ACD,default,tpa,73.0,73.0,73.0,73.0,73.0,73.0,73.0,0.0,1
2030,1,Spruce-Fir,Low,Low,ACD,default,tpa,72.0,72.0,72.0,72.0,72.0,72.0,72.0,0.0,1
2035,1,Spruce-Fir,Low,Low,ACD,default,tpa,71.0,71.0,71.0,71.0,71.0,71.0,71.0,0.0,1
2040,1,Spruce-Fir,Low,Low,ACD,default,tpa,70.0,70.0,70.0,70.0,70.0,70.0,70.0,0.0,1
2045,1,Spruce-Fir,Low,Low,ACD,default,tpa,69.0,69.0,69.0,69.0,69.0,69.0,69.0,0.0,1
2050,1,Spruce-Fir,Low,Low,ACD,default,tpa,68.0,68.0,68.0,68.0,68.0,68.0,68.0,0.0,1
2055,1,Spruce-Fir,Low,Low,ACD,default,tpa,67.0,67.0,67.0,67.0,67.0,67.0,67.0,0.0,1
2060,1,Spruce-Fir,Low,Low,ACD,default,tpa,66.0,66.0,66.0,66.0,66.0,66.0,66.0,0.0,1
2065,1,Spruce-Fir,Low,Low,ACD,default,tpa,65.0,65.0,65.0,65.0,65.0,65.0,65.0,0.0,1
2070,1,Spruce-Fir,Low,Low,ACD,default,tpa,64.0,64.0,64.0,64.0,64.0,64.0,64.0,0.0,1
2075,1,Spruce-Fir,Low,Low,ACD,default,tpa,63.0,63.0,63.0,63.0,63.0,63.0,63.0,0.0,1
2080,1,Spruce-Fir,Low,Low,ACD,default,tpa,62.0,62.0,62.0,62.0,62.0,62.0,62.0,0.0,1
2085,1,Spruce-Fir,Low,Low,ACD,default,tpa,61.0,61.0,61.0,61.0,61.0,61.0,61.0,0.0,1
2090,1,Spruce-Fir,Low,Low,ACD,default,tpa,60.0,60.0,60.0,60.0,60.0,60.0,60.0,0.0,1
2095,1,Spruce-Fir,Low,Low,ACD,default,tpa,59.0,59.0,59.0,59.0,59.0,59.0,59.0,0.0,1
2100,1,Spruce-Fir,Low,Low,ACD,default,tpa,58.0,58.0,58.0,58.0,58.0,58.0,58.0,0.0,1
2000,1,Spruce-Fir,Low,Low,ACD,calibrated_map,tpa,79.0,79.0,79.0,79.0,79.0,79.0,79.0,0.0,1
