variant,model,n,rmse,bias,r2,mae
AK,calibrated,31661,0.9399432753501913,-0.35278948516256553,0.5224263582519777,0.7523796848212688
AK,default,33507,2.0979211302953016,1.6380152653226914,-1.392149564683987,1.7994995534332938
BM,calibrated,50000,0.7591892937228051,-0.05881537600595807,0.6240061332495471,0.5863692123144822
BM,default,50000,2.375299633533857,-0.39668196983422005,-2.6805897671345496,1.4227542769109178
CA,calibrated,33311,0.8333817564413758,0.14270824868126034,0.6436563424523669,0.6763224623866994
CA,default,33311,3.075159495784,-0.5868448300588813,-3.8519503340831998,2.778899705476716
CI,calibrated,17610,0.8702834071348095,-0.20586360942140705,0.5101458017559859,0.6899864249573032
CI,default,17772,6.213259941511774,0.06339077450322424,-24.044143969899586,2.152940335980191
CR,calibrated,50000,0.8543349863189045,-0.151153925403341,0.4243713376096926,0.6830731632491841
CR,default,0,NA,NA,NA,NA
CS,calibrated,50000,0.8354890865364771,0.04402030300969203,0.5687001056552454,0.66614803048527
CS,default,50000,1.5058789987051577,-0.22930861850810644,-0.4011284198773737,1.0510981797352403
EC,calibrated,50000,0.8098862377425801,-0.13862740333726462,0.6019803798555932,0.6274131313064747
EC,default,50000,4.333409951542665,-3.951989245783192,-10.395043706528012,4.02610711839269
EM,calibrated,47491,0.768082460861115,0.01836915071290226,0.5025672321830226,0.6173536528757473
EM,default,47491,3.4802531470609193,0.5064220659075295,-9.212695047342521,1.3140136167203686
IE,calibrated,49765,0.7999881476014986,-0.05120903485885314,0.588940994198913,0.6267409184659791
IE,default,50000,44.8037717533732,-25.701798089161766,-1289.0616182564188,30.20700188707887
LS,calibrated,50000,0.7795678610090875,-0.027083167402927513,0.5913808214051219,0.627827756900944
LS,default,50000,1.4086535441847579,-0.028831876866211963,-0.3341949068163792,0.9776786993943667
NC,calibrated,11116,0.8972000602849448,-0.08595528481290034,0.6601958154735859,0.7055791891274783
NC,default,11116,2.6282405979587113,-2.1790769224519715,-1.9159520185724181,2.32292858360199
NE,calibrated,49875,0.772582399357024,-0.03500328084124663,0.6477712011392154,0.620892442987828
NE,default,50000,2.0255245781265394,1.8093771592997718,-1.4180268689513609,1.832436512228564
PN,calibrated,50000,0.8566106432073919,0.02560035367478848,0.5745518438205771,0.6459704901810452
PN,default,50000,1.7295495818192053,-0.1734018975928258,-0.7343859508225046,1.3108178611798653
SN,calibrated,50000,0.9064821886469606,0.2516998218158666,0.5209158184706668,0.7368995596724781
SN,default,50000,3.5127748294724572,3.1697206722108318,-6.194388822454205,3.1915856484965226
SO,calibrated,50000,0.7906508322834728,0.03702883218061538,0.6056323069117169,0.6198510992468116
SO,default,50000,2.5308573676700528,-0.4434790137990515,-3.0407986040012878,1.086285791640986
UT,calibrated,50000,0.8256143358366463,-0.19970182782903126,0.4169040835172071,0.6537944266809512
UT,default,50000,23.35206627204183,15.791966214318355,-465.48338326641027,15.813443026221629
WC,calibrated,50000,0.9000200306331628,0.26886154642287247,0.5635005870795646,0.7161384804888195
WC,default,50000,1.9160067119958344,0.20255253342744098,-0.9782144322862278,1.4655493961218078
WS,calibrated,49912,0.8366209220839794,-0.06295489450786383,0.6249842765179427,0.649130069028023
WS,default,49912,2.656210810688637,-2.352060501805823,-2.7802203400470686,2.395021034968165
