species,n,rmse,bias,mae,r2,model,variant
AS,114,1.871895992635817,1.4239169205782662,1.5445735984609619,-1.5957399124956857,default,EC
BM,86,9.083288877358633,-9.029324717116051,9.029324717116051,-72.64271367427035,default,EC
CW,101,1.2495023710268378,0.863091396769986,1.047956443319927,-0.14507935933301486,default,EC
DF,16861,4.719759779635437,-4.639426260133642,4.639426260133642,-12.940683297546915,default,EC
DG,8,1.5787176838286496,-1.3236240652755353,1.3416675029734788,-1.1063126660502314,default,EC
GC,11,1.2528073100645634,0.5249999983439335,1.1136065693498765,0.5933116866976463,default,EC
LP,4297,2.0227946167001343,-1.8419478922623416,1.8423896548174328,-2.8124727205300357,default,EC
MH,1802,1.9929626298004057,-1.8145085679561277,1.8160234011243865,-2.4121879110169684,default,EC
PB,64,1.0791193562102759,0.1928439207137435,0.8898075017638453,-0.3047721271582615,default,EC
PP,5288,3.9522613303489007,-3.866038998794717,3.866038998794717,-12.245086273329115,default,EC
PY,27,3.3543253071895296,-3.173768960557375,3.2078723466880796,-7.151100150669658,default,EC
RA,72,2.3837482750109174,2.1982100150637414,2.1982100150637414,-5.683995869049003,default,EC
RC,1341,1.189256196824575,0.5965112824374956,0.9932820368357755,0.31619499801244044,default,EC
WB,273,2.3977562384421875,-2.239931597714301,2.239931597714301,-3.2957099222265116,default,EC
WH,1897,0.8894321539182525,-0.32555795668814974,0.6592465760144288,0.47534357201026756,default,EC
WO,845,2.6384233126221335,-2.5478337062977467,2.5478337062977467,-8.419763678169998,default,EC
WP,214,4.78393822941757,-4.700962327774383,4.700962327774383,-14.71622952408353,default,EC
NA,16699,5.0848259999108,-5.01292790050686,5.01292790050686,-14.217853870216175,default,EC
AS,114,0.8404371317658212,0.05580855374626024,0.6937839929015424,0.4767512377175074,calibrated,EC
BM,86,0.940052292250319,0.2653316861606544,0.7764947130669096,0.21123513622197332,calibrated,EC
CW,101,0.9751311762157923,0.31479057932605226,0.7924120586240616,0.3025910757250856,calibrated,EC
DF,16861,0.8423357931033137,-0.2645690030753574,0.6431850214296344,0.555967476143435,calibrated,EC
DG,8,0.8504647326707623,-0.6482056495937816,0.6482056495937816,0.3887392503983115,calibrated,EC
GC,11,0.9804825100525605,0.0656984796233126,0.7874727752916991,0.7509005107065456,calibrated,EC
LP,4297,0.7478030374623669,0.0408006931631171,0.5946068423610946,0.4789521403663559,calibrated,EC
MH,1802,0.6949436326335376,-0.07087168506994902,0.5354727888719222,0.5851092144083152,calibrated,EC
PB,64,1.1578232307632765,-0.39134932380782217,0.9551743818097522,-0.5020355916163013,calibrated,EC
PP,5288,0.777599379491577,-0.05440461503916799,0.5954980262509908,0.4872858588632629,calibrated,EC
PY,27,1.1545741336594095,-0.5095278494181916,0.9489600662731361,0.03428379540704729,calibrated,EC
RA,72,0.8414105071649414,0.03892891897608733,0.7021811804669322,0.16721815031955023,calibrated,EC
RC,1341,0.8714865860212863,-0.430460172501951,0.6580467472505892,0.6327998577293663,calibrated,EC
WB,273,0.8579485212461464,-0.2628590517258387,0.6555315150736178,0.4500194287289002,calibrated,EC
WH,1897,0.7014565154905046,0.10125350159113251,0.5520548928513792,0.6736746188280409,calibrated,EC
WO,845,0.8996336009486364,-0.6058605678746921,0.7185704422302391,-0.09517215102706134,calibrated,EC
WP,214,0.7967564302247853,0.2024304352645348,0.649995043945455,0.5640583232629346,calibrated,EC
NA,16699,0.8096784466750078,-0.07936639782676763,0.6362639314405162,0.6141430079307446,calibrated,EC
