variant,Diameter Growth,Height Diameter,Mortality,Crown Ratio,Stand Density
ACD,TRUE,TRUE,TRUE,TRUE,TRUE
AK,FALSE,TRUE,TRUE,TRUE,TRUE
BC,FALSE,TRUE,TRUE,TRUE,TRUE
BM,FALSE,TRUE,TRUE,TRUE,TRUE
CA,TRUE,TRUE,TRUE,TRUE,TRUE
CI,FALSE,TRUE,TRUE,TRUE,TRUE
CR,FALSE,TRUE,TRUE,TRUE,TRUE
CS,TRUE,TRUE,TRUE,TRUE,TRUE
EC,FALSE,TRUE,TRUE,TRUE,TRUE
EM,FALSE,TRUE,TRUE,TRUE,TRUE
IE,FALSE,TRUE,TRUE,TRUE,TRUE
KT,TRUE,TRUE,TRUE,TRUE,TRUE
LS,TRUE,TRUE,TRUE,TRUE,TRUE
NC,TRUE,TRUE,TRUE,TRUE,TRUE
NE,FALSE,TRUE,TRUE,TRUE,TRUE
OC,FALSE,TRUE,TRUE,TRUE,TRUE
ON,TRUE,TRUE,TRUE,TRUE,TRUE
OP,FALSE,TRUE,TRUE,TRUE,TRUE
PN,FALSE,TRUE,TRUE,TRUE,TRUE
SN,FALSE,TRUE,TRUE,TRUE,FALSE
SO,FALSE,TRUE,TRUE,TRUE,TRUE
TT,FALSE,TRUE,TRUE,TRUE,TRUE
UT,FALSE,TRUE,TRUE,TRUE,TRUE
WC,FALSE,TRUE,TRUE,TRUE,TRUE
WS,FALSE,TRUE,TRUE,TRUE,TRUE
