variant,cr_r2_v1,cr_v2_r2,improvement,pct_improvement
EM,0.15703405785095204,0.6400130218626372,0.48297896401168516,307.5631940111373
AK,0.13518510204537448,0.603155406066624,0.4679703040212495,346.17002683045405
WS,0.14435952097973404,0.6043107942049519,0.4599512732252179,318.6151284678953
KT,0.18202875812229255,0.6129587365327919,0.4309299784104993,236.73730615740794
UT,0.23011001800508343,0.6477661590603937,0.41765614105531024,181.50280664707248
OC,0.17186624628720804,0.5571316909201736,0.3852654446329655,224.16585743610364
EC,0.20013225367570997,0.583828545703116,0.38369629202740607,191.7213667363879
CR,0.2402142730900343,0.6215367485101382,0.3813224754201039,158.7426386096471
SO,0.20202310715443417,0.57815004337664,0.37612693622220583,186.18015608218522
IE,0.22197022664436683,0.5777749109178896,0.35580468427352274,160.29387799093476
OP,0.2285028734650548,0.5726116164828379,0.34410874301778305,150.59274213915214
BM,0.2165917381911845,0.5528441864857898,0.3362524482946053,155.24712581501927
BC,0.24032024064383373,0.5653817746297221,0.32506153398588833,135.2618211079629
CA,0.18409054470995223,0.493289263060167,0.3091987183502148,167.96013007478433
TT,0.2982153296001797,0.592293863542301,0.29407853394212125,98.61281589259522
WC,0.28337046112083886,0.5515566032114153,0.26818614209057645,94.64153074734656
CI,0.2177366820813715,0.4581080238605522,0.2403713417791807,110.39542785415931
ON,0.2579279011234731,0.4440307265545579,0.1861028254310848,72.15304145866531
LS,0.26575755651343125,0.44874919777585787,0.18299164126242662,68.85660888185444
NE,0.27393855009029144,0.4332524457023456,0.15931389561205417,58.15680033333883
ACD,0.29379294203957795,0.4405709703491818,0.14677802830960385,49.959684970863194
SN,0.2624416437370458,0.3443030641870949,0.08186142045004907,31.192237361563837
CS,0.2606193157346154,0.33873996479554336,0.07812064906092797,29.975003518341293
NC,0.37436290300997266,0.4321713757617507,0.05780847275177803,15.441827244896128
PN,0.37568118099649495,0.4286472983837972,0.05296611738730228,14.098687947799132
