variant,BA_cal_bias,QMD_cal_bias,DIA_tree_cal_bias,BA_cal_rmse,QMD_cal_rmse,DIA_tree_cal_rmse,BA_cal_pct_rmse,QMD_cal_pct_rmse,DIA_tree_cal_pct_rmse,BA_cal_r2,QMD_cal_r2,DIA_tree_cal_r2
ak,3.8531,1.0335,1.3047,5.6611,1.3165,1.7059,29.09,11.2,16.45,0.8773,0.9333,0.9349
bm,4.4099,1.4413,1.4645,5.2326,1.5469,1.7375,21.38,10.08,12.99,0.9329,0.913,0.9605
ca,4.4103,1.1669,1.1992,5.8292,1.3577,1.5164,17.29,8.95,10.59,0.9759,0.9575,0.9791
ci,3.65,1.7152,1.6971,4.4972,1.9286,1.9871,37.2,15.99,19.8,0.6791,0.767,0.8785
cr,4.0273,1.9166,1.8593,4.6842,1.9898,2.0031,44.12,19.02,21.69,0.5795,0.5424,0.8157
cs,0.7957,0.3316,0.3418,1.2151,0.5117,0.7155,10.21,4.8,7.62,0.9597,0.9591,0.9793
ec,6.4261,1.7192,1.6824,8.132,1.8685,1.9529,28.04,12.49,14.66,0.9366,0.9027,0.9537
em,2.7551,1.1223,1.0519,3.3152,1.2436,1.2156,29.11,12.94,14.5,0.8142,0.8068,0.9058
ie,3.9067,1.2203,1.257,5.1605,1.4442,1.6464,30.84,12.47,16.62,0.7844,0.8457,0.9014
ls,0.8816,0.3002,0.3406,1.3593,0.4473,0.6095,12.35,5.1,7.7,0.9645,0.9725,0.9781
nc,8.8918,1.4141,1.506,10.8781,1.7247,1.9361,15.91,9.11,11.94,0.974,0.9643,0.98
ne,1.4784,0.4819,0.4674,1.884,0.5889,0.7066,13.38,6,8.4,0.9377,0.9541,0.9773
pn,8.9915,1.6767,1.7281,12.0859,2.0981,2.3313,24.68,11.97,14.6,0.9567,0.9439,0.9609
sn,1.1846,0.4084,0.4136,2.0677,0.7703,0.9277,15.6,7.81,10.77,0.9221,0.9129,0.9588
so,3.2723,1.0112,1.0579,4.364,1.1896,1.4047,18.18,8.22,11.21,0.9626,0.9567,0.9739
ut,3.9474,1.9513,1.925,4.6184,2.0096,2.0604,46.47,19.14,22.35,0.4975,0.5981,0.8242
wc,3.7974,0.5648,0.625,5.9453,1.0176,1.2674,9.76,5.6,7.74,0.9908,0.986,0.9897
ws,8.6932,1.5543,1.7306,12.9395,1.8804,2.1809,24.89,9.94,12.34,0.9421,0.9398,0.9668
