year,tpa,ba,qmd,sdi,top_ht,n_trees,scenario,variant
0,200,60.14999723724917,7.425729302276445,124.04128957650833,8.236706788511901,200,Calibrated (annualized),ACD
1,200,60.8094944704676,7.466326955050292,125.13152491631897,8.246217678584925,200,Calibrated (annualized),ACD
2,199,61.271750131514395,7.513458810102728,125.7697309244207,8.255715574023302,199,Calibrated (annualized),ACD
3,199,61.93550821415,7.554045910024109,126.86194525218082,8.265198783267584,199,Calibrated (annualized),ACD
4,197,62.41858159786176,7.621845481786564,127.4009747832377,8.274668957102897,197,Calibrated (annualized),ACD
5,196,63.00604425844434,7.677138518605115,128.23337446322702,8.284124547999564,196,Calibrated (annualized),ACD
6,196,63.67497003551589,7.71778443798059,129.32478512249335,8.293566393525122,196,Calibrated (annualized),ACD
7,196,64.34724515034708,7.758419332395119,130.41938138994482,8.30299513523683,196,Calibrated (annualized),ACD
8,196,65.02284500042536,7.799041898726078,131.51711795191483,8.312410762078905,196,Calibrated (annualized),ACD
9,195,65.55456898768851,7.850918750266237,132.24582989262743,8.321813263250297,195,Calibrated (annualized),ACD
10,195,66.23445266145455,7.891525706943491,133.3453811776653,8.331201409489461,195,Calibrated (annualized),ACD
11,194,66.76298118416697,7.943342722120029,134.06241174233705,8.340576395136253,194,Calibrated (annualized),ACD
12,194,67.44696643848275,7.983928720923862,135.1635079861143,8.349936933754153,194,Calibrated (annualized),ACD
13,193,67.85472538865261,8.028745645428582,135.6803223339807,8.35928427768262,193,Calibrated (annualized),ACD
14,193,68.54180055608965,8.069291515886288,136.78174329470784,8.368616117423452,193,Calibrated (annualized),ACD
15,192,69.08112380716325,8.122044937669298,137.50363414647842,8.37793472628255,192,Calibrated (annualized),ACD
16,192,69.77210523929485,8.162564096689852,138.60628678856327,8.387238857102739,192,Calibrated (annualized),ACD
17,192,70.46613442143261,8.203060507060382,139.7116340889166,8.396529725427571,192,Calibrated (annualized),ACD
18,191,71.11038509480785,8.26201800379269,140.59070772742038,8.40580732267615,191,Calibrated (annualized),ACD
19,191,71.80921781153297,8.30251597341306,141.69840690384842,8.415071209056016,191,Calibrated (annualized),ACD
20,191,72.51100864153862,8.342987538175123,142.80865438618756,8.424321799728515,191,Calibrated (annualized),ACD
21,191,73.21573187850052,8.383431608765,143.9214074927614,8.433559086744422,191,Calibrated (annualized),ACD
22,191,73.92336171451225,8.423847110738526,145.03662367384257,8.442783062377572,191,Calibrated (annualized),ACD
23,189,74.26777035351884,8.488004403455163,145.27630524355834,8.451993719122184,189,Calibrated (annualized),ACD
24,189,74.97619722133399,8.528391093331232,146.3873376742133,8.461188080189855,189,Calibrated (annualized),ACD
25,189,75.68742965877736,8.568746242942211,147.50068639910205,8.470369080253894,189,Calibrated (annualized),ACD
26,189,76.40144182090557,8.609068839694451,148.61630997772917,8.479536712491917,189,Calibrated (annualized),ACD
27,189,77.11820778726796,8.649357885282429,149.73416712142205,8.48869097029512,189,Calibrated (annualized),ACD
28,189,77.83770156680826,8.689612395592881,150.854216697564,8.497831847265847,189,Calibrated (annualized),ACD
29,189,78.55989710271223,8.72983140060829,151.97641773372624,8.506959337215214,189,Calibrated (annualized),ACD
30,189,79.28476827720078,8.770013944309747,153.1007294216991,8.51607343416079,189,Calibrated (annualized),ACD
31,189,80.01228891626815,8.810159084579253,154.2271111214229,8.525174132324306,189,Calibrated (annualized),ACD
32,189,80.74243279436436,8.8502658931014615,155.3555223648203,8.534261426129465,189,Calibrated (annualized),ACD
33,189,81.47517363902202,8.89033345526495,156.48592285953063,8.543335310199739,189,Calibrated (annualized),ACD
34,187,81.98590497281634,8.965718509852536,156.94254512827408,8.552395779356264,187,Calibrated (annualized),ACD
35,187,82.72010937045816,9.005774164634078,158.06943287422357,8.561441036569411,187,Calibrated (annualized),ACD
36,184,82.4978745273299,9.066690138816847,157.2255435032787,8.57047284754464,184,Calibrated (annualized),ACD
37,184,83.22741188154065,9.106690746831232,158.340338054167,8.579483582466654,184,Calibrated (annualized),ACD
38,184,83.95937131868816,9.146648354673125,159.45689586638352,8.588480817869268,184,Calibrated (annualized),ACD
39,184,84.69372716242536,9.186562130908078,160.57517895184267,8.597464549782822,184,Calibrated (annualized),ACD
40,184,85.4304537186217,9.226431256911694,161.69514951216675,8.606434774430495,184,Calibrated (annualized),ACD
41,182,85.84402470904196,9.299415377814908,161.97302798186558,8.615391488226376,182,Calibrated (annualized),ACD
42,182,86.5809535866745,9.339245541436645,163.0879286787678,8.624332120267852,182,Calibrated (annualized),ACD
43,182,87.32015508496387,9.379028608101285,164.20438636507708,8.633259210659144,182,Calibrated (annualized),ACD
44,181,87.82600079188727,9.432103802059348,164.7879049393723,8.642172756409172,181,Calibrated (annualized),ACD
45,181,88.56692798621198,9.47180630872688,165.90261535633636,8.651070905185652,181,Calibrated (annualized),ACD
46,181,89.31004251930347,9.511459565324712,167.0187681792887,8.659955490324604,181,Calibrated (annualized),ACD
47,180,89.54881451954736,9.55058498021737,167.19397077022114,8.66882650944005,180,Calibrated (annualized),ACD
48,180,90.2922496387919,9.590147561876575,168.30696745311883,8.67768000359705,180,Calibrated (annualized),ACD
49,180,91.03779578279584,9.629659252795175,169.42130841045034,8.686519913524174,180,Calibrated (annualized),ACD
50,180,91.78542790957893,9.66911935782838,170.53695875169834,8.695346237545012,180,Calibrated (annualized),ACD
0,200,60.14999723724917,7.425729302276445,124.04128957650833,8.236706788511901,200,Default FVS-like,ACD
1,196,59.30107686243403,7.447998142000215,122.14608864162663,8.246053811412999,196,Default FVS-like,ACD
2,189,55.467116616182246,7.33538982289532,114.93863564021703,7.922299819250068,189,Default FVS-like,ACD
3,183,54.1995410481881,7.369000144062064,112.10935051642174,7.931843737453807,183,Default FVS-like,ACD
4,177,53.420646621707974,7.438823295906907,110.0873900300722,7.941369190389227,177,Default FVS-like,ACD
5,173,53.158305917547274,7.505831659738839,109.15941737354272,7.950880934742464,173,Default FVS-like,ACD
6,169,51.12041838706823,7.447150881147102,105.30061312782438,7.762314685739076,169,Default FVS-like,ACD
7,168,51.282994338725075,7.481149817918227,105.44560592173558,7.771924765914971,168,Default FVS-like,ACD
8,166,51.196429566092725,7.519727424278023,105.05396688013258,7.781531460922205,166,Default FVS-like,ACD
9,161,50.76064122838808,7.603033729601225,103.70743144472739,7.791132147265409,161,Default FVS-like,ACD
10,160,50.35910584805879,7.59653108352273,102.92184669389316,7.8007230473060005,160,Default FVS-like,ACD
11,158,50.32422296047997,7.641811148449973,102.60940038156714,7.810304401550881,158,Default FVS-like,ACD
12,156,50.145226283631395,7.6769516236196385,102.05931018394615,7.8198802013424125,156,Default FVS-like,ACD
13,150,48.636978627096546,7.710347822470782,98.82002989024448,7.829448813074709,150,Default FVS-like,ACD
14,147,48.444389279597154,7.77319174229767,98.11362924640225,7.8389945846127915,147,Default FVS-like,ACD
15,146,48.677320167722854,7.818495813877362,98.35933969691997,7.848532719288996,146,Default FVS-like,ACD
16,146,48.95697666219718,7.840922702851731,98.81256380155062,7.8580683924879455,146,Default FVS-like,ACD
17,145,48.6233186381626,7.841056851900564,98.13846020994782,7.867602169088278,145,Default FVS-like,ACD
18,145,48.901464211846424,7.8634519209140015,98.58872397362151,7.877126564699316,145,Default FVS-like,ACD
19,143,48.709927216061516,7.90272786380709,98.00949821537351,7.8866490754747245,143,Default FVS-like,ACD
20,140,47.67814704893357,7.90190805298932,95.93737925895968,7.896163906468952,140,Default FVS-like,ACD
21,138,47.121654783756505,7.912378037570663,94.76803324157304,7.905660231245161,138,Default FVS-like,ACD
22,135,46.2659312551442,7.92683968959791,92.97996732421096,7.9151437701130325,135,Default FVS-like,ACD
23,132,45.77287738301439,7.973581667689256,91.77570159903982,7.924610101974481,132,Default FVS-like,ACD
24,130,45.66168256673077,8.02491765063295,91.32096465034826,7.934063909242229,130,Default FVS-like,ACD
25,125,44.500421282875976,8.079107001841924,88.76223027202234,7.943510549361707,125,Default FVS-like,ACD
26,122,44.36021806744107,8.16494429691074,88.11396793578088,7.952934232014506,122,Default FVS-like,ACD
27,119,42.383523155117516,8.0809301364678,84.53225053264991,7.9623500755401455,119,Default FVS-like,ACD
28,116,41.83923374792151,8.132033739464285,83.23915446245127,7.97172795113232,116,Default FVS-like,ACD
29,115,41.718269903454974,8.15549883366403,82.90408700429303,7.981090505466583,115,Default FVS-like,ACD
30,115,41.94554345129634,8.177683497471504,83.266338668793,7.99044499929239,115,Default FVS-like,ACD
31,114,42.11991347251232,8.230526448905815,83.40002353534464,7.999797609121098,114,Default FVS-like,ACD
32,109,40.99289178031701,8.303808679008457,80.88474481536328,8.00914739374193,109,Default FVS-like,ACD
33,106,40.89492997594108,8.410428192010492,80.28583476732733,8.018470714595686,106,Default FVS-like,ACD
34,102,37.776748522519654,8.240404052662438,74.76486019425701,7.885618212875897,102,Default FVS-like,ACD
35,99,37.169951512337875,8.296878023265215,73.36573903579348,7.894956488164106,99,Default FVS-like,ACD
36,96,36.724818009631974,8.37491706493851,72.21958019986701,7.9042758055378695,96,Default FVS-like,ACD
37,95,36.52217946501319,8.395621399080769,71.75107675561549,7.913579164446575,95,Default FVS-like,ACD
38,90,35.08915284247663,8.454764052560897,68.74488732318284,7.922871657293592,90,Default FVS-like,ACD
39,90,35.27521242935722,8.477150031843573,69.03726056959215,7.932124378503492,90,Default FVS-like,ACD
40,87,35.00597048469999,8.5891016034991,68.15620109427024,7.941375017582092,87,Default FVS-like,ACD
41,86,34.43497520242392,8.568148147019082,67.1091956187513,7.950612512968815,86,Default FVS-like,ACD
42,82,33.79346589394648,8.692520969969697,65.48514242497531,7.959829050592905,82,Default FVS-like,ACD
43,80,32.719257154261406,8.659504243875404,63.49891420520609,7.969022125996691,80,Default FVS-like,ACD
44,78,32.78812785846578,8.779045785249323,63.2888991588657,7.97817874890015,78,Default FVS-like,ACD
45,76,32.144187802381396,8.806041698629066,61.97073914468553,7.987330395740738,76,Default FVS-like,ACD
46,74,31.663590166930014,8.857283045798232,60.904454774813,7.996456267383131,74,Default FVS-like,ACD
47,71,31.05651866394745,8.955369643131078,59.47745715176925,8.005560476568968,71,Default FVS-like,ACD
48,70,30.44354178524373,8.929658979825783,58.36977406324019,8.01463836751622,70,Default FVS-like,ACD
49,68,30.26891013441956,9.034003219635068,57.76924604245395,8.023688791460394,68,Default FVS-like,ACD
50,67,29.794736360404112,9.029603439582145,56.87521220379746,8.032725935354772,67,Default FVS-like,ACD
0,200,60.14999723724917,7.425729302276445,124.04128957650833,8.236706788511901,200,Calibrated (period-level bug),ACD
1,197,62.953034631131516,7.654406585299218,128.27565101540202,8.28397940247675,197,Calibrated (period-level bug),ACD
2,194,65.75869178250188,7.883372040497021,132.44163283924678,8.330919860289567,194,Calibrated (period-level bug),ACD
3,191,68.63404963153876,8.116885766799014,136.64804061054446,8.377523840699913,191,Calibrated (period-level bug),ACD
4,188,71.68845979261538,8.361457865259702,141.06538818393952,8.423790138624755,188,Calibrated (period-level bug),ACD
5,185,74.74010386389594,8.60651420088801,145.40171477445568,8.469722250000693,185,Calibrated (period-level bug),ACD
6,183,77.94188962194086,8.836824415511915,150.05709416708487,8.515316538025123,183,Calibrated (period-level bug),ACD
7,182,81.23042282235683,9.046070504601863,154.94930659518528,8.560575802313911,182,Calibrated (period-level bug),ACD
8,181,84.5358974925137,9.253746578790137,159.81528948559904,8.605500496531658,181,Calibrated (period-level bug),ACD
9,177,87.32195497638119,9.510676228944309,163.30615703653567,8.650088566288105,177,Calibrated (period-level bug),ACD
10,177,90.97955255544734,9.707816766237363,168.77316197178928,8.694317433009756,177,Calibrated (period-level bug),ACD
11,175,93.96354290318018,9.921948597970841,172.8129126462735,8.738219120273618,175,Calibrated (period-level bug),ACD
