variable,p50,p05,p95,rhat,ess_bulk,ci_width,converged
b_Intercept,-0.6346229999999999,-0.7872803999999999,-0.4808692500000001,1.0100671270624668,427.14595019802533,0.3064111499999998,TRUE
b_DBH_std,0.12723,0.09445999,0.16258424999999999,1.001009842595094,2613.1285503725426,0.06812425999999999,TRUE
b_IDBH_stdE2,-0.01217785,-0.02378491,-7.132870000000008e-4,1.0010528003998846,5657.629359667193,0.023071623,TRUE
b_BA_std,-0.1309385,-0.16156105,-0.10114475,1.0011593549364528,2752.2876547386013,0.060416300000000006,TRUE
b_BAL_std,-0.209044,-0.24248630000000002,-0.17562315000000003,1.000939097995852,2612.7315403495368,0.06686314999999998,TRUE
b_CR_std,-1.37613,-1.397924,-1.35354,1.0035220210535674,5732.484036854685,0.04438399999999998,TRUE
b_SI_std,-0.00843266,-0.03054971,0.014576674999999992,1.0002908269240998,4984.647510463117,0.04512638499999999,TRUE
sd_SPCD__Intercept,0.5070785,0.41314835000000005,0.6377865,1.008322330285238,761.2850277885465,0.22463814999999998,TRUE
sigma,2.13393,2.1194995,2.1485305,1.0066765224321244,9971.416286564723,0.02903100000000025,TRUE
Intercept,-0.647222,-0.80128945,-0.4948573500000002,1.0105295748700036,421.32848819171846,0.30643209999999976,TRUE
"r_SPCD[12,Intercept]",0.08467515,-0.07721536999999998,0.24746504999999996,1.0109381999009521,443.9726972017084,0.32468041999999997,TRUE
"r_SPCD[70,Intercept]",-0.1362195,-0.83071525,0.5703722499999999,1.002737166639295,5849.239583725468,1.4010875,TRUE
"r_SPCD[71,Intercept]",-0.1997785,-0.5354093,0.11695294999999954,1.002023861259335,1726.5465231289215,0.6523622499999995,TRUE
"r_SPCD[91,Intercept]",0.7826584999999999,0.29030000000000006,1.2692179999999997,1.0006841702813882,3350.3293137329874,0.9789179999999997,TRUE
"r_SPCD[94,Intercept]",0.294625,0.07415045,0.5177545,1.0052011304340607,812.439208779422,0.44360405,TRUE
"r_SPCD[95,Intercept]",-0.1475235,-0.35697484999999995,0.051798569999999794,1.0065454036622108,804.0213629206237,0.4087734199999997,TRUE
"r_SPCD[97,Intercept]",0.320905,0.15662774999999998,0.4878857,1.0089995007588866,461.14835135079954,0.33125795,TRUE
"r_SPCD[105,Intercept]",-0.13994600000000001,-0.95550055,0.6509041999999998,1.0010094145301969,5581.290468626017,1.6064047499999998,TRUE
"r_SPCD[125,Intercept]",-0.707371,-1.1044609999999997,-0.32625420000000005,1.0010674725730648,2683.0625269208404,0.7782067999999996,TRUE
"r_SPCD[126,Intercept]",-0.302702,-0.99716405,0.36897299999999955,1.0006838152808657,4660.675876123548,1.3661370499999994,TRUE
"r_SPCD[129,Intercept]",-0.2746675,-0.45263385,-0.0951797650000001,1.0064988904878869,636.6817766470575,0.3574540849999999,TRUE
"r_SPCD[130,Intercept]",0.00558355,-0.8257422999999999,0.8511847499999998,1.0001916712525964,4968.24292531133,1.6769270499999998,TRUE
"r_SPCD[241,Intercept]",0.7170615,0.5476319,0.89502015,1.007731836812224,557.9082045353609,0.34738825000000007,TRUE
