SPCD,ln_sdimax_offset,ln_sdimax,sdimax_bayes,slope_offset,species_slope,qr_sdimax_10,qr_slope,n_stands,w_qr,w_bayes,sdimax_combined,slope_combined,fvs_sdimax_prior
12,0.236544576925,5.853543809425,348.46709591315005,-0.1783824753875,-1.8397949528875002,346.04943256063115,-2.1509038202623714,3431,0.7,0.30000000000000004,346.77473156638683,-2.05757116004991,NA
70,-0.337913882571,5.279085349929001,196.19034774635008,0.00407760153841375,-1.6573348759615862,NA,NA,NA,NA,NA,NA,NA,NA
71,0.0690515292825,5.6860507617825,294.72737066081424,0.00648957061050375,-1.6549229068894964,346.0338776315031,-2.0484317045870037,77,0.7,0.30000000000000004,330.6419255402965,-1.9303790652777515,NA
91,0.27894518617625,5.89594441867625,363.5600266946414,0.05186563346683,-1.6095468440331702,NA,NA,NA,NA,NA,NA,NA,NA
94,0.15632209527375,5.7733213277737505,321.6041134411172,0.124090573613875,-1.537321903886125,408.3042902184068,-1.6261469903104349,222,0.7,0.30000000000000004,382.2942371852199,-1.599499464383142,NA
95,-0.049193075432025,5.5678061570679755,261.8589911256384,-0.1307875014379125,-1.7921999789379126,282.10653864215453,-2.1157140015954816,363,0.7,0.30000000000000004,276.03227438719966,-2.018659794798211,NA
97,0.2543274337875,5.8713266662875006,354.7192623319718,-0.093987713524,-1.755400191024,393.46768522663916,-1.963051970462968,2015,0.7,0.30000000000000004,381.84315835823895,-1.9007564366312777,NA
125,0.1792116336095,5.796210866109501,329.050378805004,0.0827781487200875,-1.5786343287799125,393.2864127071693,-1.7622934435894444,84,0.7,0.30000000000000004,374.0156025365197,-1.707195709146585,NA
126,0.22615052039025,5.84314975289025,344.8638677363456,-0.0523676074141125,-1.7137800849141125,NA,NA,NA,NA,NA,NA,NA,NA
129,0.2483150685,5.865314301000001,352.5929590136758,-0.0146622235097925,-1.6760747010097925,441.16926807388677,-1.7555196641972173,2214,0.7,0.30000000000000004,414.59637535582345,-1.73168617524099,NA
241,0.468353004125,6.085352236625001,439.37454922787515,0.0667865824415,-1.5946258950585002,535.9990524289045,-1.6932967231630982,1588,0.7,0.30000000000000004,507.0117014685957,-1.6636954747317187,NA
261,0.297734211125,5.914733443625001,370.455542255865,0.0297792220872625,-1.6316332554127375,454.0607550746525,-1.6306080172466475,2349,0.7,0.30000000000000004,428.97919122901624,-1.6309155886964746,NA
313,-0.719441787,4.8975574455,133.96216984458565,-0.0488277582996625,-1.7102402357996627,NA,NA,NA,NA,NA,NA,NA,NA
315,0.052455036924875,5.669454269424875,289.8762968599319,-0.0650171929570375,-1.7264296704570377,237.46066971469472,-2.108828540899955,46,0.46,0.54,265.7651083731228,-1.9023331508607797,NA
316,0.141396170105,5.758395402605,316.8395209411088,-0.03744847547729,-1.69886095297729,367.12607029552925,-1.8424595813434996,3348,0.7,0.30000000000000004,352.04010548920314,-1.7993799928336367,NA
317,-0.3850005428,5.2319986897,187.16651771754832,-0.0021197154728625,-1.6635321929728626,NA,NA,NA,NA,NA,NA,NA,NA
318,0.089733416354125,5.706732648854126,300.8863590733407,0.02192558949487625,-1.6394868880051239,346.4877115567471,-1.7462859744782733,2856,0.7,0.30000000000000004,332.8073058117252,-1.7142462485363283,NA
319,0.0604524778644225,5.677451710364423,292.2038602936733,-0.00487954803208625,-1.6662920255320863,NA,NA,NA,NA,NA,NA,NA,NA
320,-0.739666748375,4.8773324841250005,131.2800049024108,-0.0610939254238125,-1.7225064029238126,NA,NA,NA,NA,NA,NA,NA,NA
371,0.13283014348525,5.74982937598525,314.1370563870256,0.0193966287062375,-1.6420158487937626,377.00142289011666,-1.6913640009512028,1247,0.7,0.30000000000000004,358.14211293918936,-1.6765595553039707,NA
372,0.1816894004975,5.7986886329975,329.8666998470761,0.142689087683425,-1.518723389816575,455.31985597052585,-1.2225974776996251,74,0.7,0.30000000000000004,417.68390913349094,-1.3114352513347103,NA
375,0.15697051585625,5.773969748356251,321.81271579140906,-0.11699586075665,-1.77840833825665,356.0109439264835,-1.9694003370839714,603,0.7,0.30000000000000004,345.7514754859611,-1.912102737435775,NA
379,-0.080632587400325,5.536366645099675,253.75434290337205,-0.03489602634121,-1.69630850384121,173.3096059631668,-2.589117133669388,69,0.69,0.31000000000000005,198.24747441463043,-2.312346458422653,NA
400,-0.2551410076082875,5.361858224891713,213.12060473731646,-0.0176887046521125,-1.6791011821521127,NA,NA,NA,NA,NA,NA,NA,NA
402,-0.1824161680864375,5.434583064413563,229.19726785441094,0.0022997337037449998,-1.6591127437962552,NA,NA,NA,NA,NA,NA,NA,NA
407,0.0598192245162875,5.676818457016288,292.01887979674547,-4.124794962125e-4,-1.6618249569962127,NA,NA,NA,NA,NA,NA,NA,NA
531,0.11376445703718,5.730763689537181,308.2045511154914,0.00649709263144625,-1.6549153848685538,337.10652409352656,-1.7799717151203067,1285,0.7,0.30000000000000004,328.435932200116,-1.7424548160447808,NA
541,0.2258457247925,5.842844957292501,344.7587707649975,0.17066481009,-1.49074766741,475.00814499102586,-1.392526574161115,287,0.7,0.30000000000000004,435.9333327232174,-1.4219929021357807,NA
543,0.0135740449009125,5.630573277400913,278.82191412705254,-9.296876200000001e-4,-1.66234216512,532.644475389586,-1.1538704493140621,48,0.48,0.52,400.6567435330686,-1.41827574153315,NA
544,-0.0321048030266625,5.584894429473338,266.37216020579507,-0.0160870463925625,-1.6774995238925625,NA,NA,NA,NA,NA,NA,NA,NA
601,-0.2608665726034,5.3561326598966,211.90385547554962,-5.273307739500001e-4,-1.66193980827395,NA,NA,NA,NA,NA,NA,NA,NA
660,-0.5145555256625,5.102443706837501,164.42321890051213,0.12463819036981875,-1.5367742871301813,NA,NA,NA,NA,NA,NA,NA,NA
701,-0.139194177719425,5.477805054780576,239.3208343328971,-0.0220192568606125,-1.6834317343606127,250.7236876188684,-1.9267863873778803,38,0.38,0.62,243.65391858156622,-1.7759065025071743,NA
741,0.09193429710475,5.70893352960475,301.5493033321781,-0.0227716230523625,-1.6841841005523626,375.8547022507883,-1.7049851651712444,34,0.34,0.6599999999999999,326.8131389645056,-1.6912564625227824,NA
742,-0.2006464025512625,5.416352829948738,225.05680341154843,-0.02194487821760625,-1.6833573557176063,NA,NA,NA,NA,NA,NA,NA,NA
743,0.29948020198749997,5.9164794344875,371.1029192402958,0.048974629697925,-1.612437847802075,450.75578404171443,-1.6554746018172248,207,0.7,0.30000000000000004,426.8599246012888,-1.6425635756126797,NA
746,0.1874171321743375,5.804416364674338,331.76150909215784,0.072578421862675,-1.588834055637325,399.17925436051024,-1.6849465263715822,353,0.7,0.30000000000000004,378.9539307800045,-1.6561127851513051,NA
761,0.095376063470025,5.712375295970025,302.58895367235834,-0.0027304184778,-1.6641428959778002,NA,NA,NA,NA,NA,NA,NA,NA
762,-0.0514431256735575,5.565556106826443,261.270457602705,-3.890924625875e-4,-1.6618015699625877,331.82471183935024,-1.7193597319894403,45,0.45,0.55,293.01987200919535,-1.6877027428746714,NA
802,0.0059467375468125,5.622945970046813,276.7033434565631,0.01224896958617,-1.64916350791383,550.2878946957767,-0.894212655891222,34,0.34,0.6599999999999999,369.7220908778957,-1.392480218226143,NA
806,0.0149291811238,5.6319284136238,279.200011931775,-8.68619132375e-4,-1.662281096632375,NA,NA,NA,NA,NA,NA,NA,NA
823,-0.02824351593375,5.588755716566251,267.40268789114344,-0.001102474586825,-1.6625149520868252,NA,NA,NA,NA,NA,NA,NA,NA
832,0.11228157844967375,5.729280810949674,307.7478598785842,0.0089986914954875,-1.6524137860045125,NA,NA,NA,NA,NA,NA,NA,NA
833,0.218567243975,5.835566476475001,342.2585605689393,0.06624916440261874,-1.5951633130973812,452.6951942328294,-1.5172304697364927,914,0.7,0.30000000000000004,419.5642041336624,-1.5406103227447592,NA
837,0.06892608219879,5.685925314698791,294.6904002906366,-0.017489451974138374,-1.6789019294741385,NA,NA,NA,NA,NA,NA,NA,NA
901,-0.835111008875,4.781888223625001,119.32945815274945,-0.1039641283722875,-1.7653766058722875,NA,NA,NA,NA,NA,NA,NA,NA
935,0.11463055689477625,5.731629789394777,308.47160266328325,-0.0082283813371375,-1.6696408588371376,NA,NA,NA,NA,NA,NA,NA,NA
951,0.0720168472997375,5.689016079799738,295.60262811019726,0.0010718989630375,-1.6603405785369625,NA,NA,NA,NA,NA,NA,NA,NA
972,0.115583475684025,5.732582708184025,308.7656911483781,0.004283601816855,-1.657128875683145,NA,NA,NA,NA,NA,NA,NA,NA
