variable,Estimate,Est.Error,Q2.5,Q97.5
b_Intercept,5.6169992325,0.04558781752287837,5.5251985,5.70473075
b_ln_qmd_centered,-1.6614124775,0.03036748656280285,-1.72344325,-1.6028195
sd_SPCD__Intercept,0.2973656905,0.03674553824380673,0.23181865000000001,0.3769822
sd_SPCD__ln_qmd_centered,0.11348843435,0.024962887794664625,0.0741331975,0.17195624999999998
cor_SPCD__Intercept__ln_qmd_centered,0.2426426949791,0.2743831487297345,-0.336560675,0.7003865749999999
sigma,0.15172044575,0.001101291010266178,0.149611,0.153844075
Intercept,6.70236704375,0.042842194257813035,6.6163567500000005,6.784879749999999
"r_SPCD[12,Intercept]",0.236544576925,0.04840874006993383,0.142264725,0.33436934999999984
"r_SPCD[70,Intercept]",-0.337913882571,0.11332956577545837,-0.56125165,-0.11659920000000003
"r_SPCD[71,Intercept]",0.0690515292825,0.07743907541620737,-0.08155682499999999,0.22183792499999996
"r_SPCD[91,Intercept]",0.27894518617625,0.08138485788233464,0.121609325,0.44662129999999994
"r_SPCD[94,Intercept]",0.15632209527375,0.058053112090310936,0.045492300000000006,0.2705715249999999
"r_SPCD[95,Intercept]",-0.049193075432025,0.06124481267844603,-0.16906495000000002,0.0702577175
"r_SPCD[97,Intercept]",0.2543274337875,0.04805744966739349,0.16125927499999998,0.3497403249999999
"r_SPCD[125,Intercept]",0.1792116336095,0.05879974769811587,0.0666050425,0.29619115
"r_SPCD[126,Intercept]",0.22615052039025,0.0970512554920589,0.036788415000000005,0.419478475
"r_SPCD[129,Intercept]",0.2483150685,0.046372549916497856,0.15752925,0.34116014999999994
"r_SPCD[241,Intercept]",0.468353004125,0.04861730925923461,0.37346317500000004,0.566145975
"r_SPCD[261,Intercept]",0.297734211125,0.04639899412557652,0.207797125,0.392130675
"r_SPCD[313,Intercept]",-0.719441787,0.14932171836689107,-1.015816,-0.42885212500000053
"r_SPCD[315,Intercept]",0.052455036924875,0.1072473860520349,-0.16663817499999997,0.256402
"r_SPCD[316,Intercept]",0.141396170105,0.046785913810888834,0.051820067500000004,0.23498032499999985
"r_SPCD[317,Intercept]",-0.3850005428,0.07995867964718613,-0.5404719499999999,-0.22942735000000003
"r_SPCD[318,Intercept]",0.089733416354125,0.04652289963430028,-0.0015821434999999998,0.18379659999999998
"r_SPCD[319,Intercept]",0.0604524778644225,0.18109747247251953,-0.30332305000000004,0.4099490749999997
"r_SPCD[320,Intercept]",-0.739666748375,0.14543498786342357,-1.02161225,-0.45714702500000004
"r_SPCD[371,Intercept]",0.13283014348525,0.04898745615375635,0.0386373925,0.22956867499999994
"r_SPCD[372,Intercept]",0.1816894004975,0.06384534055096429,0.0599582625,0.31057237499999996
"r_SPCD[375,Intercept]",0.15697051585625,0.054401013390693816,0.050718727500000005,0.26239989999999996
"r_SPCD[379,Intercept]",-0.080632587400325,0.10964449937383838,-0.302216675,0.12904764999999993
"r_SPCD[400,Intercept]",-0.2551410076082875,0.14389388675703038,-0.5380370250000001,0.025903079999999943
