variable,Estimate,Est.Error,Q2.5,Q97.5,Rhat,Bulk_ESS,Q5,Q95
b_a_Intercept,52.1281590025,10.677006649770949,29.27163,71.3886625,NA,NA,NA,NA
b_b_Intercept,0.0518807336375,0.020086215620078368,0.0133078875,0.09188320750000001,NA,NA,NA,NA
b_c_Intercept,1.16220616,0.012490652719363346,1.13826,1.18637125,NA,NA,NA,NA
sd_SPCD__a_Intercept,50.66470825,12.618165490192757,32.240567500000004,81.29414500000001,NA,NA,NA,NA
sd_SPCD__b_Intercept,2.55425136,0.5546648930939366,1.71497975,3.8208435,NA,NA,NA,NA
sigma,11.248245825,0.04591108471267312,11.16089,11.340202499999998,NA,NA,NA,NA
"r_SPCD__a[11,Intercept]",27.9036748019925,28.947964366233503,-14.1210975,99.20514250000001,NA,NA,NA,NA
"r_SPCD__a[19,Intercept]",33.159762022075,23.273774566061892,-2.8890227499999996,89.21900000000001,NA,NA,NA,NA
"r_SPCD__a[42,Intercept]",52.211163175,11.009300414525471,32.6542475,74.9712675,NA,NA,NA,NA
"r_SPCD__a[71,Intercept]",20.4332740668425,34.292943905462,-28.422657499999996,106.27877500000007,NA,NA,NA,NA
"r_SPCD__a[94,Intercept]",31.83885347725,11.400925859431469,11.0907775,55.725812500000025,NA,NA,NA,NA
"r_SPCD__a[95,Intercept]",17.129530997925,12.74399070689113,-5.839149,42.91171750000001,NA,NA,NA,NA
"r_SPCD__a[98,Intercept]",111.37096855,11.088878422777467,90.789865,134.67625000000004,NA,NA,NA,NA
"r_SPCD__a[108,Intercept]",48.38206154725,17.359270158706067,18.0401375,88.137955,NA,NA,NA,NA
"r_SPCD__a[231,Intercept]",-2.1780824284249998,48.634336720252634,-101.41525,95.097255,NA,NA,NA,NA
"r_SPCD__a[242,Intercept]",54.590558975,10.986693409517631,34.5538425,77.457765,NA,NA,NA,NA
"r_SPCD__a[263,Intercept]",101.6983088,11.010237367139172,81.367205,124.71575000000001,NA,NA,NA,NA
"r_SPCD__a[264,Intercept]",69.2832781,11.544315344054455,48.25555,93.54265,NA,NA,NA,NA
"r_SPCD__a[351,Intercept]",28.594778622575,12.997715598726487,4.9238775,57.4729175,NA,NA,NA,NA
"r_SPCD__a[375,Intercept]",1.84737123527875,10.787032084044275,-17.574377499999997,24.232907500000014,NA,NA,NA,NA
"r_SPCD__a[376,Intercept]",6.23840267309,10.78227884851822,-13.531792500000002,28.669452500000016,NA,NA,NA,NA
"r_SPCD__a[661,Intercept]",13.976149684625,35.56429195401878,-36.8626375,101.90390000000002,NA,NA,NA,NA
"r_SPCD__a[741,Intercept]",28.52107612323,19.242282040342925,-2.400267749999998,73.68666750000001,NA,NA,NA,NA
"r_SPCD__a[746,Intercept]",14.737533926125,11.130311843394384,-5.18123575,37.742230000000006,NA,NA,NA,NA
"r_SPCD__a[747,Intercept]",32.2475683955,10.992489418558028,11.7639325,54.62635500000002,NA,NA,NA,NA
"r_SPCD__b[11,Intercept]",2.57700199675,1.4892567376110204,0.70237685,6.257120250000002,NA,NA,NA,NA
"r_SPCD__b[19,Intercept]",1.59206372125,0.5405415471651124,0.715232575,2.9031815000000005,NA,NA,NA,NA
"r_SPCD__b[42,Intercept]",1.06834889,0.04820262431849222,0.975698875,1.164888,NA,NA,NA,NA
"r_SPCD__b[71,Intercept]",2.3367412905,1.2979224811213468,0.7152591749999999,5.635999750000001,NA,NA,NA,NA
"r_SPCD__b[94,Intercept]",1.83278457,0.12399999064429419,1.5975594999999998,2.0826405,NA,NA,NA,NA
"r_SPCD__b[95,Intercept]",2.3477891125,0.28738484930000946,1.78963025,2.9224197500000004,NA,NA,NA,NA
"r_SPCD__b[98,Intercept]",0.7829391755,0.03231594374058509,0.7214056999999999,0.848496125,NA,NA,NA,NA
"r_SPCD__b[108,Intercept]",0.93604233925,0.1395135421288969,0.666664425,1.2165105,NA,NA,NA,NA
"r_SPCD__b[231,Intercept]",1.9102317685165,1.5748423489653536,0.04915858750000001,5.752206750000002,NA,NA,NA,NA
"r_SPCD__b[242,Intercept]",1.003469814,0.04690777475178763,0.912520975,1.0966165,NA,NA,NA,NA
"r_SPCD__b[263,Intercept]",0.8437534225,0.03433702787883485,0.7782908,0.914458475,NA,NA,NA,NA
"r_SPCD__b[264,Intercept]",0.768840203,0.04482501220479009,0.6835343749999999,0.8591038,NA,NA,NA,NA
"r_SPCD__b[351,Intercept]",2.2050337375,0.3093175766209508,1.65900475,2.8815637500000006,NA,NA,NA,NA
"r_SPCD__b[375,Intercept]",4.07823865,0.2624971876782916,3.58815375,4.61295025,NA,NA,NA,NA
"r_SPCD__b[376,Intercept]",4.55704551,0.27353671571719806,4.0355765,5.0930420000000005,NA,NA,NA,NA
"r_SPCD__b[661,Intercept]",2.270244389360575,1.4306639937385415,0.452688625,6.0359422500000015,NA,NA,NA,NA
"r_SPCD__b[741,Intercept]",2.262730427,0.6017627975667273,1.2424265,3.5284740000000006,NA,NA,NA,NA
"r_SPCD__b[746,Intercept]",3.2137166175,0.285782921380848,2.680505,3.7995965,NA,NA,NA,NA
"r_SPCD__b[747,Intercept]",1.96815804,0.12775179930382485,1.7232865000000002,2.227784,NA,NA,NA,NA
lprior,-25.278547175,2.6253818262741233,-31.4508275,-21.553285,NA,NA,NA,NA
lp__,-115252.678,6.51858412423635,-115266,-115240.97499999999,NA,NA,NA,NA
