variable,p50,p05,p95,rhat,ess_bulk,ci_width,converged
b_Intercept,3.326015,2.5779900000000002,4.129635,1.007179480504698,725.8637649321903,1.5516450000000002,TRUE
b_DBH_std,-1.20417,-1.2813205,-1.122118,1.0031346604838416,3038.0590514798387,0.15920250000000014,TRUE
b_IDBH_stdE2,0.04731785,0.021166125,0.07672423499999997,0.9996889754739592,4074.6270006074424,0.05555810999999997,TRUE
b_BAL_std,-3.14744,-3.2829870000000003,-3.0108949999999997,1.0008394754663972,2821.5236064594565,0.27209200000000067,TRUE
b_CR_std,1.138355,1.0815265,1.195823,1.0012323330369333,4581.058994585235,0.11429650000000002,TRUE
b_SI_std,0.1621465,0.1028542,0.22165804999999997,1.0009708025530484,4871.132192442936,0.11880384999999996,TRUE
b_BA_std,2.95704,2.814405,3.0946719999999996,1.0004809322073642,2839.8315029163778,0.2802669999999998,TRUE
sd_SPCD__Intercept,1.540975,1.108806,2.2951374999999996,1.0018442258080615,962.3500091009233,1.1863314999999997,TRUE
Intercept,3.369345,2.6222965,4.1760195,1.00720809400801,723.3322620275634,1.5537229999999997,TRUE
"r_SPCD[11,Intercept]",0.2074065,-2.0565314999999997,2.885957999999999,1.000864015584727,4692.831541854728,4.942489499999999,TRUE
"r_SPCD[19,Intercept]",1.033625,-0.7391690999999999,3.3383844999999996,1.0002504955187301,3645.8625042906638,4.0775536,TRUE
"r_SPCD[42,Intercept]",0.887926,0.10031178500000003,1.663297,1.0062989688242254,740.356034276386,1.562985215,TRUE
"r_SPCD[94,Intercept]",-2.7587099999999998,-3.5667755,-2.0025105,1.006897944477301,739.6854730997327,1.5642649999999998,TRUE
"r_SPCD[95,Intercept]",-1.49608,-2.309939,-0.7407590000000007,1.0064672384451956,792.2608107401536,1.5691799999999994,TRUE
"r_SPCD[98,Intercept]",0.6071645,-0.19042729999999997,1.3510119999999999,1.0072496596528884,718.4258779970603,1.5414393,TRUE
"r_SPCD[108,Intercept]",0.39937449999999997,-0.4173656,1.1767764999999997,1.0064440602785065,750.7938615042598,1.5941420999999996,TRUE
"r_SPCD[242,Intercept]",1.9506299999999999,1.0739459999999998,2.7830485,1.004296073423511,939.8444972023844,1.7091025000000002,TRUE
"r_SPCD[263,Intercept]",0.77732,-0.038295165,1.5139785,1.0073033863120686,731.976034003576,1.552273665,TRUE
"r_SPCD[264,Intercept]",1.005265,0.21416480000000002,1.7612449999999995,1.0068417155826794,739.6413150595768,1.5470801999999995,TRUE
"r_SPCD[351,Intercept]",0.319472,-0.5572616499999999,1.225222,1.005221367935208,959.7421317219985,1.78248365,TRUE
"r_SPCD[375,Intercept]",0.19491399999999998,-0.6463012,0.9888758499999998,1.00579941562819,796.4405146923349,1.6351770499999998,TRUE
"r_SPCD[661,Intercept]",0.294018,-1.8862244999999997,2.8718439999999985,1.0015847355806953,4902.213691484775,4.7580684999999985,TRUE
"r_SPCD[746,Intercept]",-2.6271649999999998,-3.4708435,-1.8152605000000002,1.0070185861238192,832.8167368689533,1.6555829999999998,TRUE
"r_SPCD[747,Intercept]",0.4369075,-0.392939,1.2406804999999999,1.0057168137320027,763.9198239403122,1.6336194999999998,TRUE
lprior,-4.327275,-4.797622,-4.019537,1.0069343191183375,689.1610558589108,0.7780849999999999,TRUE
lp__,-5035.81,-5043.361,-5030.18,1.002636096114796,1006.6226176612413,13.180999999999585,TRUE
