SPCD,n_stands,qr_slope,species_slope,slope_combined,reineke_b_qr,reineke_b_bayes,reineke_b_combined,diff_from_reineke
42,647,-1.4142540087163031,-1.5342462633329998,-1.4502516851013123,1.4142540087163031,1.5342462633329998,1.4502516851013123,-0.15474831489868768
94,285,-1.88471483461649,-1.6716675889283836,-1.820800660910058,1.88471483461649,1.6716675889283836,1.820800660910058,0.215800660910058
95,127,-1.111901837782691,-1.58779007504265,-1.2546683089606787,1.111901837782691,1.58779007504265,1.2546683089606787,-0.35033169103932127
98,696,-1.5103116245618236,-1.6160534916525373,-1.5420341846890377,1.5103116245618236,1.6160534916525373,1.5420341846890377,-0.06296581531096224
108,123,-1.5774166405402097,-1.520180184359425,-1.5602457036859743,1.5774166405402097,1.520180184359425,1.5602457036859743,-0.04475429631402572
242,337,-1.217843780758775,-1.5173120137098375,-1.3076842506440938,1.217843780758775,1.5173120137098375,1.3076842506440938,-0.2973157493559062
263,1382,-1.5904166156544295,-1.5870563325221023,-1.5894085307147312,1.5904166156544295,1.5870563325221023,1.5894085307147312,-0.015591469285268778
264,809,-1.242531455876958,-1.47826484795725,-1.3132514735010457,1.242531455876958,1.47826484795725,1.3132514735010457,-0.29174852649895433
351,NA,NA,-1.6616632590514624,NA,NA,1.6616632590514624,NA,NA
375,135,-2.271893169536036,-1.801714663566375,-2.1308396177451376,2.271893169536036,1.801714663566375,2.1308396177451376,0.5258396177451377
376,88,-2.2276022638421344,-1.796897644711625,-2.0983908781029816,2.2276022638421344,1.796897644711625,2.0983908781029816,0.49339087810298166
741,NA,NA,-1.6049551242477402,NA,NA,1.6049551242477402,NA,NA
746,61,-1.9692074300634366,-1.6390456405649123,-1.840444332159012,1.9692074300634366,1.6390456405649123,1.840444332159012,0.23544433215901206
747,85,-1.4077760521059006,-1.59941316282055,-1.4652671853202954,1.4077760521059006,1.59941316282055,1.4652671853202954,-0.13973281467970455
