variable,estimate
b_Intercept,-0.331595
b_DBH_std,0.296779
b_IDBH_stdE2,-0.04187525
b_BA_std,-0.1401425
b_BAL_std,-0.04201925
b_CR_std,-0.767396
b_SI_std,-0.22673100000000002
sd_SPCD__Intercept,0.4041675
sigma,1.363365
Intercept,-0.3703155
"r_SPCD[11,Intercept]",0.2658235
"r_SPCD[15,Intercept]",0.244814
"r_SPCD[17,Intercept]",0.2342665
"r_SPCD[19,Intercept]",0.3389685
"r_SPCD[20,Intercept]",0.2811865
"r_SPCD[21,Intercept]",-0.007958014999999999
"r_SPCD[22,Intercept]",-0.11551449999999999
"r_SPCD[41,Intercept]",-0.02695425
"r_SPCD[42,Intercept]",-0.06903655
"r_SPCD[64,Intercept]",0.1522405
"r_SPCD[65,Intercept]",0.948957
"r_SPCD[66,Intercept]",0.9107445
"r_SPCD[72,Intercept]",-0.18532500000000002
"r_SPCD[73,Intercept]",-0.3028395
"r_SPCD[81,Intercept]",0.0038104899999999997
"r_SPCD[93,Intercept]",0.367965
"r_SPCD[98,Intercept]",-0.3816805
"r_SPCD[101,Intercept]",0.26607800000000004
"r_SPCD[103,Intercept]",-0.2507015
"r_SPCD[108,Intercept]",-0.23273100000000002
"r_SPCD[113,Intercept]",-0.29604549999999996
"r_SPCD[116,Intercept]",-0.16874499999999998
"r_SPCD[117,Intercept]",-0.38051250000000003
"r_SPCD[119,Intercept]",0.194201
"r_SPCD[122,Intercept]",0.09553429999999999
"r_SPCD[202,Intercept]",-0.26476
"r_SPCD[211,Intercept]",-0.11619950000000001
"r_SPCD[231,Intercept]",0.7368615000000001
"r_SPCD[242,Intercept]",0.2995765
"r_SPCD[263,Intercept]",0.174364
"r_SPCD[264,Intercept]",0.486674
"r_SPCD[312,Intercept]",-0.22054200000000002
"r_SPCD[322,Intercept]",0.19483250000000002
"r_SPCD[351,Intercept]",-0.1904615
"r_SPCD[352,Intercept]",0.077159
"r_SPCD[361,Intercept]",-0.4857125
"r_SPCD[374,Intercept]",-0.03211625
"r_SPCD[375,Intercept]",-0.4583295
"r_SPCD[431,Intercept]",-0.265088
"r_SPCD[475,Intercept]",-0.16265449999999998
"r_SPCD[492,Intercept]",0.03170915
"r_SPCD[542,Intercept]",-0.0514658
"r_SPCD[544,Intercept]",-0.12479950000000001
"r_SPCD[631,Intercept]",-0.2191565
"r_SPCD[661,Intercept]",0.07379195
"r_SPCD[745,Intercept]",-0.09640115
"r_SPCD[746,Intercept]",-0.37640450000000003
"r_SPCD[747,Intercept]",-0.20528000000000002
"r_SPCD[749,Intercept]",0.12023
"r_SPCD[763,Intercept]",-0.0467517
"r_SPCD[768,Intercept]",-0.3378985
"r_SPCD[805,Intercept]",-0.3119315
"r_SPCD[815,Intercept]",-0.191896
"r_SPCD[818,Intercept]",-0.33468
"r_SPCD[981,Intercept]",0.3649915
lprior,-4.58648
lp__,-26015.65
