variable,p50,p05,p95,rhat,ess_bulk,ci_width,converged
b_Intercept,-0.331595,-0.44535105,-0.22000880000000003,1.0028141725441722,590.7775247597259,0.22534225,TRUE
b_DBH_std,0.296779,0.25895134999999997,0.33468555,1.0001860664732463,4028.3715298931825,0.07573420000000003,TRUE
b_IDBH_stdE2,-0.04187525,-0.053262575,-0.029881345000000004,0.9996834389528289,5987.823372620688,0.023381229999999996,TRUE
b_BA_std,-0.1401425,-0.175622,-0.10384780000000007,1.001094150060609,3602.8182434637856,0.07177419999999993,TRUE
b_BAL_std,-0.04201925,-0.076926935,-0.007716652000000006,1.0016629578312068,3977.6182245577197,0.069210283,TRUE
b_CR_std,-0.767396,-0.7876938,-0.74760715,0.9997697737644693,6746.769006840601,0.04008665,TRUE
b_SI_std,-0.22673100000000002,-0.24991419999999998,-0.20352535000000002,1.0012385618107944,6451.073992888768,0.046388849999999954,TRUE
sd_SPCD__Intercept,0.4041675,0.31733514999999995,0.51350105,1.0014817135160627,970.9759534667244,0.19616590000000006,TRUE
sigma,1.363365,1.3506995,1.37627,1.0033586859369104,8194.78774498414,0.025570500000000163,TRUE
Intercept,-0.3703155,-0.483773,-0.2583513500000001,1.0029858082570184,579.7044772368689,0.22542164999999992,TRUE
"r_SPCD[11,Intercept]",0.2658235,0.1270685,0.40765545,1.0016692426016445,870.5591798537419,0.28058695,TRUE
"r_SPCD[15,Intercept]",0.244814,0.08422201000000001,0.4018444,1.0011304405621646,1016.5185195169712,0.31762239,TRUE
"r_SPCD[17,Intercept]",0.2342665,0.097490465,0.37255135,1.0034820778444027,763.1926093040915,0.27506088500000003,TRUE
"r_SPCD[19,Intercept]",0.3389685,0.2045631,0.47400699999999996,1.0009048650981258,773.133017322726,0.26944389999999996,TRUE
"r_SPCD[20,Intercept]",0.2811865,-0.28069615000000003,0.8851412999999998,1.001409403270886,7303.531190011025,1.1658374499999997,TRUE
"r_SPCD[21,Intercept]",-0.007958014999999999,-0.2697797,0.25753119999999985,1.000828278849001,2450.0793187529657,0.5273108999999998,TRUE
"r_SPCD[22,Intercept]",-0.11551449999999999,-0.37443954999999995,0.12701009999999982,1.0008918569039293,2222.934848518603,0.5014496499999997,TRUE
"r_SPCD[41,Intercept]",-0.02695425,-0.48150580000000004,0.41990075,1.0010050634762389,6397.154033616205,0.90140655,TRUE
"r_SPCD[42,Intercept]",-0.06903655,-0.40883975,0.25600904999999996,1.000420157435761,4662.275354896455,0.6648487999999999,TRUE
"r_SPCD[64,Intercept]",0.1522405,-0.050714255,0.35838244999999985,1.000683600060132,1956.3263891076924,0.40909670499999984,TRUE
"r_SPCD[65,Intercept]",0.948957,0.5301418000000001,1.3920365000000001,1.0003396205458979,3438.997542265892,0.8618947,TRUE
"r_SPCD[66,Intercept]",0.9107445,0.6323293,1.188082,1.0002154686939737,2778.635786523537,0.5557527000000001,TRUE
"r_SPCD[72,Intercept]",-0.18532500000000002,-0.6687396500000001,0.28455094999999964,1.0011398959798607,5229.546986291055,0.9532905999999998,TRUE
"r_SPCD[73,Intercept]",-0.3028395,-0.47249885,-0.13795970000000002,1.001925147228908,1207.6264296189752,0.33453915,TRUE
"r_SPCD[81,Intercept]",0.0038104899999999997,-0.24621044999999997,0.25219879999999983,1.0013051944282303,2504.9417152536294,0.4984092499999998,TRUE
"r_SPCD[93,Intercept]",0.367965,0.21463195000000002,0.5231285,1.0002904506579797,965.9911183527246,0.30849655,TRUE
"r_SPCD[98,Intercept]",-0.3816805,-0.6964449,-0.07136729000000003,1.0011491335475653,3469.382703379186,0.62507761,TRUE
"r_SPCD[101,Intercept]",0.26607800000000004,0.04332993,0.48325405,1.000514479275437,1790.7648678703108,0.43992412,TRUE
"r_SPCD[103,Intercept]",-0.2507015,-0.9182548,0.3594454499999998,1.0018560311227025,5674.663168856231,1.2777002499999999,TRUE
"r_SPCD[108,Intercept]",-0.23273100000000002,-0.35666945,-0.10541775000000005,1.002768165598167,673.6477386657352,0.25125169999999997,TRUE
"r_SPCD[113,Intercept]",-0.29604549999999996,-0.6913717500000001,0.08203922499999983,1.001832760031374,5627.536223872189,0.7734109749999999,TRUE
"r_SPCD[116,Intercept]",-0.16874499999999998,-0.7390599999999999,0.3743568499999989,1.00082155168278,6060.493997923208,1.1134168499999988,TRUE
"r_SPCD[117,Intercept]",-0.38051250000000003,-0.75572935,0.003970915999999993,1.0024649196205235,4686.967500395852,0.759700266,TRUE
"r_SPCD[119,Intercept]",0.194201,-0.1262266,0.5266908,1.0007517866322961,4065.8027185555547,0.6529174,TRUE
"r_SPCD[122,Intercept]",0.09553429999999999,-0.03138655,0.22350704999999993,1.0018988972048806,698.5826658228519,0.25489359999999994,TRUE
"r_SPCD[202,Intercept]",-0.26476,-0.3797092,-0.14655605000000002,1.0030845811933211,608.3232770348125,0.23315315,TRUE
"r_SPCD[211,Intercept]",-0.11619950000000001,-0.7900819,0.5035897,1.0005259071895396,6340.904028482391,1.2936716000000001,TRUE
"r_SPCD[231,Intercept]",0.7368615000000001,0.31277955,1.1956124999999997,1.0001078734174453,4708.551635777842,0.8828329499999997,TRUE
"r_SPCD[242,Intercept]",0.2995765,0.1535577,0.44907949999999985,1.0011385760170728,927.1484444266544,0.29552179999999983,TRUE
"r_SPCD[263,Intercept]",0.174364,0.046017515,0.30501029999999996,1.0016664470875813,714.8766402469996,0.25899278499999995,TRUE
"r_SPCD[264,Intercept]",0.486674,0.32987505,0.6542548999999998,1.002112841600054,1050.4987119271796,0.32437984999999975,TRUE
"r_SPCD[312,Intercept]",-0.22054200000000002,-0.4398111,-1.9878810000001107e-4,1.000954555119916,2186.635290100767,0.4396123119,TRUE
"r_SPCD[322,Intercept]",0.19483250000000002,-0.2877809,0.6700429499999998,1.0009490468878373,7305.812782027054,0.9578238499999998,TRUE
"r_SPCD[351,Intercept]",-0.1904615,-0.36958165000000004,-0.021688710000000052,1.0007934659183528,1322.3232877320297,0.34789294,TRUE
"r_SPCD[352,Intercept]",0.077159,-0.5815123,0.7201089499999996,1.0009990218424623,8024.877054748668,1.3016212499999997,TRUE
"r_SPCD[361,Intercept]",-0.4857125,-0.74341345,-0.23077430000000015,1.000679523577353,2593.028982059854,0.5126391499999998,TRUE
"r_SPCD[374,Intercept]",-0.03211625,-0.68531605,0.6305932,1.001450212206594,8309.764407264405,1.3159092499999998,TRUE
"r_SPCD[375,Intercept]",-0.4583295,-0.87306905,-0.04804683000000021,1.0002111721521727,5334.047291764178,0.8250222199999998,TRUE
"r_SPCD[431,Intercept]",-0.265088,-0.6127255,0.05376603499999992,1.0004668964176544,3844.672338555401,0.6664915349999999,TRUE
"r_SPCD[475,Intercept]",-0.16265449999999998,-0.61170615,0.26752894999999993,1.0002730117074792,6808.36138538765,0.8792350999999998,TRUE
"r_SPCD[492,Intercept]",0.03170915,-0.5386191499999999,0.6121884,0.9998842668893618,7429.925694868564,1.15080755,TRUE
