variable,estimate
lp__,-3206.64
mu_b0,0.399472
sigma_b0,0.561744
z_b0[1],-0.101713
z_b0[2],0.196664
z_b0[3],-0.501221
z_b0[4],0.399256
z_b0[5],-0.258641
z_b0[6],-1.06073
z_b0[7],-0.0711258
z_b0[8],-0.0414413
z_b0[9],0.377867
z_b0[10],0.0451219
z_b0[11],0.682398
z_b0[12],-0.796558
z_b0[13],0.201784
z_b0[14],0.193069
z_b0[15],0.0731914
z_b0[16],-0.00644798
z_b0[17],-0.161535
z_b0[18],0.199744
z_b0[19],-0.166203
z_b0[20],-0.0632822
z_b0[21],0.0349998
z_b0[22],-0.340446
z_b0[23],-0.139065
z_b0[24],-0.0536021
z_b0[25],-0.103868
z_b0[26],0.508024
z_b0[27],-0.455142
z_b0[28],0.102079
z_b0[29],-0.117823
z_b0[30],-0.890016
z_b0[31],-0.0893131
z_b0[32],0.978464
z_b0[33],0.753048
z_b0[34],-0.194139
z_b0[35],-0.0626523
z_b0[36],-0.12684
z_b0[37],-0.339605
z_b0[38],0.773609
z_b0[39],0.111113
z_b0[40],0.0449646
z_b0[41],0.0827983
z_b0[42],0.368671
b1,1.03498
b2,-0.172195
b3,0.00769478
b4,-0.00141531
b5,-0.00309303
b6,-0.00115624
b7,-0.00391264
b8,0.0267102
b9,-0.0122338
b10,0.0254091
b11,-6.75963e-5
b12,-0.248357
b13,0.0486183
sigma,0.674541
b0[1],0.342335
b0[2],0.509947
b0[3],0.117914
b0[4],0.62375100000000006
b0[5],0.254182
b0[6],-0.196386
b0[7],0.359517
b0[8],0.376192
b0[9],0.611736
b0[10],0.424819
b0[11],0.78280400000000006
b0[12],-0.0479899
b0[13],0.512822
b0[14],0.507927
b0[15],0.440586
b0[16],0.395849
b0[17],0.30873
b0[18],0.511676
b0[19],0.306108
b0[20],0.363923
b0[21],0.419132
b0[22],0.208228
b0[23],0.321353
b0[24],0.369361
b0[25],0.341125
b0[26],0.684851
b0[27],0.143798
b0[28],0.456814
b0[29],0.333285
b0[30],-0.100489
b0[31],0.3493
b0[32],0.949118
b0[33],0.822492
b0[34],0.290415
b0[35],0.364277
b0[36],0.32822
b0[37],0.208701
b0[38],0.834042
b0[39],0.461888
b0[40],0.42473
b0[41],0.445983
b0[42],0.60657
ln_DDS_rep[1],-0.171472
ln_DDS_rep[2],-0.838744
ln_DDS_rep[3],2.98861
ln_DDS_rep[4],2.56547
ln_DDS_rep[5],2.90711
ln_DDS_rep[6],0.155589
ln_DDS_rep[7],3.56154
ln_DDS_rep[8],1.55673
ln_DDS_rep[9],1.6908
ln_DDS_rep[10],-1.21922
ln_DDS_rep[11],3.16479
ln_DDS_rep[12],0.878588
ln_DDS_rep[13],-0.9851
ln_DDS_rep[14],3.84278
ln_DDS_rep[15],2.00851
ln_DDS_rep[16],2.72179
ln_DDS_rep[17],1.87256
ln_DDS_rep[18],-1.38001
ln_DDS_rep[19],2.65221
ln_DDS_rep[20],2.36029
ln_DDS_rep[21],2.461
ln_DDS_rep[22],0.0179427
ln_DDS_rep[23],3.69973
ln_DDS_rep[24],1.90877
ln_DDS_rep[25],2.67319
ln_DDS_rep[26],2.27047
ln_DDS_rep[27],-0.289157
ln_DDS_rep[28],1.90786
ln_DDS_rep[29],2.86419
ln_DDS_rep[30],1.95012
ln_DDS_rep[31],2.16816
ln_DDS_rep[32],0.392127
ln_DDS_rep[33],2.95447
ln_DDS_rep[34],2.05946
ln_DDS_rep[35],2.16521
ln_DDS_rep[36],0.965482
ln_DDS_rep[37],0.27665
ln_DDS_rep[38],2.40297
ln_DDS_rep[39],1.19174
ln_DDS_rep[40],0.25716
ln_DDS_rep[41],-1.38149
ln_DDS_rep[42],0.510798
ln_DDS_rep[43],1.5694
ln_DDS_rep[44],1.7602
ln_DDS_rep[45],2.84384
ln_DDS_rep[46],-0.638438
ln_DDS_rep[47],0.602031
ln_DDS_rep[48],1.95341
ln_DDS_rep[49],2.54373
ln_DDS_rep[50],0.523703
ln_DDS_rep[51],0.579477
ln_DDS_rep[52],1.47912
ln_DDS_rep[53],2.3063
ln_DDS_rep[54],-0.346483
ln_DDS_rep[55],0.964531
ln_DDS_rep[56],2.36505
ln_DDS_rep[57],0.471067
ln_DDS_rep[58],1.75023
ln_DDS_rep[59],2.01815
ln_DDS_rep[60],1.46964
ln_DDS_rep[61],0.799542
ln_DDS_rep[62],1.33106
ln_DDS_rep[63],1.88921
ln_DDS_rep[64],1.5706
ln_DDS_rep[65],2.4157
ln_DDS_rep[66],-0.177651
ln_DDS_rep[67],-0.330102
ln_DDS_rep[68],3.12755
ln_DDS_rep[69],3.56077
ln_DDS_rep[70],2.19352
ln_DDS_rep[71],1.45092
ln_DDS_rep[72],2.63314
ln_DDS_rep[73],-0.812775
ln_DDS_rep[74],1.6454
ln_DDS_rep[75],0.790309
ln_DDS_rep[76],2.54724
ln_DDS_rep[77],0.199166
ln_DDS_rep[78],2.57424
ln_DDS_rep[79],-0.0431637
ln_DDS_rep[80],2.76808
ln_DDS_rep[81],2.4262
ln_DDS_rep[82],1.87724
ln_DDS_rep[83],0.0725429
ln_DDS_rep[84],2.15529
ln_DDS_rep[85],2.91853
ln_DDS_rep[86],1.24222
ln_DDS_rep[87],-1.70448
ln_DDS_rep[88],1.17807
ln_DDS_rep[89],1.77879
ln_DDS_rep[90],2.22361
ln_DDS_rep[91],2.70224
ln_DDS_rep[92],-0.059748
ln_DDS_rep[93],1.06977
ln_DDS_rep[94],0.465281
ln_DDS_rep[95],-1.18702
ln_DDS_rep[96],-0.0568333
ln_DDS_rep[97],0.199867
ln_DDS_rep[98],0.959358
ln_DDS_rep[99],2.98138
ln_DDS_rep[100],-0.748851
ln_DDS_rep[101],1.15923
ln_DDS_rep[102],1.69059
ln_DDS_rep[103],-0.864223
ln_DDS_rep[104],0.795328
ln_DDS_rep[105],0.662987
ln_DDS_rep[106],-0.569179
ln_DDS_rep[107],1.52086
ln_DDS_rep[108],0.0174106
ln_DDS_rep[109],2.81046
ln_DDS_rep[110],2.00615
ln_DDS_rep[111],0.0927088
ln_DDS_rep[112],-0.351927
ln_DDS_rep[113],3.13414
ln_DDS_rep[114],2.69877
ln_DDS_rep[115],2.22588
ln_DDS_rep[116],1.48011
ln_DDS_rep[117],-0.948418
ln_DDS_rep[118],2.88359
ln_DDS_rep[119],2.42652
ln_DDS_rep[120],1.00441
ln_DDS_rep[121],1.4972
ln_DDS_rep[122],1.45787
ln_DDS_rep[123],-0.102161
ln_DDS_rep[124],2.00482
ln_DDS_rep[125],2.0628
ln_DDS_rep[126],1.17538
ln_DDS_rep[127],3.81836
ln_DDS_rep[128],1.27041
ln_DDS_rep[129],1.18919
ln_DDS_rep[130],-0.940266
ln_DDS_rep[131],2.58833
ln_DDS_rep[132],1.11675
ln_DDS_rep[133],2.36426
ln_DDS_rep[134],2.14478
ln_DDS_rep[135],1.08062
ln_DDS_rep[136],2.01636
ln_DDS_rep[137],0.525353
ln_DDS_rep[138],1.7692
ln_DDS_rep[139],0.234733
ln_DDS_rep[140],2.44705
ln_DDS_rep[141],3.08941
ln_DDS_rep[142],3.45962
ln_DDS_rep[143],2.26797
ln_DDS_rep[144],1.78968
ln_DDS_rep[145],-1.85369
ln_DDS_rep[146],2.46378
ln_DDS_rep[147],1.24102
ln_DDS_rep[148],1.07719
ln_DDS_rep[149],1.8754
ln_DDS_rep[150],1.16001
ln_DDS_rep[151],-0.74851
ln_DDS_rep[152],1.11473
ln_DDS_rep[153],1.77179
ln_DDS_rep[154],0.49497
ln_DDS_rep[155],3.38457
ln_DDS_rep[156],0.738773
ln_DDS_rep[157],-0.0949007
ln_DDS_rep[158],2.79898
ln_DDS_rep[159],1.28595
ln_DDS_rep[160],2.53971
ln_DDS_rep[161],0.405812
ln_DDS_rep[162],-0.695916
ln_DDS_rep[163],2.98048
ln_DDS_rep[164],2.29889
ln_DDS_rep[165],1.33861
ln_DDS_rep[166],0.982921
ln_DDS_rep[167],-0.538784
ln_DDS_rep[168],1.63538
ln_DDS_rep[169],2.5687
ln_DDS_rep[170],1.72526
ln_DDS_rep[171],3.1485
ln_DDS_rep[172],0.97782
ln_DDS_rep[173],2.9939
ln_DDS_rep[174],2.17197
ln_DDS_rep[175],3.53582
ln_DDS_rep[176],2.41178
ln_DDS_rep[177],-0.839015
ln_DDS_rep[178],0.625879
ln_DDS_rep[179],1.42863
ln_DDS_rep[180],1.78114
ln_DDS_rep[181],2.08521
ln_DDS_rep[182],1.25348
ln_DDS_rep[183],2.84099
ln_DDS_rep[184],1.33144
ln_DDS_rep[185],0.687475
ln_DDS_rep[186],1.75655
ln_DDS_rep[187],2.4142
ln_DDS_rep[188],1.30656
ln_DDS_rep[189],1.52905
ln_DDS_rep[190],0.711411
ln_DDS_rep[191],0.461532
ln_DDS_rep[192],1.72142
ln_DDS_rep[193],-0.310005
ln_DDS_rep[194],1.42786
ln_DDS_rep[195],1.68495
ln_DDS_rep[196],1.31467
ln_DDS_rep[197],4.59853
ln_DDS_rep[198],2.67064
ln_DDS_rep[199],1.33663
ln_DDS_rep[200],0.514855
ln_DDS_rep[201],2.92917
ln_DDS_rep[202],1.09495
ln_DDS_rep[203],0.325012
ln_DDS_rep[204],1.42462
ln_DDS_rep[205],0.172739
ln_DDS_rep[206],0.998043
ln_DDS_rep[207],1.34879
ln_DDS_rep[208],1.87328
ln_DDS_rep[209],-0.780125
ln_DDS_rep[210],-1.9111
ln_DDS_rep[211],-0.0276074
ln_DDS_rep[212],2.89645
ln_DDS_rep[213],0.47184
ln_DDS_rep[214],0.74538
ln_DDS_rep[215],-0.151826
ln_DDS_rep[216],-0.561572
ln_DDS_rep[217],0.376899
ln_DDS_rep[218],1.87851
ln_DDS_rep[219],0.227378
ln_DDS_rep[220],3.29134
ln_DDS_rep[221],1.25902
ln_DDS_rep[222],2.49108
ln_DDS_rep[223],2.24489
ln_DDS_rep[224],1.04852
ln_DDS_rep[225],1.9696
ln_DDS_rep[226],3.51251
ln_DDS_rep[227],3.10557
ln_DDS_rep[228],2.55236
ln_DDS_rep[229],1.35295
ln_DDS_rep[230],1.392
ln_DDS_rep[231],-0.198287
ln_DDS_rep[232],2.07286
ln_DDS_rep[233],1.84919
ln_DDS_rep[234],0.438767
ln_DDS_rep[235],1.13974
ln_DDS_rep[236],0.410546
ln_DDS_rep[237],0.530812
ln_DDS_rep[238],2.97597
ln_DDS_rep[239],2.20831
ln_DDS_rep[240],0.69565
ln_DDS_rep[241],1.59964
ln_DDS_rep[242],1.55838
ln_DDS_rep[243],2.59022
ln_DDS_rep[244],3.78771
ln_DDS_rep[245],3.06328
ln_DDS_rep[246],0.283923
ln_DDS_rep[247],-1.16466
ln_DDS_rep[248],0.302531
ln_DDS_rep[249],-1.69595
ln_DDS_rep[250],3.22353
ln_DDS_rep[251],2.052
ln_DDS_rep[252],1.71257
ln_DDS_rep[253],2.35019
ln_DDS_rep[254],3.11339
ln_DDS_rep[255],1.85995
ln_DDS_rep[256],0.0571639
ln_DDS_rep[257],0.768881
ln_DDS_rep[258],-1.13344
ln_DDS_rep[259],0.525981
ln_DDS_rep[260],-0.553526
ln_DDS_rep[261],1.70924
