SPCD,n_stands,qr_slope,species_slope,slope_combined,reineke_b_qr,reineke_b_bayes,reineke_b_combined,diff_from_reineke
12,2702,-2.1874808466554008,-1.8412566226075,-2.083613579441031,2.1874808466554008,1.8412566226075,2.083613579441031,0.4786135794410309
70,NA,NA,-1.6567485933381287,NA,NA,1.6567485933381287,NA,NA
71,72,-2.6191285331691994,-1.6487738932410498,-2.3280221411907545,2.6191285331691994,1.6487738932410498,2.3280221411907545,0.7230221411907545
91,NA,NA,-1.6492130569710124,NA,NA,1.6492130569710124,NA,NA
94,190,-1.7098818657377204,-1.5535005743847499,-1.6629674783318293,1.7098818657377204,1.5535005743847499,1.6629674783318293,0.05796747833182936
95,354,-2.1643976097024478,-1.800425070645125,-2.055205847985251,2.1643976097024478,1.800425070645125,2.055205847985251,0.4502058479852509
97,1524,-1.9768154090118049,-1.7490850118515375,-1.9084962898637245,1.9768154090118049,1.7490850118515375,1.9084962898637245,0.30349628986372457
125,70,-1.762293443589444,-1.628161466696,-1.7220538505214107,1.762293443589444,1.628161466696,1.7220538505214107,0.11705385052141071
126,NA,NA,-1.5799147643389486,NA,NA,1.5799147643389486,NA,NA
129,1138,-1.7740391391157215,-1.6864491293204473,-1.7477621361771392,1.7740391391157215,1.6864491293204473,1.7477621361771392,0.14276213617713918
241,1510,-1.6882357848476093,-1.5824406635348374,-1.6564972484537779,1.6882357848476093,1.5824406635348374,1.6564972484537779,0.0514972484537779
261,1303,-1.6341206882175914,-1.6026340245512873,-1.6246746891177002,1.6341206882175914,1.6026340245512873,1.6246746891177002,0.019674689117700206
315,NA,NA,-1.6985381940412125,NA,NA,1.6985381940412125,NA,NA
316,1963,-1.9757660276958915,-1.7540512788154,-1.909251603031744,1.9757660276958915,1.7540512788154,1.909251603031744,0.3042516030317439
317,NA,NA,-1.6899737264092112,NA,NA,1.6899737264092112,NA,NA
318,1147,-1.8339449749860142,-1.68310311723306,-1.788692417660128,1.8339449749860142,1.68310311723306,1.788692417660128,0.183692417660128
319,NA,NA,-1.674143157142675,NA,NA,1.674143157142675,NA,NA
320,NA,NA,-1.693246846659595,NA,NA,1.693246846659595,NA,NA
371,664,-1.735266820947057,-1.714440585704791,-1.7290189503743771,1.735266820947057,1.714440585704791,1.7290189503743771,0.12401895037437716
375,405,-1.972031125946192,-1.7844575926137125,-1.9157590659464483,1.972031125946192,1.7844575926137125,1.9157590659464483,0.3107590659464483
379,52,-1.6231857558305582,-1.67340117656775,-1.6472891577844102,1.6231857558305582,1.67340117656775,1.6472891577844102,0.042289157784410225
531,716,-1.7651554605728879,-1.6850085843431875,-1.7411113977039776,1.7651554605728879,1.6850085843431875,1.7411113977039776,0.13611139770397762
541,137,-1.4464804635980268,-1.4928993764947873,-1.460406137467055,1.4464804635980268,1.4928993764947873,1.460406137467055,-0.14459386253294504
543,38,-1.153870449314074,-1.6884281464379125,-1.4852962215308538,1.153870449314074,1.6884281464379125,1.4852962215308538,-0.11970377846914615
544,NA,NA,-1.6434719211375624,NA,NA,1.6434719211375624,NA,NA
660,NA,NA,-1.734362664947131,NA,NA,1.734362664947131,NA,NA
701,NA,NA,-1.5905609125104625,NA,NA,1.5905609125104625,NA,NA
741,31,-1.1223720712855814,-1.6462621677036386,-1.4838562378140407,1.1223720712855814,1.6462621677036386,1.4838562378140407,-0.12114376218595924
743,182,-1.6554746018172206,-1.628593432739175,-1.647410251093807,1.6554746018172206,1.628593432739175,1.647410251093807,0.04241025109380692
746,279,-1.7139839378754163,-1.6417799239734012,-1.692322733704812,1.7139839378754163,1.6417799239734012,1.692322733704812,0.08732273370481192
761,NA,NA,-1.6889699579957649,NA,NA,1.6889699579957649,NA,NA
762,NA,NA,-1.6404953813085625,NA,NA,1.6404953813085625,NA,NA
802,NA,NA,-1.67318407505425,NA,NA,1.67318407505425,NA,NA
833,411,-1.6991113230979986,-1.6414783303326,-1.6818214252683792,1.6991113230979986,1.6414783303326,1.6818214252683792,0.0768214252683792
837,NA,NA,-1.6960307815018274,NA,NA,1.6960307815018274,NA,NA
951,NA,NA,-1.668850527158981,NA,NA,1.668850527158981,NA,NA
