SPCD,ln_sdimax_offset,ln_sdimax,sdimax_bayes,slope_offset,species_slope,qr_sdimax_10,qr_slope,n_stands,w_qr,w_bayes,sdimax_combined,slope_combined,fvs_sdimax_prior
12,0.26618501595,5.836061668449999,342.4280862319173,-0.1720263763575,-1.8412566226075,325.9804679275019,-2.1874808466554008,2702,0.7,0.30000000000000004,330.91475341882654,-2.083613579441031,NA
70,-0.3052106178925,5.2646660346075,193.38171520159133,0.01248165291187125,-1.6567485933381287,NA,NA,NA,NA,NA,NA,NA,NA
71,0.10687511463194625,5.676751767131946,291.9994057407946,0.02045635300895,-1.6487738932410498,245.18508800009735,-2.6191285331691994,72,0.7,0.30000000000000004,259.22938332230655,-2.3280221411907545,NA
91,0.420633329375,5.990509981874999,399.61835608779126,0.0200171892789875,-1.6492130569710124,NA,NA,NA,NA,NA,NA,NA,NA
94,0.165952887013875,5.735829539513874,309.76983052144016,0.11572967186525,-1.5535005743847499,372.5252824461099,-1.7098818657377204,190,0.7,0.30000000000000004,353.698646868709,-1.6629674783318293,NA
95,-0.0236046745524625,5.546271977947537,256.2803539682133,-0.131194824395125,-1.800425070645125,264.5952150157143,-2.1643976097024478,354,0.7,0.30000000000000004,262.10075670146404,-2.055205847985251,NA
97,0.280567050575,5.850443703074999,347.3884836265906,-0.0798547656015375,-1.7490850118515375,380.1043815372442,-1.9768154090118049,1524,0.7,0.30000000000000004,370.2896121640481,-1.9084962898637245,NA
125,0.25030021173625,5.82017686423625,337.0316572056891,0.041068779554,-1.628161466696,393.28641270716963,-1.762293443589444,70,0.7,0.30000000000000004,376.4099860567254,-1.7220538505214107,NA
126,-0.38958405609375,5.180292596406249,177.73480795200405,0.08931548191105125,-1.5799147643389486,NA,NA,NA,NA,NA,NA,NA,NA
129,0.293620158975,5.863496811475,351.9527070059817,-0.0172188830704475,-1.6864491293204473,443.65404079758764,-1.7740391391157215,1138,0.7,0.30000000000000004,416.14364066010586,-1.7477621361771392,NA
241,0.5289192565,6.098795909,445.321239834725,0.0867895827151625,-1.5824406635348374,541.8516044495374,-1.6882357848476093,1510,0.7,0.30000000000000004,512.8924950650937,-1.6564972484537779,NA
261,0.3607617494125,5.9306384019125,376.3947282542776,0.0665962216987125,-1.6026340245512873,450.80656569803784,-1.6341206882175914,1303,0.7,0.30000000000000004,428.4830144649098,-1.6246746891177002,NA
315,0.12417735599963625,5.694054008499636,297.095610686256,-0.0293079477912125,-1.6985381940412125,NA,NA,NA,NA,NA,NA,NA,NA
316,0.13285702875525,5.70273368125525,299.6855269171875,-0.0848210325654,-1.7540512788154,330.5891763159419,-1.9757660276958915,1963,0.7,0.30000000000000004,321.3180814963156,-1.909251603031744,NA
317,-1.076551135375,4.493325517124999,89.41831411975228,-0.02074348015921125,-1.6899737264092112,NA,NA,NA,NA,NA,NA,NA,NA
318,0.0939114980576875,5.6637881505576875,288.2384677542016,-0.01387287098306,-1.68310311723306,317.4977318261021,-1.8339449749860142,1147,0.7,0.30000000000000004,308.71995260453195,-1.788692417660128,NA
319,0.09880807114675,5.6686847236467495,289.6533095899651,-0.004912910892675,-1.674143157142675,NA,NA,NA,NA,NA,NA,NA,NA
320,-0.754859699125,4.815016953374999,123.34890347266867,-0.024016600409595,-1.693246846659595,NA,NA,NA,NA,NA,NA,NA,NA
371,0.10968561316515,5.679562265665149,292.82122396082127,-0.04521033945479125,-1.714440585704791,361.62917388585424,-1.735266820947057,664,0.7,0.30000000000000004,340.98678890834435,-1.7290189503743771,NA
375,0.176738828388925,5.7466154808889245,313.12907348521315,-0.1152273463637125,-1.7844575926137125,341.62717363078497,-1.972031125946192,405,0.7,0.30000000000000004,333.07774358711345,-1.9157590659464483,NA
379,-0.045363885905125,5.524512766594874,250.76412759099074,-0.00417093031775,-1.67340117656775,356.72502430658625,-1.6231857558305582,52,0.52,0.48,305.8637938831004,-1.6472891577844102,NA
531,0.119138350823125,5.689015003323124,295.6023099010524,-0.0157783380931875,-1.6850085843431875,338.4555376647163,-1.7651554605728879,716,0.7,0.30000000000000004,325.59956933561716,-1.7411113977039776,NA
541,0.254190688975,5.824067341475,338.3454251318144,0.1763308697552125,-1.4928993764947873,425.8563558084011,-1.4464804635980268,137,0.7,0.30000000000000004,399.60307660542503,-1.460406137467055,NA
543,0.0672708837733,5.637147536273299,280.6610002600763,-0.0191979001879125,-1.6884281464379125,532.6444753895803,-1.153870449314074,38,0.38,0.62,376.4147208092878,-1.4852962215308538,NA
544,-0.832699149125,4.737177503374999,114.11166692288612,0.0257583251124375,-1.6434719211375624,NA,NA,NA,NA,NA,NA,NA,NA
660,-0.632938309625,4.936938342875,139.34297539683072,-0.06513241869713113,-1.734362664947131,NA,NA,NA,NA,NA,NA,NA,NA
701,-0.10711125786235,5.46276539463765,235.74846129402403,0.0786693337395375,-1.5905609125104625,NA,NA,NA,NA,NA,NA,NA,NA
741,0.1444119369322125,5.714288589432212,303.1684493350014,0.02296807854636125,-1.6462621677036386,540.6915278220613,-1.1223720712855814,31,0.31,0.69,376.80060366598997,-1.4838562378140407,NA
743,0.351391458825,5.921268111324999,372.88427295354285,0.040636813510825,-1.628593432739175,450.75578404171443,-1.6554746018172206,182,0.7,0.30000000000000004,427.3943307152629,-1.647410251093807,NA
