variable,p50,p05,p95,rhat,ess_bulk
b_Intercept,0.1843195,0.11335365,0.26104544999999996,1.0039835356280216,1012.8783897777341
b_CR_t1_std,0.575624,0.56955395,0.5814480000000001,1.000000094560659,6341.052259234224
b_DBH_std,0.06897305000000001,0.025142985,0.10849299999999999,1.0010723383858533,1425.2008021157849
b_IDBH_stdE2,-0.0108262,-0.01598783,-0.005889938000000002,1.00070747831692,6260.61519121205
b_BA_std,-0.05941955,-0.06865443500000001,-0.0501781,1.0010758293035737,4678.160540313147
b_BAL_std,-0.04855135,-0.05927447,-0.037906140000000005,1.001016990190305,4007.678987800442
b_SI_std,-0.02787885,-0.034448610000000005,-0.021594610000000004,1.0030612183701966,5973.783935541975
b_relDBH_std,-0.0265404,-0.036817594999999995,-0.016497950000000004,1.001975852582488,5378.715050585076
sd_SPCD_grouped__Intercept,0.1418875,0.09506884,0.22606584999999998,1.0008975740015547,1240.3159292857213
sd_SPCD_grouped__DBH_std,0.06625875,0.03919679,0.1176736,1.0047915794441216,1424.7797253831584
cor_SPCD_grouped__Intercept__DBH_std,-0.5059765,-0.8496387,0.1228171499999997,1.0035364670654412,1750.94099911955
phi,11.6812,11.538,11.835315,1.0007428631706157,5630.870839778539
Intercept,0.170573,0.098069765,0.24737539999999997,1.0039969138164266,1009.0883489499498
"r_SPCD_grouped[OTHER,Intercept]",-0.00846391,-0.1355083,0.11401245,1.0006273709650246,2336.4905805788244
"r_SPCD_grouped[15,Intercept]",0.0166685,-0.07172903,0.10355535,1.0013986118495797,1397.342265491641
"r_SPCD_grouped[17,Intercept]",0.08845345,0.011846390000000002,0.16159674999999998,1.0039309634057911,1020.7263552007329
"r_SPCD_grouped[19,Intercept]",0.0130515,-0.07136647999999998,0.08962484999999998,1.0048591522634653,1097.7270118906483
"r_SPCD_grouped[64,Intercept]",0.033913,-0.046429454999999994,0.1099452499999999,1.002826578194406,1121.671922322904
"r_SPCD_grouped[73,Intercept]",-0.129476,-0.21213849999999998,-0.05461733500000006,1.004069989806279,1088.5771895391526
"r_SPCD_grouped[93,Intercept]",0.193615,0.11467975,0.26905415,1.0032920841563262,1077.8103085111334
"r_SPCD_grouped[101,Intercept]",-0.19379049999999998,-0.3119319,-0.09115665,1.0009218009369147,2060.0482040759357
"r_SPCD_grouped[108,Intercept]",-0.155161,-0.2368509,-0.07881500500000002,1.0031401402045577,1101.7616057761552
"r_SPCD_grouped[122,Intercept]",-0.0493422,-0.12681835,0.022265814999999994,1.0041961979460166,1018.598613654851
"r_SPCD_grouped[202,Intercept]",0.0321838,-0.04417700000000001,0.10493529999999997,1.0042316229346753,1025.5905340451525
"r_SPCD_grouped[264,Intercept]",0.19332349999999998,0.04788319500000001,0.35583609999999966,1.0013038359865716,2557.637735698243
"r_SPCD_grouped[OTHER,DBH_std]",-0.0187528,-0.1093459,0.06286106999999999,1.0000985386724348,3951.389170837504
"r_SPCD_grouped[15,DBH_std]",-0.0506488,-0.11276425,0.0066924144999999866,1.0000622465852607,2376.9843986818
"r_SPCD_grouped[17,DBH_std]",-0.01123005,-0.049896289999999996,0.03328425499999999,1.0008869699786591,1409.0690155219463
"r_SPCD_grouped[19,DBH_std]",-0.04310605,-0.1007255,0.011627619999999997,1.0018790648966942,2325.596628305502
"r_SPCD_grouped[64,DBH_std]",-0.00750577,-0.056596324999999996,0.04311214999999998,1.001168383996371,1787.8521055688732
"r_SPCD_grouped[73,DBH_std]",0.05946315,0.016246190000000008,0.10836335,1.0010552327705171,1682.3411824494035
"r_SPCD_grouped[93,DBH_std]",0.011293500000000001,-0.032623164999999996,0.062260559999999986,1.0014572307335752,1610.0561043542016
"r_SPCD_grouped[101,DBH_std]",0.02713275,-0.052521609999999996,0.10423274999999999,1.0004111969143554,3347.236619418772
"r_SPCD_grouped[108,DBH_std]",0.1173705,0.06577538499999999,0.18288439999999997,1.0018848433141607,1807.233636394635
"r_SPCD_grouped[122,DBH_std]",0.0032701650000000002,-0.035035615,0.046796189999999994,1.0006533053841349,1443.753614685561
"r_SPCD_grouped[202,DBH_std]",-0.016847,-0.05622245000000001,0.02673919499999995,1.0010052669229892,1516.2553262714757
"r_SPCD_grouped[264,DBH_std]",-0.07289799999999999,-0.2020621,0.020635759999999934,1.0007550580203175,3340.4665013542694
lprior,-21.4479,-21.551904999999998,-21.3852,1.001105754635344,1313.7987926372346
lp__,18440.5,18431,18448.6,1.0025002716195632,950.9831274133429
