variable,estimate
lp__,-4744.4
mu_b0,1.5197
sigma_b0,0.634497
z_b0[1],0.458501
z_b0[2],0.724394
z_b0[3],-0.269668
z_b0[4],-0.849593
z_b0[5],0.0228639
z_b0[6],-0.105813
z_b0[7],0.405164
z_b0[8],-0.126396
z_b0[9],-0.114453
z_b0[10],0.0113736
z_b0[11],-0.134339
z_b0[12],0.0643916
z_b0[13],-0.141752
z_b0[14],0.13062000000000001
z_b0[15],-0.028762
z_b0[16],-0.0149258
z_b0[17],0.0151936
z_b0[18],0.00252751
z_b0[19],-0.0128498
z_b0[20],-0.0277715
b1,1.02202
b2,-0.325076
b3,0.101217
b4,-0.0653931
b5,0.00706661
b6,0.00116685
b7,-0.0212855
b8,-0.0922457
b9,0.00903483
b10,0.0177913
b11,-5.73908e-6
b12,-0.226287
b13,0.0294915
sigma,0.710475
b0[1],1.81062
b0[2],1.97933
b0[3],1.3486
b0[4],0.980636
b0[5],1.53421
b0[6],1.45256
b0[7],1.77678
b0[8],1.4395
b0[9],1.44708
b0[10],1.52692
b0[11],1.43446
b0[12],1.56056
b0[13],1.42976
b0[14],1.60258
b0[15],1.50145
b0[16],1.51023
b0[17],1.52934
b0[18],1.5213
b0[19],1.51155
b0[20],1.50208
ln_DDS_rep[1],1.46102
ln_DDS_rep[2],2.07873
ln_DDS_rep[3],2.81508
ln_DDS_rep[4],3.76637
ln_DDS_rep[5],3.00098
ln_DDS_rep[6],3.24601
ln_DDS_rep[7],3.2706
ln_DDS_rep[8],1.71579
ln_DDS_rep[9],2.12394
ln_DDS_rep[10],2.35892
ln_DDS_rep[11],1.31711
ln_DDS_rep[12],4.5995
ln_DDS_rep[13],2.28801
ln_DDS_rep[14],2.72126
ln_DDS_rep[15],2.00673
ln_DDS_rep[16],0.577486
ln_DDS_rep[17],2.23434
ln_DDS_rep[18],1.29319
ln_DDS_rep[19],3.45058
ln_DDS_rep[20],4.8832
ln_DDS_rep[21],3.2664
ln_DDS_rep[22],2.23756
ln_DDS_rep[23],3.76717
ln_DDS_rep[24],2.18883
ln_DDS_rep[25],2.17072
ln_DDS_rep[26],3.41138
ln_DDS_rep[27],-0.0518824
ln_DDS_rep[28],3.40066
ln_DDS_rep[29],2.31854
ln_DDS_rep[30],4.42459
ln_DDS_rep[31],2.89562
ln_DDS_rep[32],3.73807
ln_DDS_rep[33],2.59449
ln_DDS_rep[34],1.8716
ln_DDS_rep[35],1.73566
ln_DDS_rep[36],0.421142
ln_DDS_rep[37],3.59954
ln_DDS_rep[38],3.14534
