variable,estimate
b_Intercept,2.618575
b_DBH_std,-0.966314
b_IDBH_stdE2,0.19678400000000001
b_BAL_std,-1.284945
b_CR_std,0.466588
b_SI_std,0.10660649999999999
b_BA_std,0.911648
sd_SPCD__Intercept,0.6205915
Intercept,2.80656
"r_SPCD[15,Intercept]",0.02385275
"r_SPCD[17,Intercept]",-0.02557945
"r_SPCD[19,Intercept]",-0.864606
"r_SPCD[64,Intercept]",0.452441
"r_SPCD[66,Intercept]",0.07108045
"r_SPCD[73,Intercept]",0.3880525
"r_SPCD[93,Intercept]",0.6366025
"r_SPCD[101,Intercept]",-0.744353
"r_SPCD[108,Intercept]",-0.635424
"r_SPCD[119,Intercept]",-0.15551949999999998
"r_SPCD[122,Intercept]",0.152146
"r_SPCD[202,Intercept]",0.20813500000000001
"r_SPCD[231,Intercept]",0.263317
"r_SPCD[264,Intercept]",0.3662745
"r_SPCD[351,Intercept]",0.373657
"r_SPCD[375,Intercept]",0.0393489
"r_SPCD[746,Intercept]",0.41319700000000004
"r_SPCD[747,Intercept]",-0.3274725
"r_SPCD[763,Intercept]",-0.31916849999999997
"r_SPCD[768,Intercept]",-0.1535245
lprior,-3.8845099999999997
lp__,-7315.455
