SPCD,n_stands,qr_intercept,qr_slope,qr_sdimax_10,reineke_sdimax
11,220,10.1249827522168,-1.5672863774000014,675.9860928761433,688.6926156779003
15,814,10.196003685348185,-1.6850320548735624,553.3960859409142,759.3725025954559
17,1111,9.855630913839358,-1.6068402886040227,471.417643877814,668.63900371856
19,105,10.604602921575761,-1.9831328171790523,419.1676081186581,605.594778257372
21,148,10.707349595260316,-1.8068313270806893,697.1263811872141,797.5922166881898
22,93,9.1837628448047,-1.1208231377099183,737.2832863618606,795.6622757856802
64,421,8.825464625878487,-1.4501056263145056,241.40427735536514,276.99634561124395
73,155,10.142377017128693,-1.740715451353122,461.38441507506985,622.6885103372846
81,103,9.051256596441227,-1.1786722191111725,565.2474021348038,626.215294300645
93,154,9.49419984010187,-1.4355406994381654,487.23435309533374,522.5403094928898
98,80,9.276857643586972,-1.3474905304538174,480.17279812535145,638.5702827410859
108,1385,9.993954755297827,-1.7557562216734106,384.2051490854495,602.6744960836195
117,39,9.746007716628847,-1.4605203117856576,591.7211057317123,575.2932709165495
122,3464,10.24711120883241,-1.925562131908928,334.7354600122819,606.1235673749143
202,7670,9.928782994922985,-1.529538445989428,606.0064139119662,928.188254725291
242,137,10.153834536086405,-1.5769174188766806,680.51372746128,692.2304423433026
263,703,10.17422935946966,-1.6301205152462224,614.4565147709717,702.0880016697778
264,422,10.4092457144879,-1.7003081427622744,661.2563138399381,880.3535324841811
312,98,9.90950586687176,-1.679839709704973,420.53680094140714,501.14683524478846
351,351,9.91226653134668,-1.7131001802159138,390.6092085557006,471.88573162559095
361,109,9.73424507371559,-1.4575175668520766,588.8590502332652,625.665923157652
475,34,8.77386802307737,-1.2859372995185465,334.5839991843004,323.3128064233742
631,132,10.254345675944066,-1.6439634762192503,644.8255932534424,706.8653390003292
805,47,8.691367380496523,-0.9493903859975534,668.6864263347256,541.9059308235012
815,142,8.992434355999023,-1.3970330234255863,322.35291086015184,486.48049417438364
818,32,8.762217259369676,-1.1675422385340803,434.35054066804264,425.72982432265206
