variable,estimate
lp__,-7355.41
mu_b0,1.53539
sigma_b0,0.757785
z_b0[1],0.134396
z_b0[2],0.704681
z_b0[3],-0.12153
z_b0[4],0.581279
z_b0[5],0.523458
z_b0[6],-0.00877585
z_b0[7],0.121215
z_b0[8],-0.229565
z_b0[9],-0.202108
z_b0[10],0.0363676
z_b0[11],-0.321585
z_b0[12],-0.513137
z_b0[13],0.0912842
z_b0[14],0.145532
z_b0[15],-0.0872278
z_b0[16],-0.299188
z_b0[17],-0.0712549
z_b0[18],-0.0916515
z_b0[19],0.0933315
z_b0[20],0.615754
z_b0[21],0.217209
z_b0[22],0.163124
z_b0[23],0.619182
z_b0[24],0.613829
z_b0[25],-0.520792
z_b0[26],-0.0116439
z_b0[27],-0.215978
z_b0[28],-0.40303
z_b0[29],0.0938257
z_b0[30],-0.232526
z_b0[31],-0.0493226
z_b0[32],0.436909
z_b0[33],0.159465
z_b0[34],0.102385
z_b0[35],-0.543513
z_b0[36],-0.210754
z_b0[37],0.0215946
z_b0[38],0.0582036
z_b0[39],0.00870075
z_b0[40],0.19649
z_b0[41],0.258518
z_b0[42],0.138859
z_b0[43],0.12018
z_b0[44],-0.0414732
z_b0[45],-0.353495
z_b0[46],-0.611496
z_b0[47],-0.750831
z_b0[48],-0.220396
z_b0[49],0.0472859
z_b0[50],0.0321518
z_b0[51],-0.297892
b1,1.08028
b2,-0.31025
b3,0.164856
b4,-0.0866933
b5,0.0351569
b6,0.00166538
b7,-0.0263694
b8,-0.0313449
b9,-0.0170489
b10,0.0142375
b11,5.90258e-6
b12,-0.194613
b13,0.0387033
sigma,0.774158
b0[1],1.63724
b0[2],2.06939
b0[3],1.4433
b0[4],1.97588
b0[5],1.9320600000000001
b0[6],1.52874
b0[7],1.62725
b0[8],1.36143
b0[9],1.38224
b0[10],1.56295
b0[11],1.2917
b0[12],1.14655
b0[13],1.60457
b0[14],1.64568
b0[15],1.4693
b0[16],1.30868
b0[17],1.4814
b0[18],1.46594
b0[19],1.60612
b0[20],2.002
b0[21],1.69999
b0[22],1.65901
b0[23],2.0046
b0[24],2.00055
b0[25],1.14075
b0[26],1.52657
b0[27],1.37173
b0[28],1.22998
b0[29],1.60649
b0[30],1.35919
b0[31],1.49802
b0[32],1.86648
b0[33],1.65623
b0[34],1.61298
b0[35],1.12353
b0[36],1.37569
b0[37],1.55176
b0[38],1.5795
b0[39],1.54199
b0[40],1.68429
b0[41],1.7313
b0[42],1.64062
b0[43],1.62647
b0[44],1.50397
b0[45],1.26752
b0[46],1.07201
b0[47],0.966427
b0[48],1.36838
b0[49],1.57123
b0[50],1.55976
b0[51],1.30966
ln_DDS_rep[1],1.22178
ln_DDS_rep[2],-1.21989
ln_DDS_rep[3],4.17319
ln_DDS_rep[4],2.16209
ln_DDS_rep[5],0.536137
ln_DDS_rep[6],4.03769
ln_DDS_rep[7],3.48524
ln_DDS_rep[8],2.04422
ln_DDS_rep[9],2.50002
ln_DDS_rep[10],4.32409
ln_DDS_rep[11],2.52361
ln_DDS_rep[12],1.89093
ln_DDS_rep[13],4.25513
ln_DDS_rep[14],1.80989
ln_DDS_rep[15],1.13262
ln_DDS_rep[16],0.67473
ln_DDS_rep[17],2.27508
ln_DDS_rep[18],1.67012
ln_DDS_rep[19],2.49317
ln_DDS_rep[20],1.79252
ln_DDS_rep[21],1.10591
ln_DDS_rep[22],6.05708
ln_DDS_rep[23],3.36934
ln_DDS_rep[24],0.713645
ln_DDS_rep[25],4.47055
ln_DDS_rep[26],3.31271
ln_DDS_rep[27],1.37928
ln_DDS_rep[28],2.42791
ln_DDS_rep[29],2.92558
ln_DDS_rep[30],1.11908
ln_DDS_rep[31],4.01718
ln_DDS_rep[32],0.499327
ln_DDS_rep[33],3.94274
ln_DDS_rep[34],2.65787
ln_DDS_rep[35],3.75974
ln_DDS_rep[36],2.80431
ln_DDS_rep[37],4.02164
ln_DDS_rep[38],3.59587
ln_DDS_rep[39],1.97255
ln_DDS_rep[40],3.98998
ln_DDS_rep[41],2.55708
ln_DDS_rep[42],1.19486
ln_DDS_rep[43],4.48132
ln_DDS_rep[44],3.38217
ln_DDS_rep[45],2.70922
ln_DDS_rep[46],2.74933
ln_DDS_rep[47],3.86691
ln_DDS_rep[48],1.11364
ln_DDS_rep[49],0.859222
ln_DDS_rep[50],0.942544
ln_DDS_rep[51],3.47966
ln_DDS_rep[52],1.26036
ln_DDS_rep[53],0.672994
ln_DDS_rep[54],1.2716
ln_DDS_rep[55],0.959082
ln_DDS_rep[56],4.20663
ln_DDS_rep[57],2.57122
ln_DDS_rep[58],3.54789
ln_DDS_rep[59],1.00346
ln_DDS_rep[60],4.67795
ln_DDS_rep[61],-0.279135
ln_DDS_rep[62],4.0052
ln_DDS_rep[63],4.69561
ln_DDS_rep[64],-0.624318
ln_DDS_rep[65],-0.511302
ln_DDS_rep[66],1.5866
ln_DDS_rep[67],3.54247
ln_DDS_rep[68],0.00320929
ln_DDS_rep[69],2.82224
ln_DDS_rep[70],2.90684
ln_DDS_rep[71],4.16269
ln_DDS_rep[72],1.51897
ln_DDS_rep[73],0.618975
ln_DDS_rep[74],0.851177
ln_DDS_rep[75],2.04474
ln_DDS_rep[76],4.33812
ln_DDS_rep[77],0.852155
ln_DDS_rep[78],0.335575
ln_DDS_rep[79],1.5389
ln_DDS_rep[80],2.65165
ln_DDS_rep[81],3.84828
ln_DDS_rep[82],3.17105
ln_DDS_rep[83],1.77122
ln_DDS_rep[84],3.46731
ln_DDS_rep[85],2.87093
ln_DDS_rep[86],1.93245
ln_DDS_rep[87],2.74754
ln_DDS_rep[88],1.51534
ln_DDS_rep[89],2.26552
ln_DDS_rep[90],0.752659
ln_DDS_rep[91],0.979684
ln_DDS_rep[92],5.56148
ln_DDS_rep[93],1.89572
ln_DDS_rep[94],1.98488
ln_DDS_rep[95],2.5685
ln_DDS_rep[96],3.17596
ln_DDS_rep[97],3.28461
ln_DDS_rep[98],2.89195
ln_DDS_rep[99],2.16448
ln_DDS_rep[100],4.08643
ln_DDS_rep[101],1.8151
ln_DDS_rep[102],1.46594
ln_DDS_rep[103],3.666
ln_DDS_rep[104],-1.03628
ln_DDS_rep[105],2.8769
ln_DDS_rep[106],2.83541
ln_DDS_rep[107],4.5911
ln_DDS_rep[108],1.08409
ln_DDS_rep[109],4.70545
ln_DDS_rep[110],4.46364
ln_DDS_rep[111],2.31529
ln_DDS_rep[112],2.1356
ln_DDS_rep[113],1.16631
ln_DDS_rep[114],2.54146
ln_DDS_rep[115],3.43763
ln_DDS_rep[116],2.43762
ln_DDS_rep[117],1.14403
ln_DDS_rep[118],3.57767
ln_DDS_rep[119],2.43228
ln_DDS_rep[120],3.26204
ln_DDS_rep[121],1.64244
ln_DDS_rep[122],3.55595
ln_DDS_rep[123],2.61073
ln_DDS_rep[124],0.673215
ln_DDS_rep[125],2.09615
ln_DDS_rep[126],1.78454
ln_DDS_rep[127],2.75936
ln_DDS_rep[128],2.87292
ln_DDS_rep[129],1.05518
ln_DDS_rep[130],3.52586
ln_DDS_rep[131],2.27968
ln_DDS_rep[132],0.140748
ln_DDS_rep[133],3.68248
ln_DDS_rep[134],2.75402
ln_DDS_rep[135],2.19493
ln_DDS_rep[136],-0.25366
ln_DDS_rep[137],2.21077
ln_DDS_rep[138],2.01281
ln_DDS_rep[139],2.86053
ln_DDS_rep[140],2.73426
ln_DDS_rep[141],2.18662
ln_DDS_rep[142],2.19022
ln_DDS_rep[143],0.980634
ln_DDS_rep[144],0.847677
ln_DDS_rep[145],3.55364
ln_DDS_rep[146],2.8885
ln_DDS_rep[147],3.21058
ln_DDS_rep[148],1.47145
ln_DDS_rep[149],0.313178
ln_DDS_rep[150],2.28564
ln_DDS_rep[151],6.10715
ln_DDS_rep[152],1.39344
ln_DDS_rep[153],1.74403
ln_DDS_rep[154],1.6703
ln_DDS_rep[155],3.80007
ln_DDS_rep[156],2.97012
ln_DDS_rep[157],5.13768
ln_DDS_rep[158],0.866521
ln_DDS_rep[159],3.92279
ln_DDS_rep[160],3.36798
ln_DDS_rep[161],2.8731
ln_DDS_rep[162],3.30716
ln_DDS_rep[163],2.65539
ln_DDS_rep[164],0.854796
ln_DDS_rep[165],2.01568
ln_DDS_rep[166],4.39069
ln_DDS_rep[167],2.79973
ln_DDS_rep[168],5.0109
ln_DDS_rep[169],1.94854
ln_DDS_rep[170],2.79489
ln_DDS_rep[171],2.8323
ln_DDS_rep[172],1.69766
ln_DDS_rep[173],1.59054
ln_DDS_rep[174],1.0307
ln_DDS_rep[175],1.2445600000000001
ln_DDS_rep[176],4.34887
ln_DDS_rep[177],2.91169
ln_DDS_rep[178],1.25981
ln_DDS_rep[179],3.00064
ln_DDS_rep[180],1.97647
ln_DDS_rep[181],5.10725
ln_DDS_rep[182],4.05904
ln_DDS_rep[183],2.59921
ln_DDS_rep[184],2.90334
ln_DDS_rep[185],1.31255
ln_DDS_rep[186],3.52248
ln_DDS_rep[187],2.53709
ln_DDS_rep[188],4.2228
ln_DDS_rep[189],3.47557
ln_DDS_rep[190],4.71879
ln_DDS_rep[191],4.48483
ln_DDS_rep[192],1.95606
ln_DDS_rep[193],1.93157
ln_DDS_rep[194],1.09842
ln_DDS_rep[195],2.92539
ln_DDS_rep[196],2.31903
ln_DDS_rep[197],1.95538
ln_DDS_rep[198],1.38711
ln_DDS_rep[199],3.03901
ln_DDS_rep[200],2.96016
ln_DDS_rep[201],1.66117
ln_DDS_rep[202],2.31791
ln_DDS_rep[203],3.10552
ln_DDS_rep[204],2.89958
ln_DDS_rep[205],2.03339
ln_DDS_rep[206],2.45843
ln_DDS_rep[207],4.14309
ln_DDS_rep[208],4.4072
ln_DDS_rep[209],2.02799
ln_DDS_rep[210],2.62638
ln_DDS_rep[211],1.68847
ln_DDS_rep[212],4.72404
ln_DDS_rep[213],1.86552
ln_DDS_rep[214],1.73904
ln_DDS_rep[215],2.00348
ln_DDS_rep[216],2.25622
ln_DDS_rep[217],3.74613
ln_DDS_rep[218],0.826461
ln_DDS_rep[219],-0.828411
ln_DDS_rep[220],2.27027
ln_DDS_rep[221],0.508106
ln_DDS_rep[222],1.7765
ln_DDS_rep[223],2.09611
ln_DDS_rep[224],4.88952
ln_DDS_rep[225],1.22324
ln_DDS_rep[226],2.05986
ln_DDS_rep[227],4.70833
ln_DDS_rep[228],3.26471
ln_DDS_rep[229],2.0241
ln_DDS_rep[230],2.78811
ln_DDS_rep[231],3.8127
ln_DDS_rep[232],1.6746
ln_DDS_rep[233],3.36806
ln_DDS_rep[234],4.37284
ln_DDS_rep[235],3.51074
ln_DDS_rep[236],4.61779
ln_DDS_rep[237],2.26297
ln_DDS_rep[238],3.53148
ln_DDS_rep[239],3.14221
ln_DDS_rep[240],2.58111
ln_DDS_rep[241],1.27701
ln_DDS_rep[242],3.17635
ln_DDS_rep[243],1.42389
ln_DDS_rep[244],3.8048
ln_DDS_rep[245],1.77779
ln_DDS_rep[246],2.90548
ln_DDS_rep[247],2.60909
ln_DDS_rep[248],4.63767
ln_DDS_rep[249],1.2556
ln_DDS_rep[250],3.40238
ln_DDS_rep[251],1.84448
ln_DDS_rep[252],2.75801
ln_DDS_rep[253],3.89144
ln_DDS_rep[254],2.1019
ln_DDS_rep[255],1.38447
ln_DDS_rep[256],2.00697
ln_DDS_rep[257],3.64996
ln_DDS_rep[258],4.75138
ln_DDS_rep[259],2.1383
ln_DDS_rep[260],2.17214
ln_DDS_rep[261],0.873968
ln_DDS_rep[262],1.45735
ln_DDS_rep[263],2.267
ln_DDS_rep[264],2.4828
ln_DDS_rep[265],1.84508
ln_DDS_rep[266],2.1316
ln_DDS_rep[267],3.54299
ln_DDS_rep[268],1.73792
ln_DDS_rep[269],2.24397
ln_DDS_rep[270],2.18785
ln_DDS_rep[271],2.31457
ln_DDS_rep[272],3.79587
ln_DDS_rep[273],2.58317
ln_DDS_rep[274],2.05985
ln_DDS_rep[275],1.15114
ln_DDS_rep[276],1.27567
ln_DDS_rep[277],1.69144
ln_DDS_rep[278],4.51122
ln_DDS_rep[279],3.18595
ln_DDS_rep[280],0.327945
ln_DDS_rep[281],3.67629
ln_DDS_rep[282],1.76545
ln_DDS_rep[283],3.04628
ln_DDS_rep[284],3.52571
ln_DDS_rep[285],0.123847
ln_DDS_rep[286],0.194162
ln_DDS_rep[287],2.28922
ln_DDS_rep[288],0.296
ln_DDS_rep[289],1.88991
ln_DDS_rep[290],2.01836
ln_DDS_rep[291],1.87921
ln_DDS_rep[292],1.52873
ln_DDS_rep[293],0.306091
ln_DDS_rep[294],0.613672
ln_DDS_rep[295],1.76315
ln_DDS_rep[296],1.62066
ln_DDS_rep[297],-0.978889
ln_DDS_rep[298],2.33152
ln_DDS_rep[299],4.73957
ln_DDS_rep[300],1.61015
ln_DDS_rep[301],3.09255
ln_DDS_rep[302],1.6751
ln_DDS_rep[303],2.64659
ln_DDS_rep[304],3.251
ln_DDS_rep[305],0.900782
ln_DDS_rep[306],1.5151
ln_DDS_rep[307],4.73116
ln_DDS_rep[308],1.85543
ln_DDS_rep[309],-0.76759
ln_DDS_rep[310],2.71423
ln_DDS_rep[311],4.37646
ln_DDS_rep[312],0.311587
ln_DDS_rep[313],3.80228
ln_DDS_rep[314],-0.483398
ln_DDS_rep[315],2.85578
ln_DDS_rep[316],1.00781
ln_DDS_rep[317],4.28417
ln_DDS_rep[318],1.44473
ln_DDS_rep[319],3.56057
ln_DDS_rep[320],2.05724
ln_DDS_rep[321],0.921165
ln_DDS_rep[322],3.59312
ln_DDS_rep[323],3.19709
ln_DDS_rep[324],3.17279
ln_DDS_rep[325],-0.80985
ln_DDS_rep[326],3.56804
ln_DDS_rep[327],3.31415
ln_DDS_rep[328],3.48567
ln_DDS_rep[329],3.87966
ln_DDS_rep[330],1.4688
ln_DDS_rep[331],3.13027
ln_DDS_rep[332],0.479263
ln_DDS_rep[333],1.67925
ln_DDS_rep[334],3.51899
ln_DDS_rep[335],3.8607
ln_DDS_rep[336],2.08348
ln_DDS_rep[337],5.67447
ln_DDS_rep[338],1.25025
ln_DDS_rep[339],1.95654
ln_DDS_rep[340],2.50394
ln_DDS_rep[341],2.54463
ln_DDS_rep[342],2.42818
ln_DDS_rep[343],3.27109
ln_DDS_rep[344],2.19152
ln_DDS_rep[345],3.03002
ln_DDS_rep[346],3.1086
ln_DDS_rep[347],-0.40524
ln_DDS_rep[348],4.98672
ln_DDS_rep[349],3.3042
ln_DDS_rep[350],2.89585
ln_DDS_rep[351],1.43301
ln_DDS_rep[352],3.57428
ln_DDS_rep[353],1.35703
ln_DDS_rep[354],2.72507
ln_DDS_rep[355],-0.47905
ln_DDS_rep[356],4.08244
