variable,p50,p05,p95,rhat,ess_bulk,ci_width,converged
lp__,-6440.245,-7572.3855,-6160.1179999999995,NA,NA,1412.2675000000008,NA
lp_approx__,-30.265050000000002,-40.10089,-22.130115000000004,NA,NA,17.970774999999996,NA
mu_b0,1.54765,1.3360850000000002,1.7551439999999998,NA,NA,0.4190589999999996,NA
sigma_b0,0.21181299999999997,0.16361135000000002,0.27698565000000003,NA,NA,0.11337430000000001,NA
z_b0[1],-0.0264026,-1.6975565000000001,1.6355489999999997,NA,NA,3.3331055,NA
z_b0[2],1.2350349999999999,0.5515094,1.9328874999999999,NA,NA,1.3813780999999998,NA
z_b0[3],0.3763915,-0.636615,1.3537744999999997,NA,NA,1.9903894999999996,NA
z_b0[4],-0.25747200000000003,-1.3777855,0.8431222,NA,NA,2.2209077,NA
z_b0[5],0.07683435,-1.514611,1.7674144999999997,NA,NA,3.2820254999999996,NA
z_b0[6],-0.42807150000000005,-1.9310224999999999,1.126216499999999,NA,NA,3.057238999999999,NA
z_b0[7],-0.0759408,-1.7844384999999998,1.5936364999999981,NA,NA,3.378074999999998,NA
z_b0[8],-0.13403150000000003,-1.689254,1.4820704999999994,NA,NA,3.1713244999999994,NA
z_b0[9],-0.16218300000000002,-1.877304,1.444004999999999,NA,NA,3.3213089999999994,NA
z_b0[10],-0.543436,-2.0173665,0.9286006,NA,NA,2.9459671,NA
z_b0[11],-0.15301399999999998,-0.9586196,0.6770288499999998,NA,NA,1.6356484499999997,NA
z_b0[12],0.0211608,-1.6182485,1.7006264999999992,NA,NA,3.3188749999999994,NA
z_b0[13],-0.7971805000000001,-2.1137625000000004,0.5091000999999998,NA,NA,2.6228626000000004,NA
z_b0[14],-0.3854965,-1.6083724999999998,0.8156777999999998,NA,NA,2.4240502999999993,NA
z_b0[15],-0.122868,-1.7752925,1.5365489999999988,NA,NA,3.311841499999999,NA
z_b0[16],-0.46713,-1.4998040000000001,0.5837255999999998,NA,NA,2.0835296,NA
z_b0[17],0.9624225,0.01665571000000007,1.9029599999999998,NA,NA,1.8863042899999998,NA
z_b0[18],0.0645839,-1.2049075,1.333587499999999,NA,NA,2.5384949999999993,NA
z_b0[19],0.05452015,-0.7041478,0.8367593499999999,NA,NA,1.5409071499999998,NA
z_b0[20],1.524615,0.3664257500000001,2.7128359999999976,NA,NA,2.3464102499999973,NA
z_b0[21],1.29428,0.5325272500000001,2.0028994999999994,NA,NA,1.4703722499999992,NA
z_b0[22],-0.17926999999999998,-1.8088805,1.3965885,NA,NA,3.205469,NA
z_b0[23],-0.7420765,-2.0754669999999997,0.6630047499999995,NA,NA,2.738471749999999,NA
z_b0[24],-0.8563514999999999,-1.9792725,0.31457149999999995,NA,NA,2.293844,NA
z_b0[25],-0.18891,-1.8232,1.4514235,NA,NA,3.2746234999999997,NA
z_b0[26],-0.28989050000000005,-1.5327605,0.9477239999999996,NA,NA,2.4804844999999993,NA
z_b0[27],0.0576001,-1.532773,1.5968319999999994,NA,NA,3.1296049999999993,NA
z_b0[28],0.403136,-0.98474575,1.875554,NA,NA,2.86029975,NA
z_b0[29],-0.169241,-1.1546919999999998,0.8123682499999999,NA,NA,1.9670602499999998,NA
z_b0[30],-0.2569995,-1.7211400000000001,1.1701394999999994,NA,NA,2.8912794999999996,NA
z_b0[31],-0.1897335,-1.7473485,1.3544079999999996,NA,NA,3.1017564999999996,NA
z_b0[32],-0.143741,-1.7790515,1.5154894999999993,NA,NA,3.2945409999999993,NA
z_b0[33],-0.0417248,-1.204407,1.1620299999999997,NA,NA,2.3664369999999995,NA
z_b0[34],0.08030985,-1.5516165,1.7634124999999998,NA,NA,3.315029,NA
z_b0[35],0.11214350000000001,-1.606774,1.8565359999999984,NA,NA,3.463309999999998,NA
z_b0[36],-0.00195656,-1.5674359999999998,1.5666214999999999,NA,NA,3.1340575,NA
z_b0[37],0.1036025,-1.5656295,1.7590634999999986,NA,NA,3.3246929999999986,NA
z_b0[38],0.285123,-0.8316376,1.3513199999999999,NA,NA,2.1829576,NA
z_b0[39],-1.410295,-2.152471,-0.7301332500000001,NA,NA,1.4223377499999996,NA
z_b0[40],-1.20891,-2.0340565,-0.4178542500000002,NA,NA,1.61620225,NA
z_b0[41],-1.9114499999999999,-2.8142449999999997,-1.0118545,NA,NA,1.8023904999999996,NA
z_b0[42],-0.7865599999999999,-1.5150785,-0.06345112000000017,NA,NA,1.45162738,NA
z_b0[43],-0.453106,-1.9012949999999997,0.9870719499999996,NA,NA,2.888366949999999,NA
z_b0[44],0.8357795,-0.027217564999999985,1.6793379999999998,NA,NA,1.7065555649999997,NA
z_b0[45],-0.594506,-1.8024105,0.5960537499999998,NA,NA,2.39846425,NA
b1,1.105115,1.0721479999999999,1.137411,NA,NA,0.06526300000000007,NA
b2,-0.320399,-0.3511828,-0.28825675,NA,NA,0.06292605000000001,NA
b3,0.187261,0.15259695000000004,0.22298779999999996,NA,NA,0.07039084999999992,NA
b4,-0.0809535,-0.1147769,-0.04729006000000002,NA,NA,0.06748683999999998,NA
b5,0.0106211,-0.08017429,0.09741157999999996,NA,NA,0.17758586999999995,NA
b6,0.00343098,-0.02423283,0.030531569999999997,NA,NA,0.0547644,NA
b7,-0.0059981900000000005,-0.03404135,0.022494144999999986,NA,NA,0.056535494999999984,NA
b8,0.0533969,0.019890265,0.08704779999999998,NA,NA,0.06715753499999998,NA
b9,-0.0227225,-0.12512639999999997,0.07697914999999998,NA,NA,0.20210554999999997,NA
b10,0.0189433,0.013737049999999999,0.024054225,NA,NA,0.010317175,NA
b11,4.711405e-5,-3.6013594999999997e-05,1.2514109999999998e-4,NA,NA,1.6115469499999998e-4,NA
b12,-0.20129750000000002,-0.2507561,-0.1495026,NA,NA,0.10125349999999997,NA
b13,0.0524262,0.006085035000000001,0.09862025499999999,NA,NA,0.09253521999999999,NA
sigma,0.9463539999999999,0.8910971,1.0077735,NA,NA,0.11667640000000012,NA
b0[1],1.5384600000000002,1.12487,1.960556,NA,NA,0.8356859999999999,NA
b0[2],1.81362,1.5439905,2.0907535,NA,NA,0.5467629999999999,NA
b0[3],1.6288749999999999,1.3203894999999999,1.9206595,NA,NA,0.6002700000000001,NA
b0[4],1.49273,1.1668649999999998,1.81688,NA,NA,0.6500150000000002,NA
b0[5],1.564635,1.1692174999999998,1.9839184999999997,NA,NA,0.8147009999999999,NA
b0[6],1.4544700000000002,1.0753629999999998,1.855736,NA,NA,0.7803730000000002,NA
