variable,estimate
b_Intercept,2.25526
b_DBH_std,0.09870575000000001
b_IDBH_stdE2,-0.059502150000000004
b_BAL_std,0.0584065
b_CR_std,0.435658
b_SI_std,-0.01847095
b_BA_std,-0.1120875
sd_SPCD__Intercept,0.647437
Intercept,2.19576
"r_SPCD[11,Intercept]",0.1150485
"r_SPCD[15,Intercept]",-0.5710824999999999
"r_SPCD[19,Intercept]",0.08369825
"r_SPCD[20,Intercept]",-0.9026055
"r_SPCD[21,Intercept]",-0.27245600000000003
"r_SPCD[22,Intercept]",-0.159284
"r_SPCD[41,Intercept]",0.9519774999999999
"r_SPCD[52,Intercept]",0.19030950000000002
"r_SPCD[55,Intercept]",-0.826426
"r_SPCD[56,Intercept]",0.14956999999999998
"r_SPCD[62,Intercept]",0.40292
"r_SPCD[64,Intercept]",0.60852
"r_SPCD[81,Intercept]",0.257514
"r_SPCD[92,Intercept]",0.34238999999999997
"r_SPCD[93,Intercept]",0.1149445
"r_SPCD[103,Intercept]",-1.77911
"r_SPCD[108,Intercept]",-0.664875
"r_SPCD[109,Intercept]",0.1897325
"r_SPCD[116,Intercept]",0.7596784999999999
"r_SPCD[117,Intercept]",-0.13201000000000002
"r_SPCD[119,Intercept]",-0.875356
"r_SPCD[122,Intercept]",0.03351645
"r_SPCD[127,Intercept]",-0.47150749999999997
"r_SPCD[202,Intercept]",-0.051276
"r_SPCD[231,Intercept]",0.644211
"r_SPCD[251,Intercept]",0.201886
"r_SPCD[264,Intercept]",-0.48914
"r_SPCD[312,Intercept]",0.07266485
"r_SPCD[313,Intercept]",-0.48271
"r_SPCD[333,Intercept]",0.27194399999999996
"r_SPCD[351,Intercept]",0.36494899999999997
"r_SPCD[352,Intercept]",-0.24420999999999998
"r_SPCD[361,Intercept]",-0.268828
"r_SPCD[431,Intercept]",-0.305912
"r_SPCD[492,Intercept]",0.182274
"r_SPCD[542,Intercept]",0.173765
"r_SPCD[603,Intercept]",0.034312300000000004
"r_SPCD[631,Intercept]",-0.29424649999999997
"r_SPCD[730,Intercept]",0.1049715
"r_SPCD[746,Intercept]",0.211936
"r_SPCD[747,Intercept]",0.266452
"r_SPCD[748,Intercept]",0.1858105
"r_SPCD[763,Intercept]",-0.256177
"r_SPCD[801,Intercept]",0.1348565
"r_SPCD[805,Intercept]",-0.0513318
"r_SPCD[807,Intercept]",0.5326545
"r_SPCD[815,Intercept]",0.677313
"r_SPCD[818,Intercept]",-0.111398
"r_SPCD[821,Intercept]",0.8583974999999999
"r_SPCD[839,Intercept]",-0.02215145
"r_SPCD[981,Intercept]",0.307868
lprior,-3.64318
lp__,-10585.9
