variable,Estimate,Est.Error,Q2.5,Q97.5
b_Intercept,5.68631457,0.06017526173774195,5.56639325,5.8078710000000004
b_ln_qmd_centered,-1.6489222125,0.01735368855656222,-1.6831315,-1.615179
sd_SPCD__Intercept,0.440201547125,0.04493876641906949,0.3626586,0.538495425
sd_SPCD__ln_qmd_centered,0.0674000429625,0.01641406629424499,0.03886512,0.10427784999999996
cor_SPCD__Intercept__ln_qmd_centered,0.269871969707625,0.24393556513222092,-0.23517624999999998,0.7001648500000001
sigma,0.2055830615,0.002368952852247121,0.20095,0.21029107500000002
Intercept,5.821707635,0.05998350153220286,5.702549749999999,5.9423645
"r_SPCD[15,Intercept]",0.416756086,0.0608953257220224,0.29448485,0.53766775
"r_SPCD[17,Intercept]",0.2604268385047875,0.15024821184757878,-0.03248128999999999,0.5544472999999999
"r_SPCD[20,Intercept]",0.515197786125,0.06309208753108635,0.3890924,0.6392521999999998
"r_SPCD[21,Intercept]",0.550782527625,0.07425811166870971,0.4036536,0.698731275
"r_SPCD[41,Intercept]",0.6243843695,0.10952575858579316,0.405516875,0.8379073499999999
"r_SPCD[52,Intercept]",-0.49576842362825,0.19376141375379344,-0.87260545,-0.11527072500000002
"r_SPCD[55,Intercept]",-0.836188920125,0.19248270832113876,-1.21337525,-0.46022460000000026
"r_SPCD[62,Intercept]",-0.45413255425,0.07860011705214175,-0.611349875,-0.298765675
"r_SPCD[64,Intercept]",-0.374826856,0.06534198762215851,-0.5037314749999999,-0.245971925
"r_SPCD[65,Intercept]",-0.0869530370998,0.08994951987443095,-0.26528755,0.08877761999999997
"r_SPCD[81,Intercept]",0.43332749025,0.061871018805302984,0.30791240000000003,0.5574662499999998
"r_SPCD[98,Intercept]",0.49910645038625,0.12682861342988905,0.246572525,0.7498512249999996
"r_SPCD[101,Intercept]",-0.172061908080575,0.07713334388493456,-0.322162375,-0.02182592250000004
"r_SPCD[103,Intercept]",-0.2587149934414875,0.10923504600492062,-0.47363885,-0.044635262500000134
"r_SPCD[104,Intercept]",0.04967846041804375,0.10292636009195863,-0.154345825,0.2527180499999999
"r_SPCD[108,Intercept]",0.3078057099125,0.06286504789074657,0.18331227500000002,0.43342929999999996
"r_SPCD[109,Intercept]",-0.4067539030175,0.12851371436709208,-0.6594334000000001,-0.15351570000000014
"r_SPCD[113,Intercept]",-0.09445587435665,0.13095701313823707,-0.34714015,0.164090725
"r_SPCD[116,Intercept]",0.0228412031334375,0.062193930997668075,-0.100129975,0.146689925
"r_SPCD[117,Intercept]",0.2490165703925,0.06789505931099837,0.11175455000000001,0.382870025
"r_SPCD[119,Intercept]",0.0687581600524875,0.07618404503446684,-0.080901845,0.21864567499999996
"r_SPCD[120,Intercept]",0.2610696393452125,0.13212781542364613,0.0013135915000000032,0.5180097999999999
"r_SPCD[122,Intercept]",0.0869184959590875,0.06100717218023251,-0.03562345249999999,0.2081884999999998
"r_SPCD[124,Intercept]",0.20605078067645,0.19205126930739952,-0.167717175,0.5934222999999998
"r_SPCD[127,Intercept]",-0.503319603,0.0739679777007864,-0.646707775,-0.3569589
"r_SPCD[133,Intercept]",-0.32415492925,0.06401579290824196,-0.452003225,-0.19629365000000004
"r_SPCD[142,Intercept]",0.20536748716647749,0.132782053838952,-0.0492402675,0.4707357499999999
"r_SPCD[201,Intercept]",-0.24224242427075,0.12914954170399254,-0.49292615,0.012523089999999964
"r_SPCD[202,Intercept]",0.4403078585,0.060754827466470006,0.31846387500000006,0.5602083999999998
"r_SPCD[211,Intercept]",0.74861972125,0.06231277738608065,0.622888175,0.873342125
"r_SPCD[212,Intercept]",0.512898445856375,0.19505994439764698,0.127172425,0.8969300999999998
"r_SPCD[263,Intercept]",0.1713887636048375,0.14645487301586413,-0.11330810000000001,0.4596744749999998
"r_SPCD[264,Intercept]",0.3515028020625,0.0725401097397438,0.209706775,0.49312084999999994
"r_SPCD[312,Intercept]",0.01438645468998875,0.10841542684404523,-0.19863262499999998,0.22690102499999998
"r_SPCD[333,Intercept]",-0.501501759875,0.0937397337440387,-0.6847522500000001,-0.31756647500000007
"r_SPCD[351,Intercept]",0.084299322050025,0.08119292906363919,-0.072408795,0.24246364999999998
"r_SPCD[352,Intercept]",-0.545145507375,0.11189527433906837,-0.76025065,-0.3271719
"r_SPCD[361,Intercept]",0.2397203310125,0.07124118752901631,0.097549595,0.38138892499999993
"r_SPCD[431,Intercept]",0.559104998375,0.13109589280697634,0.31295072500000004,0.8206336999999998
