variable,estimate
b_Intercept,-0.488228
b_DBH_std,0.154036
b_IDBH_stdE2,0.008125944999999999
b_BA_std,-0.2647035
b_BAL_std,0.04337155
b_CR_std,-0.905945
b_SI_std,-0.1877145
sd_SPCD__Intercept,0.7035685
sigma,1.61531
Intercept,-0.4804265
"r_SPCD[17,Intercept]",-0.28153300000000003
"r_SPCD[19,Intercept]",0.30918650000000003
"r_SPCD[64,Intercept]",0.015279649999999999
"r_SPCD[73,Intercept]",-0.1753025
"r_SPCD[93,Intercept]",0.6078600000000001
"r_SPCD[101,Intercept]",0.5237635
"r_SPCD[108,Intercept]",-0.3450395
"r_SPCD[113,Intercept]",0.5094354999999999
"r_SPCD[122,Intercept]",-0.152127
"r_SPCD[202,Intercept]",0.2246125
"r_SPCD[374,Intercept]",-1.21851
"r_SPCD[746,Intercept]",-0.9494535
"r_SPCD[747,Intercept]",-0.18066549999999998
"r_SPCD[749,Intercept]",1.177815
lprior,-4.682975
lp__,-31422.1
