variable,p50,p05,p95,rhat,ess_bulk
b_Intercept,0.049961599999999995,-0.06175297,0.16264125,1.0042508273817843,905.9097893358662
b_CR_t1_std,0.5160215,0.5053942499999999,0.5265043999999999,1.0026171085926772,5817.384781901366
b_DBH_std,0.0406845,0.002639495500000001,0.08027043499999997,1.0017775297474958,1440.783772967311
b_IDBH_stdE2,0.001850775,-0.0037331804999999997,0.007466325999999999,1.0017744095027206,3767.3094819063203
b_BA_std,-0.1216625,-0.1366735,-0.10530745000000001,1.0002641148276354,3044.230810931449
b_BAL_std,0.041668750000000004,0.023431340000000002,0.05964232,1.0005193622973076,2873.8810161345214
b_SI_std,-0.08014845,-0.090957565,-0.069288485,1.0009691648246606,5074.306307381016
b_relDBH_std,0.03506505,0.014981820000000002,0.05512239499999999,1.001014450721884,3138.298674617892
sd_SPCD_grouped__Intercept,0.221965,0.1523344,0.34705874999999997,1.0028272760631596,1074.5215525269482
sd_SPCD_grouped__DBH_std,0.04617575,0.02230313,0.12063929999999998,1.0059291489664435,658.008631539501
cor_SPCD_grouped__Intercept__DBH_std,-0.244122,-0.8476072,0.5373216,1.0038391332313104,1172.6587382682508
phi,7.249275,7.129239500000001,7.3707785,1.000007566180466,4265.635999300895
Intercept,0.05201245,-0.059187094999999995,0.16448869999999993,1.0042636874779165,909.8787097147219
"r_SPCD_grouped[OTHER,Intercept]",-0.04655335,-0.30144945,0.21648559999999986,1.00148641479197,2536.8513478182613
"r_SPCD_grouped[17,Intercept]",-0.117786,-0.24194655,0.0029946134999998585,1.0022886481988278,1041.2641511725958
"r_SPCD_grouped[19,Intercept]",0.12388550000000001,0.0052156380000000025,0.24013739999999997,1.0027631874182596,947.3026119669876
"r_SPCD_grouped[64,Intercept]",3.908825e-4,-0.1227187,0.13076669999999982,1.001457034595921,1108.9508851265907
"r_SPCD_grouped[73,Intercept]",-0.02543275,-0.24843115000000002,0.2007383,1.0010835543505967,2779.76163454661
"r_SPCD_grouped[93,Intercept]",0.2851275,0.17101025,0.4067224,1.002595645749539,997.8656659877084
"r_SPCD_grouped[101,Intercept]",0.207086,0.0884031,0.3326705,1.0024336684473754,1008.6381851771217
"r_SPCD_grouped[108,Intercept]",-0.14069700000000002,-0.25557635,-0.02582359000000003,1.002655782249391,941.9474863386092
"r_SPCD_grouped[113,Intercept]",0.208447,0.06786900000000001,0.35849234999999996,1.0020742042217958,1490.6222612066342
"r_SPCD_grouped[122,Intercept]",-0.064011,-0.1829146,0.05339290999999994,1.00447559569334,968.5132043883408
"r_SPCD_grouped[202,Intercept]",0.09653675,-0.016252804999999988,0.20965029999999998,1.0034596108583773,928.4320458487119
"r_SPCD_grouped[746,Intercept]",-0.425018,-0.6034902,-0.27195415000000006,1.0020020623398125,1361.2616421664704
"r_SPCD_grouped[747,Intercept]",-0.13452199999999997,-0.3434028,0.06269163999999998,1.000966579471113,2103.458008166769
"r_SPCD_grouped[OTHER,DBH_std]",0.04723845,-0.016967,0.24993594999999982,1.0046298478677749,903.1380403873437
"r_SPCD_grouped[17,DBH_std]",0.0171697,-0.02479307,0.06295758499999997,1.001499969991706,1817.3434004771666
"r_SPCD_grouped[19,DBH_std]",-0.0426164,-0.09066327499999999,-0.004304098000000016,1.0015223558456607,1788.0778639475461
"r_SPCD_grouped[64,DBH_std]",0.004962795000000001,-0.04480644,0.05965453999999997,1.000461987196094,2279.613125011315
"r_SPCD_grouped[73,DBH_std]",-0.006849155,-0.09666372499999999,0.06394756,1.0002696563686433,3091.211034280267
"r_SPCD_grouped[93,DBH_std]",-0.05405355,-0.10629645,-0.012200325000000034,1.0002999403672006,1750.5270688811415
"r_SPCD_grouped[101,DBH_std]",-0.0144146,-0.07538873,0.040230734999999955,0.9999969175361855,2627.394887012019
"r_SPCD_grouped[108,DBH_std]",-0.00521679,-0.056263980000000005,0.036074994999999985,1.0030138206439125,1776.9212678486963
"r_SPCD_grouped[113,DBH_std]",0.0152273,-0.04587574,0.11199474999999999,1.0045989393327432,1597.0960564633433
"r_SPCD_grouped[122,DBH_std]",0.01772785,-0.020476919999999992,0.05983157499999996,1.001778372724714,1712.0532176941504
"r_SPCD_grouped[202,DBH_std]",0.0183839,-0.016634245,0.05409334499999999,1.0014928578171267,1569.320283691879
"r_SPCD_grouped[746,DBH_std]",0.0035653300000000002,-0.1350984,0.08020122499999999,1.0013771274354555,1305.7544581948216
"r_SPCD_grouped[747,DBH_std]",-0.007129905000000001,-0.12633155,0.05803608499999999,1.0042626173319074,1831.765100947808
lprior,-20.9851,-21.139005,-20.9013,1.0019137005486332,829.2513342839075
lp__,6801.61,6790.86,6811.151,1.0042814502450141,626.6181961921143
