variable,estimate
lp__,-2343.08
mu_b0,1.22832
sigma_b0,0.507277
z_b0[1],1.17697
z_b0[2],-0.339839
z_b0[3],-0.439766
z_b0[4],0.0404064
z_b0[5],0.0136549
z_b0[6],-0.357217
z_b0[7],0.0730255
z_b0[8],-0.377375
z_b0[9],0.53523
z_b0[10],-0.478306
z_b0[11],-0.014387
z_b0[12],0.231348
z_b0[13],0.0185565
z_b0[14],-0.0625324
b1,0.797653
b2,-0.0667086
b3,0.131668
b4,-0.0450731
b5,0.018473
b6,-0.00501013
b7,-0.0795508
b8,-0.133527
b9,0.057469
b10,0.0074757
b11,6.34699e-5
b12,-0.0314239
b13,-0.122279
sigma,0.766192
b0[1],1.82537
b0[2],1.05593
b0[3],1.00524
b0[4],1.24882
b0[5],1.23525
b0[6],1.04711
b0[7],1.26536
b0[8],1.03689
b0[9],1.49983
b0[10],0.985685
b0[11],1.22102
b0[12],1.34568
b0[13],1.23773
b0[14],1.1966
ln_DDS_rep[1],2.66735
ln_DDS_rep[2],0.590353
ln_DDS_rep[3],2.62584
ln_DDS_rep[4],2.45488
ln_DDS_rep[5],1.10637
ln_DDS_rep[6],2.38028
ln_DDS_rep[7],3.1525
ln_DDS_rep[8],4.85194
ln_DDS_rep[9],3.64659
ln_DDS_rep[10],3.83551
ln_DDS_rep[11],2.37002
ln_DDS_rep[12],1.7504
ln_DDS_rep[13],2.39493
ln_DDS_rep[14],1.27225
ln_DDS_rep[15],3.10038
ln_DDS_rep[16],4.06349
ln_DDS_rep[17],5.18414
ln_DDS_rep[18],1.42747
ln_DDS_rep[19],3.10779
ln_DDS_rep[20],2.6292
ln_DDS_rep[21],3.00371
ln_DDS_rep[22],0.885806
ln_DDS_rep[23],2.79318
ln_DDS_rep[24],3.65563
ln_DDS_rep[25],2.29467
ln_DDS_rep[26],1.10375
ln_DDS_rep[27],-0.602465
ln_DDS_rep[28],1.08244
ln_DDS_rep[29],1.29584
ln_DDS_rep[30],0.986077
ln_DDS_rep[31],2.90522
ln_DDS_rep[32],3.84318
ln_DDS_rep[33],1.28469
ln_DDS_rep[34],3.15537
ln_DDS_rep[35],1.89122
ln_DDS_rep[36],1.70679
ln_DDS_rep[37],2.56866
ln_DDS_rep[38],1.08164
ln_DDS_rep[39],1.66095
ln_DDS_rep[40],1.44959
ln_DDS_rep[41],1.08446
ln_DDS_rep[42],2.43301
ln_DDS_rep[43],3.47643
ln_DDS_rep[44],-0.566795
ln_DDS_rep[45],1.09427
ln_DDS_rep[46],4.30878
ln_DDS_rep[47],2.88029
ln_DDS_rep[48],0.198261
ln_DDS_rep[49],0.862865
ln_DDS_rep[50],2.8247
ln_DDS_rep[51],1.26945
ln_DDS_rep[52],1.35283
ln_DDS_rep[53],1.15041
ln_DDS_rep[54],1.25566
ln_DDS_rep[55],1.22129
ln_DDS_rep[56],4.12752
ln_DDS_rep[57],1.64068
ln_DDS_rep[58],1.63823
ln_DDS_rep[59],1.01489
ln_DDS_rep[60],2.37427
ln_DDS_rep[61],0.371772
ln_DDS_rep[62],1.97914
ln_DDS_rep[63],1.81399
ln_DDS_rep[64],0.234561
ln_DDS_rep[65],1.81073
ln_DDS_rep[66],2.30609
ln_DDS_rep[67],2.04211
ln_DDS_rep[68],3.74625
ln_DDS_rep[69],2.09881
ln_DDS_rep[70],2.45016
ln_DDS_rep[71],3.86845
ln_DDS_rep[72],2.0936
ln_DDS_rep[73],2.75431
ln_DDS_rep[74],1.90296
ln_DDS_rep[75],0.993268
ln_DDS_rep[76],3.29087
ln_DDS_rep[77],0.990433
ln_DDS_rep[78],1.53149
ln_DDS_rep[79],0.407208
ln_DDS_rep[80],1.31689
ln_DDS_rep[81],3.95737
ln_DDS_rep[82],1.86412
ln_DDS_rep[83],3.59096
ln_DDS_rep[84],0.412491
ln_DDS_rep[85],0.64317
ln_DDS_rep[86],2.26182
ln_DDS_rep[87],5.33082
ln_DDS_rep[88],0.309497
ln_DDS_rep[89],1.75193
ln_DDS_rep[90],-0.325061
ln_DDS_rep[91],3.17135
ln_DDS_rep[92],2.21912
ln_DDS_rep[93],1.18422
ln_DDS_rep[94],1.55711
ln_DDS_rep[95],2.72573
ln_DDS_rep[96],1.83964
ln_DDS_rep[97],4.54872
ln_DDS_rep[98],0.109631
ln_DDS_rep[99],2.23167
ln_DDS_rep[100],2.53755
ln_DDS_rep[101],2.90494
ln_DDS_rep[102],1.88633
ln_DDS_rep[103],3.93465
ln_DDS_rep[104],-0.472071
ln_DDS_rep[105],1.04668
ln_DDS_rep[106],2.09573
ln_DDS_rep[107],2.01819
ln_DDS_rep[108],1.48236
ln_DDS_rep[109],3.09165
ln_DDS_rep[110],0.648783
ln_DDS_rep[111],0.966151
ln_DDS_rep[112],2.43004
ln_DDS_rep[113],0.561224
ln_DDS_rep[114],1.62899
ln_DDS_rep[115],3.01261
ln_DDS_rep[116],1.38357
ln_DDS_rep[117],3.4197
ln_DDS_rep[118],4.66019
ln_DDS_rep[119],0.942823
ln_DDS_rep[120],3.46148
ln_DDS_rep[121],1.07282
ln_DDS_rep[122],3.90297
ln_DDS_rep[123],3.04636
ln_DDS_rep[124],2.84358
ln_DDS_rep[125],-1.0507
ln_DDS_rep[126],2.75774
ln_DDS_rep[127],2.68007
ln_DDS_rep[128],2.99573
ln_DDS_rep[129],-0.827674
ln_DDS_rep[130],2.06816
ln_DDS_rep[131],3.83284
ln_DDS_rep[132],0.628345
ln_DDS_rep[133],0.938485
ln_DDS_rep[134],0.753326
ln_DDS_rep[135],0.863249
ln_DDS_rep[136],-0.788245
ln_DDS_rep[137],-0.240786
ln_DDS_rep[138],0.953121
ln_DDS_rep[139],3.18142
ln_DDS_rep[140],1.1929
ln_DDS_rep[141],1.17795
ln_DDS_rep[142],-1.14286
