variable,Estimate,Est.Error,Q2.5,Q97.5,Rhat,Bulk_ESS,Q5,Q95
b_a_Intercept,48.17547015,9.090904525004355,29.8708825,64.6341775,NA,NA,NA,NA
b_b_Intercept,0.053334773785,0.019027452258416715,0.01591245,0.09176394250000001,NA,NA,NA,NA
b_c_Intercept,1.35980788,0.01804746975192677,1.326085,1.3955902500000001,NA,NA,NA,NA
sd_SPCD__a_Intercept,54.44610295,10.166427912538726,38.417305,80.0206925,NA,NA,NA,NA
sd_SPCD__b_Intercept,2.665154245,0.5932235006981982,1.7766985,4.1290284999999995,NA,NA,NA,NA
sigma,11.567759175,0.04722920945109837,11.477497499999998,11.660402499999998,NA,NA,NA,NA
"r_SPCD__a[17,Intercept]",92.105656975,9.493316292588387,74.7743875,111.21825000000001,NA,NA,NA,NA
"r_SPCD__a[19,Intercept]",52.61204915,9.214177020403945,35.712865,71.07122,NA,NA,NA,NA
"r_SPCD__a[64,Intercept]",-16.77984186195,9.190496647170038,-34.033355,1.792008000000003,NA,NA,NA,NA
"r_SPCD__a[65,Intercept]",-19.7456494606825,32.98152770510889,-54.9948225,73.00253750000003,NA,NA,NA,NA
"r_SPCD__a[66,Intercept]",-23.22181973985,21.639477962388828,-48.860817499999996,37.145680000000056,NA,NA,NA,NA
"r_SPCD__a[73,Intercept]",110.1301365,12.354833943950982,86.4786425,135.59162500000002,NA,NA,NA,NA
"r_SPCD__a[93,Intercept]",80.2566111,9.354079587081625,62.987377499999994,99.3956575,NA,NA,NA,NA
"r_SPCD__a[101,Intercept]",-0.3559450147675,9.161196600145795,-17.153689999999997,18.17026,NA,NA,NA,NA
"r_SPCD__a[108,Intercept]",26.2655246239,9.145340258527881,9.64828375,45.006732500000005,NA,NA,NA,NA
"r_SPCD__a[113,Intercept]",-12.35995485582,9.200229775314945,-29.34786,6.362126250000004,NA,NA,NA,NA
"r_SPCD__a[122,Intercept]",105.5072256,9.510633905774213,87.82305749999999,124.68475000000001,NA,NA,NA,NA
"r_SPCD__a[202,Intercept]",41.723175325,9.099211156182157,25.08578,60.241130000000005,NA,NA,NA,NA
"r_SPCD__a[313,Intercept]",23.72680393553,21.802882998072292,-8.97729975,79.77748250000003,NA,NA,NA,NA
"r_SPCD__a[321,Intercept]",13.550293365325,37.261492966719935,-45.090177499999996,98.54388750000007,NA,NA,NA,NA
"r_SPCD__a[374,Intercept]",18.3245416993525,28.807770068434607,-20.849834999999995,91.60708500000001,NA,NA,NA,NA
"r_SPCD__a[475,Intercept]",-23.0815898401,20.332735142023683,-48.53377,29.73203000000002,NA,NA,NA,NA
"r_SPCD__a[740,Intercept]",22.3172822130975,17.309652960310448,-6.548532,62.66502750000002,NA,NA,NA,NA
"r_SPCD__a[746,Intercept]",67.3859966675,21.833379167099025,30.451995000000004,115.22427500000003,NA,NA,NA,NA
"r_SPCD__a[747,Intercept]",37.86262767,11.17619426892824,16.650047500000003,61.166067500000004,NA,NA,NA,NA
"r_SPCD__a[749,Intercept]",25.5240038474,19.942711229468202,-5.7336962499999995,73.19670250000003,NA,NA,NA,NA
"r_SPCD__a[763,Intercept]",8.76995183195,46.75527439929244,-76.830375,110.32540000000002,NA,NA,NA,NA
"r_SPCD__a[768,Intercept]",16.45798109935,45.58057958582919,-68.30613,110.73525000000002,NA,NA,NA,NA
"r_SPCD__b[17,Intercept]",1.19344008,0.045511806212451954,1.10356125,1.28184625,NA,NA,NA,NA
"r_SPCD__b[19,Intercept]",1.7474976,0.05655194752731583,1.63950975,1.85533075,NA,NA,NA,NA
"r_SPCD__b[64,Intercept]",2.6022809125,0.2401522174250654,2.1554300000000004,3.1125632500000004,NA,NA,NA,NA
"r_SPCD__b[65,Intercept]",1.3571334696588,1.4722289770083865,0.057956715000000006,5.64117375,NA,NA,NA,NA
"r_SPCD__b[66,Intercept]",1.974459194,1.3036161987373291,0.248207475,5.137482000000004,NA,NA,NA,NA
"r_SPCD__b[73,Intercept]",1.57854977,0.1401188600263393,1.32283375,1.8601645000000002,NA,NA,NA,NA
