variable,estimate
b_Intercept,1.8562400000000001
b_DBH_std,-0.338799
b_IDBH_stdE2,0.06548465
b_BAL_std,0.3718815
b_CR_std,0.38439100000000004
b_SI_std,-0.414681
b_BA_std,-0.191694
sd_SPCD__Intercept,0.923647
Intercept,1.92126
"r_SPCD[17,Intercept]",0.205034
"r_SPCD[19,Intercept]",-1.193615
"r_SPCD[64,Intercept]",0.3927985
"r_SPCD[65,Intercept]",0.996641
"r_SPCD[66,Intercept]",1.2971300000000001
"r_SPCD[73,Intercept]",-0.47142850000000003
"r_SPCD[93,Intercept]",0.3444165
"r_SPCD[101,Intercept]",-1.69721
"r_SPCD[108,Intercept]",-1.05801
"r_SPCD[113,Intercept]",-0.49966699999999997
"r_SPCD[122,Intercept]",0.6779195
"r_SPCD[202,Intercept]",0.08937615
"r_SPCD[374,Intercept]",0.1201135
"r_SPCD[475,Intercept]",0.243642
"r_SPCD[746,Intercept]",-0.5369729999999999
"r_SPCD[747,Intercept]",0.3723795
"r_SPCD[749,Intercept]",0.6627535
lprior,-3.593975
lp__,-11603.8
