variable,Estimate,Est.Error,Q2.5,Q97.5
b_Intercept,5.67130584,0.0520738664378796,5.56764,5.77341325
b_ln_qmd_centered,-1.64831252125,0.01934277135278834,-1.683281,-1.60590875
sd_SPCD__Intercept,0.263670629125,0.0399318079494573,0.199332375,0.3552836
sd_SPCD__ln_qmd_centered,0.05353188567,0.021947801784877704,0.0194186825,0.10508847499999997
cor_SPCD__Intercept__ln_qmd_centered,0.0726591096652625,0.2868271737425663,-0.4787539,0.623729425
sigma,0.210933531875,0.0018343960998419544,0.20738497500000003,0.214587225
Intercept,6.233511035,0.05180173483383785,6.1309085,6.334710500000001
"r_SPCD[17,Intercept]",0.318083682,0.05306872515331465,0.215351625,0.4229848749999999
"r_SPCD[19,Intercept]",0.13952010417375,0.05389745190435227,0.033637735,0.2463015249999999
"r_SPCD[64,Intercept]",-0.08902339722201374,0.06496354405732067,-0.216149125,0.038636967499999994
"r_SPCD[65,Intercept]",-0.0502017633604625,0.06069220863081469,-0.169591625,0.07068351749999996
"r_SPCD[66,Intercept]",-0.308933883965,0.05857080584106786,-0.427716475,-0.195071075
"r_SPCD[72,Intercept]",0.0298022207412625,0.09986978386073297,-0.168198625,0.2266372999999999
"r_SPCD[73,Intercept]",0.130116334452375,0.055525238272478,0.0215567875,0.2409418249999999
"r_SPCD[93,Intercept]",0.22746795772125,0.05333646840035314,0.12402244999999999,0.33404015
"r_SPCD[94,Intercept]",-0.1967310131225,0.17013529987211404,-0.526193975,0.13519859999999997
"r_SPCD[101,Intercept]",0.178906067141375,0.0566959156000281,0.0652885825,0.29176654999999996
"r_SPCD[108,Intercept]",0.17676043304,0.053928714895234355,0.07268303750000002,0.2841197249999999
"r_SPCD[113,Intercept]",-0.0645203706152375,0.06519569226027909,-0.192709325,0.06480821999999999
"r_SPCD[119,Intercept]",-0.207526673712625,0.07792230139725728,-0.3590619,-0.050956587500000004
"r_SPCD[122,Intercept]",-0.21843988981875,0.05290477183694561,-0.32105735,-0.11359927500000003
"r_SPCD[202,Intercept]",0.073086153472625,0.052283571569974256,-0.028314437499999994,0.17667732499999997
"r_SPCD[242,Intercept]",0.5367903425,0.054149614132963014,0.43264654999999996,0.64438485
"r_SPCD[263,Intercept]",0.432877706125,0.05820807609287191,0.31867714999999996,0.547993175
"r_SPCD[264,Intercept]",0.48289047325,0.05822415101509607,0.37063127500000004,0.6008416249999999
"r_SPCD[321,Intercept]",-0.235336959466125,0.12199744253135303,-0.475873825,-6.847801750000462e-4
"r_SPCD[322,Intercept]",0.0069038739663625,0.08912382754313422,-0.162561775,0.19107509999999994
"r_SPCD[375,Intercept]",0.05026101045473956,0.08435245230019514,-0.11560915,0.2166905249999998
"r_SPCD[475,Intercept]",-0.174402806701375,0.06410911085519688,-0.30163502499999995,-0.046810935000000053
"r_SPCD[544,Intercept]",-0.32903579763125,0.10306266610612574,-0.53123,-0.12305932500000011
"r_SPCD[740,Intercept]",-0.105156442411675,0.16522949356071226,-0.42386047499999996,0.21432424999999997
"r_SPCD[745,Intercept]",-0.16780782974520125,0.08301612272379687,-0.32444927500000004,-0.004437584500000025
"r_SPCD[746,Intercept]",-0.202649027336,0.0614628399698635,-0.32399645,-0.07996083000000014
"r_SPCD[747,Intercept]",-0.16510099090425,0.07021829266071787,-0.3038169,-0.025933202500000113
"r_SPCD[749,Intercept]",-0.254378268567125,0.1076905696113428,-0.462299375,-0.04026986750000019
"r_SPCD[17,ln_qmd_centered]",0.0227747298887825,0.029221501966060465,-0.03401191,0.08084837999999998
"r_SPCD[19,ln_qmd_centered]",-0.024094832506275,0.028124897127995326,-0.08355264500000001,0.026652342499999992
"r_SPCD[64,ln_qmd_centered]",0.06917051960641,0.06394111016521896,-0.0252625225,0.224806
"r_SPCD[65,ln_qmd_centered]",0.05193016968416669,0.05318341381117615,-0.032807909999999996,0.17547779999999993
"r_SPCD[66,ln_qmd_centered]",-0.03748798643336875,0.04222295467419993,-0.1312546,0.03531758499999995
"r_SPCD[72,ln_qmd_centered]",-0.008166040828085,0.05422878882139664,-0.12947225,0.09649675249999994
"r_SPCD[73,ln_qmd_centered]",-1.824935880215e-4,0.03431886756863211,-0.0722573125,0.06674795999999997
"r_SPCD[93,ln_qmd_centered]",-0.00141934956833375,0.029556244329277566,-0.061501105,0.053775092499999996
"r_SPCD[94,ln_qmd_centered]",6.0252806775e-4,0.05751923344452678,-0.11527715,0.12444569999999994
"r_SPCD[101,ln_qmd_centered]",-0.0289696142220125,0.04010527183906733,-0.11531317499999999,0.04175892999999999
"r_SPCD[108,ln_qmd_centered]",-0.07355584703675,0.031711835079622254,-0.13850829999999997,-0.013631392500000002
"r_SPCD[113,ln_qmd_centered]",-0.0180780995011125,0.04619068739815795,-0.116865525,0.06923715499999991
"r_SPCD[119,ln_qmd_centered]",0.016171169843375,0.05532100273931728,-0.084102285,0.14375429999999986
"r_SPCD[122,ln_qmd_centered]",-0.008405021923365,0.02576342459171102,-0.061029587499999996,0.039617717499999996
"r_SPCD[202,ln_qmd_centered]",-0.01140192015831,0.022137342709949135,-0.059425139999999994,0.028495287499999994
"r_SPCD[242,ln_qmd_centered]",0.0512266567334625,0.03285303855485272,-0.0108445425,0.11781084999999998
"r_SPCD[263,ln_qmd_centered]",-0.00813959578982625,0.04332176032956919,-0.10079825,0.07262957
"r_SPCD[264,ln_qmd_centered]",0.0017379061873325,0.04656122871570406,-0.095743624999999985,0.09282224249999999
"r_SPCD[321,ln_qmd_centered]",0.00887120411035,0.054913808333005104,-0.09748638999999999,0.12794602499999996
