variable,estimate
b_Intercept,0.168788
b_DBH_std,0.09103154999999999
b_IDBH_stdE2,-0.02480915
b_BA_std,-0.14347300000000002
b_BAL_std,-0.00212267
b_CR_std,-0.9834895
b_SI_std,-0.0813944
sd_SPCD__Intercept,0.5198335000000001
sigma,1.35762
Intercept,0.14889449999999999
"r_SPCD[15,Intercept]",-0.08638370000000001
"r_SPCD[18,Intercept]",0.4651605
"r_SPCD[19,Intercept]",0.437529
"r_SPCD[51,Intercept]",-0.09176255
"r_SPCD[58,Intercept]",-0.36270100000000005
"r_SPCD[59,Intercept]",0.2864535
"r_SPCD[62,Intercept]",0.282799
"r_SPCD[63,Intercept]",0.218476
"r_SPCD[65,Intercept]",0.2405965
"r_SPCD[66,Intercept]",0.454948
"r_SPCD[69,Intercept]",0.5805290000000001
"r_SPCD[93,Intercept]",0.449293
"r_SPCD[96,Intercept]",0.4246495
"r_SPCD[102,Intercept]",0.4535475
"r_SPCD[106,Intercept]",0.320793
"r_SPCD[108,Intercept]",-0.3997455
"r_SPCD[113,Intercept]",0.3285635
"r_SPCD[114,Intercept]",0.1876695
"r_SPCD[118,Intercept]",-0.2760285
"r_SPCD[122,Intercept]",-0.5123044999999999
"r_SPCD[133,Intercept]",0.0523459
"r_SPCD[134,Intercept]",0.14024199999999998
"r_SPCD[135,Intercept]",-0.32813800000000004
"r_SPCD[140,Intercept]",0.3364995
"r_SPCD[143,Intercept]",0.1714415
"r_SPCD[202,Intercept]",-0.0347825
"r_SPCD[313,Intercept]",-0.3967405
"r_SPCD[322,Intercept]",-0.823195
"r_SPCD[353,Intercept]",-0.25347200000000003
"r_SPCD[362,Intercept]",0.0115525
"r_SPCD[475,Intercept]",0.273293
"r_SPCD[547,Intercept]",-0.118797
"r_SPCD[606,Intercept]",-0.286235
"r_SPCD[732,Intercept]",-0.25892
"r_SPCD[742,Intercept]",-0.133605
"r_SPCD[745,Intercept]",-1.39277
"r_SPCD[746,Intercept]",-1.31419
"r_SPCD[748,Intercept]",-0.189352
"r_SPCD[749,Intercept]",-0.48916
"r_SPCD[756,Intercept]",0.4963435
"r_SPCD[757,Intercept]",0.17395650000000001
"r_SPCD[803,Intercept]",0.324962
"r_SPCD[810,Intercept]",0.04212035
"r_SPCD[814,Intercept]",-0.489191
"r_SPCD[826,Intercept]",0.39159
"r_SPCD[829,Intercept]",0.211864
"r_SPCD[843,Intercept]",0.440307
"r_SPCD[846,Intercept]",0.311033
"r_SPCD[847,Intercept]",-0.1722305
lprior,-4.58458
lp__,-51817.9
