variable,p50,p05,p95,rhat,ess_bulk,ci_width,converged
lp__,-14868.3,-19681.68,-12950.09,NA,NA,6731.59,NA
lp_approx__,-28.6575,-37.874185,-20.529970000000002,NA,NA,17.344214999999995,NA
mu_b0,1.2914949999999998,1.059025,1.5336919999999998,NA,NA,0.47466699999999973,NA
sigma_b0,0.1237095,0.08774764499999999,0.17735215000000001,NA,NA,0.08960450500000003,NA
z_b0[1],0.9467559999999999,-0.20267189999999996,2.1010315,NA,NA,2.3037034,NA
z_b0[2],0.2910515,-0.96808315,1.5493799999999993,NA,NA,2.5174631499999993,NA
z_b0[3],0.9660584999999999,-0.04238048999999994,1.9875669999999996,NA,NA,2.0299474899999996,NA
z_b0[4],-0.2361145,-1.938867,1.3811474999999993,NA,NA,3.320014499999999,NA
z_b0[5],0.4192545,-1.0306959999999998,1.8717804999999998,NA,NA,2.9024764999999997,NA
z_b0[6],-0.019026500000000002,-1.7328514999999998,1.6410039999999995,NA,NA,3.3738554999999995,NA
z_b0[7],0.41404399999999997,-0.7026956,1.525223,NA,NA,2.2279185999999997,NA
z_b0[8],-0.1784845,-1.0987704999999999,0.7771187499999992,NA,NA,1.875889249999999,NA
z_b0[9],-0.004439225,-1.1431594999999999,1.1969985,NA,NA,2.3401579999999997,NA
z_b0[10],-0.0457975,-1.096232,1.0118539999999994,NA,NA,2.1080859999999992,NA
z_b0[11],0.30702450000000003,-0.5857362,1.1832129999999998,NA,NA,1.7689491999999998,NA
z_b0[12],-0.2293665,-1.6271544999999998,1.0698429999999992,NA,NA,2.6969974999999993,NA
z_b0[13],-0.9168565,-2.4821145,0.6418969999999999,NA,NA,3.1240115,NA
z_b0[14],-1.07104,-2.1101840000000003,-0.015912575000000095,NA,NA,2.094271425,NA
z_b0[15],-0.7316505,-1.6108505,0.1194335499999998,NA,NA,1.7302840499999999,NA
z_b0[16],-1.011695,-2.340578,0.39194004999999926,NA,NA,2.732518049999999,NA
z_b0[17],0.5611809999999999,-1.0213524999999999,2.0490669999999995,NA,NA,3.0704194999999994,NA
z_b0[18],-0.0360622,-1.7036499999999999,1.6747664999999998,NA,NA,3.3784164999999997,NA
z_b0[19],0.8591685,0.09132209000000004,1.6562144999999997,NA,NA,1.5648924099999997,NA
z_b0[20],-0.2964735,-1.9119134999999998,1.3045814999999996,NA,NA,3.216494999999999,NA
z_b0[21],0.0707468,-1.4679075,1.5527005,NA,NA,3.020608,NA
z_b0[22],0.1848575,-1.4544130000000002,1.8234939999999995,NA,NA,3.277907,NA
z_b0[23],-0.04091925,-1.4187085,1.340796,NA,NA,2.7595045000000002,NA
z_b0[24],-0.253699,-1.217622,0.7064394499999989,NA,NA,1.9240614499999988,NA
z_b0[25],0.09655330000000001,-1.5485105,1.7907699999999998,NA,NA,3.3392804999999997,NA
z_b0[26],-0.029009149999999997,-1.7083155,1.643603499999998,NA,NA,3.351918999999998,NA
z_b0[27],0.00184014,-1.6376459999999997,1.7196504999999986,NA,NA,3.3572964999999986,NA
z_b0[28],-0.0257102,-1.817553,1.6753059999999995,NA,NA,3.4928589999999993,NA
z_b0[29],0.04326065,-1.5558025,1.761397,NA,NA,3.3171995,NA
z_b0[30],0.0881779,-1.6173534999999999,1.7559699999999996,NA,NA,3.3733234999999997,NA
z_b0[31],1.03125,0.3725257,1.72483,NA,NA,1.3523043000000001,NA
z_b0[32],0.15354250000000003,-1.4945045000000001,1.8529995,NA,NA,3.347504,NA
z_b0[33],0.2508915,-1.4931285,1.849651,NA,NA,3.3427795,NA
z_b0[34],0.6012105,-0.9639994,2.180567499999999,NA,NA,3.144566899999999,NA
z_b0[35],0.141579,-1.1446245,1.4301405,NA,NA,2.574765,NA
z_b0[36],-0.228636,-1.4100329999999999,0.9737125999999996,NA,NA,2.3837455999999992,NA
z_b0[37],0.31680949999999997,-1.1416914999999999,1.6648244999999997,NA,NA,2.8065159999999993,NA
z_b0[38],-1.3465600000000002,-2.2322685,-0.5029951500000002,NA,NA,1.7292733499999997,NA
z_b0[39],0.0410706,-1.6533805,1.7335784999999986,NA,NA,3.3869589999999983,NA
z_b0[40],0.594179,-0.9997358499999999,2.2279145,NA,NA,3.22765035,NA
z_b0[41],-0.4591205,-1.9408524999999999,0.96380985,NA,NA,2.9046623499999997,NA
z_b0[42],-0.10384199999999999,-1.795378,1.5465409999999995,NA,NA,3.3419189999999994,NA
b1,0.6645034999999999,0.6339685,0.69486405,NA,NA,0.06089554999999991,NA
b2,-0.059855900000000004,-0.087068699999999985,-0.032058340000000005,NA,NA,0.05501035999999998,NA
b3,0.16873149999999998,0.10091395,0.24050509999999994,NA,NA,0.13959114999999994,NA
b4,-0.0700774,-0.1080995,-0.032111215,NA,NA,0.075988285,NA
b5,0.0123003,-0.06586740499999999,0.08989169999999995,NA,NA,0.15575910499999995,NA
b6,0.022211,-2.358557499999999e-4,0.04362234,NA,NA,0.04385819575,NA
b7,-0.033068650000000005,-0.05961109,-0.005370110000000011,NA,NA,0.05424097999999999,NA
b8,-0.0764339,-0.13418549999999999,-0.020540945,NA,NA,0.11364455499999998,NA
b9,-0.004427315,-0.13728909999999997,0.12919709999999998,NA,NA,0.26648619999999995,NA
b10,0.00455611,-9.944712500000001e-4,0.010058419999999993,NA,NA,0.011052891249999993,NA
b11,-8.964765e-5,-1.688136e-4,-1.4974675000000006e-5,NA,NA,1.5383892500000002e-4,NA
b12,-0.171925,-0.21653365,-0.12721805000000003,NA,NA,0.08931559999999997,NA
b13,-0.00811273,-0.06657964499999999,0.049758094999999995,NA,NA,0.11633774,NA
sigma,1.04817,0.9792113,1.119441,NA,NA,0.1402296999999999,NA
b0[1],1.41241,1.132712,1.7121695,NA,NA,0.5794575,NA
b0[2],1.32828,1.037727,1.6158649999999999,NA,NA,0.5781379999999998,NA
b0[3],1.412265,1.1436864999999998,1.6882934999999997,NA,NA,0.5446069999999998,NA
b0[4],1.2644000000000002,0.9305284,1.5819789999999998,NA,NA,0.6514505999999998,NA
b0[5],1.34098,1.0493345,1.6666784999999997,NA,NA,0.6173439999999997,NA
b0[6],1.285225,0.9639595000000001,1.6158504999999999,NA,NA,0.6518909999999998,NA
