SPCD,ln_sdimax_offset,ln_sdimax,sdimax_bayes,slope_offset,species_slope,qr_sdimax_10,qr_slope,n_stands,w_qr,w_bayes,sdimax_combined,slope_combined,fvs_sdimax_prior,sdimax_combined_orig,w_qr_new,w_bayes_new,sdimax_source
15,0.2917725996125,5.8202150346125,337.04452207637974,-0.01899930777668625,-1.6631317190266863,435.50072314447954,-1.7766814509578712,384,0.7,0.30000000000000004,405.9638628240496,-1.7426165313785158,NA,405.9638628240496,0.7,0.30000000000000004,qr_dominant
18,0.425490973625,5.953933408625,385.2657703099165,-0.04114889698338375,-1.6852813082333835,498.1954395269336,-1.8776626479618896,99,0.7,0.30000000000000004,419.1446710750216,-1.8199482460433376,NA,464.3165387618285,0.3,0.7,bayes_dominant
19,0.36543320075,5.89387563575,362.808677376042,0.0130816762229825,-1.6310507350270176,482.5096002451878,-1.6202700348362675,420,0.7,0.30000000000000004,446.59932338444406,-1.6235042448934929,NA,446.59932338444406,0.7,0.30000000000000004,qr_dominant
51,0.059239856743625,5.587682291743625,267.1158052093666,-0.09572744703151626,-1.739859858281516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,-0.527906045,5.00053639,148.49278779109451,-0.00119307579430125,-1.6453254870443013,180.2818568532388,-1.2641909231449522,62,0.62,0.38,158.02950850973778,-1.409022057426705,NA,168.20201060962398,0.3,0.7,bayes_dominant
62,-0.70400320775,4.82443922725,124.51662327215512,0.030396025637525,-1.613736385612475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,0.12522265623765,5.65366509123765,285.33533174766444,-0.0898409339999375,-1.7339733452499375,395.87554415506855,-1.92217818959622,1025,0.7,0.30000000000000004,362.71348043284735,-1.865716736292335,NA,362.71348043284735,0.7,0.30000000000000004,qr_dominant
65,0.15324656620475,5.68168900120475,293.44463995006214,0.087102163831125,-1.557030247418875,425.6646748137121,-1.4635983232221128,3043,0.7,0.30000000000000004,385.99866435461706,-1.4916279004811417,NA,385.99866435461706,0.7,0.30000000000000004,qr_dominant
66,0.1587678912165,5.6872103262164995,295.0693242578577,0.075353855024279,-1.568778556225721,451.0338485377386,-1.6024323364079107,444,0.7,0.30000000000000004,404.2444912537743,-1.592336202353254,NA,404.2444912537743,0.7,0.30000000000000004,qr_dominant
69,-0.0014755553044975,5.526966879695502,251.3802868747207,-0.04297164628845,-1.68710405753845,372.0076908977296,-1.7891439887694365,2738,0.7,0.30000000000000004,335.81946969082696,-1.7585320094001404,NA,335.8194696908269,0.7,0.30000000000000004,qr_dominant
93,0.467827828625,5.996270263625,401.92691299712686,-0.00561975581234652,-1.6497521670623465,530.5472650246826,-1.6618967202391213,1504,0.7,0.30000000000000004,491.96115941641585,-1.6582533542860889,NA,491.96115941641585,0.7,0.30000000000000004,qr_dominant
96,0.05282128055764312,5.581263715557643,265.4067926441648,-0.15668167136185,-1.80081408261185,301.5351780201382,-2.444163797511655,116,0.7,0.30000000000000004,286.3612561622294,-2.2511588830417137,NA,290.69666240734614,0.58,0.42000000000000004,qr_dominant
102,0.209235149455,5.737677584455,310.3428283894757,0.180419123010675,-1.463713288239325,436.983229536528,-1.0210122455095951,50,0.5,0.5,342.00292867623875,-1.24236276687446,621,373.66302896300186,0.25,0.75,bayes_dominant
106,0.0055188920916475,5.533961327091647,253.1447164793979,-0.03227819631295,-1.67641060756295,338.06532526919887,-1.834793984513721,2443,0.7,0.30000000000000004,312.5891426322586,-1.7872789714284898,348,312.5891426322586,0.7,0.30000000000000004,qr_dominant
108,0.282504323975,5.810946758975,333.9351321434076,-0.135293288602125,-1.779425699852125,408.6910126660733,-1.9820319334315348,726,0.7,0.30000000000000004,386.2642485092736,-1.9212500633577116,679,386.2642485092736,0.7,0.30000000000000004,qr_dominant
