variable,Estimate,Est.Error,Q2.5,Q97.5
b_Intercept,5.528442435,0.05332461430317239,5.424427499999999,5.6318649999999995
b_ln_qmd_centered,-1.64413241125,0.027776427410005976,-1.6997925,-1.58909975
sd_SPCD__Intercept,0.3546917645,0.041951778113488825,0.28315072500000005,0.4466386
sd_SPCD__ln_qmd_centered,0.1222876776375,0.033805118515369624,0.0666410575,0.19857347499999994
cor_SPCD__Intercept__ln_qmd_centered,-0.17342598932865624,0.22908917683613805,-0.5842937,0.2859081499999999
sigma,0.218738381125,0.0016684527819822914,0.21554595,0.22196614999999997
Intercept,5.99795435125,0.053864993741742626,5.892116000000001,6.10266075
"r_SPCD[15,Intercept]",0.2917725996125,0.0569577150505821,0.18021304999999999,0.40261844999999996
"r_SPCD[18,Intercept]",0.425490973625,0.07334926366568185,0.28267875,0.5687527999999998
"r_SPCD[19,Intercept]",0.36543320075,0.059937975158041126,0.248104125,0.4826623499999999
"r_SPCD[51,Intercept]",0.059239856743625,0.10606028837676676,-0.15309815000000002,0.2650352749999999
"r_SPCD[59,Intercept]",-0.527906045,0.06925118884698164,-0.661857475,-0.39097857500000005
"r_SPCD[62,Intercept]",-0.70400320775,0.15405040821873495,-1.001933,-0.40115400000000045
"r_SPCD[63,Intercept]",0.12522265623765,0.055145318040545996,0.016858992500000003,0.23283929999999997
"r_SPCD[65,Intercept]",0.15324656620475,0.0536314709936985,0.049358335,0.25718535
"r_SPCD[66,Intercept]",0.1587678912165,0.058244137282581,0.04581632750000001,0.27221105
"r_SPCD[69,Intercept]",-0.0014755553044975,0.05374908249750528,-0.10597179999999999,0.10367924999999997
"r_SPCD[93,Intercept]",0.467827828625,0.05447016824347814,0.362561125,0.573800525
"r_SPCD[96,Intercept]",0.052821280557643124,0.06626724324140523,-0.0777475675,0.18523582499999997
"r_SPCD[102,Intercept]",0.209235149455,0.07409302574443731,0.0633469,0.35511885
"r_SPCD[106,Intercept]",0.0055188920916475,0.0542188002626614,-0.1000927,0.11094157499999999
"r_SPCD[108,Intercept]",0.282504323975,0.05901209374278872,0.16760770000000003,0.39884544999999993
"r_SPCD[113,Intercept]",0.145120874913125,0.06982395495229186,0.010472795000000002,0.284679525
"r_SPCD[114,Intercept]",0.195465214907375,0.08822484535179964,0.024876200000000005,0.36714194999999994
"r_SPCD[118,Intercept]",-0.278761167013125,0.13885850050205942,-0.5510961999999999,-0.005392970500000049
"r_SPCD[122,Intercept]",0.106514748487425,0.05386761128774569,0.0024150297500000026,0.212344075
"r_SPCD[133,Intercept]",-0.461473186375,0.09416070063233034,-0.64765875,-0.27635775000000007
"r_SPCD[134,Intercept]",-0.299524578565,0.09458959711204734,-0.485633,-0.11494537500000014
"r_SPCD[135,Intercept]",0.091713302314625,0.20266578180802336,-0.31213794999999994,0.4888979749999999
"r_SPCD[140,Intercept]",-0.219457851183625,0.09495702704731049,-0.40590685,-0.03485749750000018
"r_SPCD[143,Intercept]",-0.4504486767,0.07477304183252516,-0.5964640499999999,-0.2988092
"r_SPCD[202,Intercept]",0.254316616375,0.054803170348665914,0.146343625,0.3603654499999999
"r_SPCD[313,Intercept]",-0.1269338441291625,0.19235693098421824,-0.509976775,0.24813974999999985
"r_SPCD[322,Intercept]",0.773850033385,0.18930759211338508,0.4051769,1.149043
"r_SPCD[353,Intercept]",0.0578215006298,0.18720819430587965,-0.302862,0.42754105
"r_SPCD[475,Intercept]",-0.23148930419525,0.13318385358901821,-0.500139,0.02709542499999986
"r_SPCD[606,Intercept]",-0.3045468230207125,0.20932063640093485,-0.7164873749999999,0.10281624999999993
"r_SPCD[732,Intercept]",-0.24240825602225,0.19694600182520408,-0.627484675,0.1477035749999999
"r_SPCD[742,Intercept]",0.08489133478345,0.1901727354836032,-0.28975822500000004,0.4531193999999998
"r_SPCD[745,Intercept]",-0.0775842917695125,0.18789687449196593,-0.44165082499999997,0.2916996999999995
"r_SPCD[746,Intercept]",0.3002403037875,0.05500038513285129,0.1940794,0.40824415000000003
"r_SPCD[748,Intercept]",-0.4189323513125,0.11089692555104282,-0.6349792999999999,-0.20614605000000005
"r_SPCD[749,Intercept]",-0.145055308467375,0.08442554755639421,-0.31300805000000004,0.018947242499999958
"r_SPCD[755,Intercept]",-0.3024732583325,0.09050819009690184,-0.47938384999999994,-0.12870657500000007
"r_SPCD[756,Intercept]",-0.5150947817,0.09948038090026431,-0.7113461,-0.321194525
"r_SPCD[757,Intercept]",-0.55223375225,0.062287832044201984,-0.6768087,-0.43052477499999997
"r_SPCD[800,Intercept]",0.26412720687435,0.20794591433157933,-0.13913164999999997,0.6707702249999999
"r_SPCD[803,Intercept]",0.15772722703925,0.05772856162709228,0.0456527625,0.2718137749999999
"r_SPCD[810,Intercept]",-0.171387885433875,0.06663878980165727,-0.30211957500000003,-0.04062148000000001
"r_SPCD[814,Intercept]",0.334007221,0.06146340696391318,0.21516835,0.45334217499999985
"r_SPCD[829,Intercept]",-0.65031243625,0.09051997216711115,-0.828536225,-0.47483325
"r_SPCD[843,Intercept]",0.3638312213,0.07851658298771276,0.212076575,0.521790075
"r_SPCD[846,Intercept]",-0.1053134684444375,0.07245282142377112,-0.24799235000000003,0.03810285249999999
"r_SPCD[847,Intercept]",0.318432462625,0.06742894414528144,0.186534925,0.4517972
"r_SPCD[902,Intercept]",0.40851575327475,0.2051438516782163,0.01298849500000001,0.8157561249999999
"r_SPCD[990,Intercept]",0.224401181180775,0.19524260651724146,-0.15902082499999998,0.6100958749999997
"r_SPCD[15,ln_qmd_centered]",-0.01899930777668625,0.053184310752023775,-0.123435725,0.08605757749999997
"r_SPCD[18,ln_qmd_centered]",-0.04114889698338375,0.08352517451222415,-0.2068331,0.12215167499999997
"r_SPCD[19,ln_qmd_centered]",0.0130816762229825,0.054072870995657184,-0.0915248625,0.12008772499999998
"r_SPCD[51,ln_qmd_centered]",-0.09572744703151626,0.10341470102150493,-0.32179635,0.08708904249999995
"r_SPCD[59,ln_qmd_centered]",-0.00119307579430125,0.11253336841806057,-0.23070290000000002,0.21576047499999992
"r_SPCD[62,ln_qmd_centered]",0.030396025637525,0.13721591864583493,-0.252985225,0.3010848
"r_SPCD[63,ln_qmd_centered]",-0.0898409339999375,0.04435043237496151,-0.176548675,-0.0026972595000001247
"r_SPCD[65,ln_qmd_centered]",0.087102163831125,0.03239575846689163,0.024289747500000004,0.15147919999999998
