SPCD,n_stands,qr_intercept,qr_slope,qr_sdimax_10,reineke_sdimax
68,550,9.501176265508992,-1.606429431143844,331.03887129225643,391.98799126689255
110,45,11.00200975688835,-2.436439138361077,219.62055711983308,457.58845368547225
129,53,9.924870796786324,-1.7236655196389872,386.056706211139,436.4998046197191
131,59,9.548281964690108,-1.5191129132186014,424.2806794853584,410.9439519385182
132,235,9.582096611424939,-1.6289898149013726,340.77040350002164,378.4456116798912
261,116,10.357140662768456,-1.9627006133579576,343.04289183862414,433.5110726793284
313,81,9.350682228444237,-1.607167004626319,284.30381617963036,376.41929920642804
316,664,9.90421208662667,-1.7927051366633968,322.5815468788866,522.1823384166659
317,64,9.234040768936048,-1.4771125873338384,341.33463986970213,354.098242794699
318,800,9.583449623430944,-1.6759637513308019,306.2496053540468,432.5749769298038
400,134,10.295179270938874,-2.0725377302890564,250.38125808155317,377.6762994938075
402,55,8.88019114195908,-1.3753799870207193,302.8572846040358,348.0355908523468
403,286,9.636273524870408,-1.714821137605972,295.2291800555534,385.4811413052763
407,72,10.76330203931347,-2.374229023356923,199.62441634582802,329.7520122567345
409,119,9.25664386271765,-1.5421229600207846,300.59821026030215,336.7417858619037
462,97,9.91919246611315,-1.8723089841060343,272.6098657277236,334.2303279745743
491,47,9.608294304570311,-1.5647354424573412,405.5960851724065,382.6198785857115
531,584,9.448563177307163,-1.5882931639697082,327.4656010661271,374.6656931564286
541,204,10.112746541347137,-1.9758818705374328,260.6322476070025,347.2052345331536
544,113,9.329779401106622,-1.5131865334531092,345.6886955634131,354.4481430283131
602,106,8.74670348519761,-1.266261980685329,340.7085857412076,364.6613731150241
611,155,9.267231238708995,-1.4292263824657292,393.98619709465885,468.3415931795049
621,1296,9.195454640263966,-1.4201474604665791,374.4447522117237,500.8738172793583
693,60,10.059815294213193,-1.9865490423799632,241.19773704193602,324.66890001196384
711,33,11.860417758556217,-3.017746851137465,135.8836282353485,444.9904074000019
731,144,8.93238784808806,-1.3455518970624538,341.7707217707677,343.17829870699495
762,42,9.716612333520786,-1.8507451015324046,233.9515989340003,275.06730295836553
802,1162,9.499983355758932,-1.6124511656228018,326.091278839432,428.2979768309795
806,275,9.665599268261602,-1.674384884075472,333.6810492137518,371.94839778838474
812,99,9.465808204201332,-1.6086593888863034,317.8987944396723,376.0178202777183
813,41,9.675045943275789,-1.7189285356804578,304.0118622170854,317.5056186415795
826,119,9.03235179091342,-1.4606735721749913,289.7523515258119,309.89733239338983
832,792,9.928280297866934,-1.8114926753654874,316.44968870232157,441.75270509891016
833,220,9.72714012708402,-1.6837163859233586,347.317683673211,432.7041803818414
834,51,8.793028828377345,-1.2801799217779133,345.6081518363774,310.2384985040888
835,100,9.843542738055058,-1.8562982461886355,262.23946325678946,326.4198256764918
837,321,9.91401950038998,-1.8122399345709297,311.43256876159273,455.18480078211627
901,79,9.299709606672394,-1.5562456332218393,303.78542415236956,292.2048964628658
931,104,10.63956310040705,-2.23888420895272,240.8903127173246,425.69698803896796
951,50,11.189375428623721,-2.441375429678486,261.8837643612009,486.8460877749424
972,55,9.321362746884105,-1.7017212714903436,222.0726797866895,236.6844763957738
975,32,10.535429253529598,-2.306699869233305,185.6858970407925,298.4343604010379
