SPCD,ln_sdimax_offset,ln_sdimax,sdimax_bayes,slope_offset,species_slope,qr_sdimax_10,qr_slope,n_stands,w_qr,w_bayes,sdimax_combined,slope_combined,fvs_sdimax_prior
68,0.002677714578565,5.473255549578565,238.2345159314765,-0.02034494740273625,-1.6439520661527363,331.03887129225643,-1.606429431143844,550,0.7,0.30000000000000004,303.19756468402244,-1.6176862216465115,NA
110,0.1594981721772125,5.6300760071772125,278.6832987589459,-0.07135898362131875,-1.6949661023713187,219.62055711983308,-2.436439138361077,45,0.45,0.55,252.10506502134515,-2.02862896856671,490
126,0.04233320039478625,5.5129110353947866,247.8716409582876,0.02844774927602,-1.59515936947398,NA,NA,NA,NA,NA,NA,NA,NA
129,0.350159733125,5.820737568125001,337.2206851559175,-1.3064828539999994e-4,-1.6237377670354,386.056706211139,-1.7236655196389872,53,0.53,0.47,363.1037763151849,-1.676699475915301,529
131,0.277841597775,5.748419432775,313.6944530733756,0.04809041059235712,-1.5755167081576429,424.2806794853584,-1.5191129132186014,59,0.59,0.41000000000000003,378.94032665644545,-1.5422384691436084,480
132,0.120982255136625,5.591560090136626,268.15363740103754,0.0113660644286125,-1.6122410543213876,340.77040350002164,-1.6289898149013726,235,0.7,0.30000000000000004,318.9853736703264,-1.6239651867273772,499
221,0.413566922375,5.884144757375,359.29535185777684,0.08063763807907375,-1.5429694806709264,NA,NA,NA,NA,NA,NA,NA,692
261,0.2731907845,5.7437686195,312.2389061089306,-0.0020531821602475,-1.6256603009102475,343.04289183862414,-1.9627006133579576,116,0.7,0.30000000000000004,333.8016961197161,-1.8615885196236446,NA
313,-0.0056808299419,5.4648970050581,236.2515211440507,-0.01114994732538125,-1.6347570660753814,284.30381617963036,-1.607167004626319,81,0.7,0.30000000000000004,269.8881276689565,-1.6154440230610376,344
316,0.162024401975,5.632602236975,279.3882068174035,0.00818953762278625,-1.6154175811272138,322.5815468788866,-1.7927051366633968,664,0.7,0.30000000000000004,309.62354486044165,-1.739518870002542,421
