variable,p50,p05,p95,rhat,ess_bulk,ci_width,converged
b_Intercept,-0.301454,-0.4223245,-0.18857650000000006,1.0094767516993677,713.632945751722,0.23374799999999993,TRUE
b_DBH_std,0.16955150000000002,0.14537365,0.19364655000000003,1.0002470531052734,3070.077049371818,0.048272900000000035,TRUE
b_IDBH_stdE2,-7.552725e-4,-0.0098526425,0.008332029499999997,1.0009786181503,4365.583298639312,0.018184672,TRUE
b_BA_std,-0.164557,-0.18781820000000002,-0.14246365,1.0003714223790252,3077.57293678966,0.04535455000000002,TRUE
b_BAL_std,0.006595195,-0.016307155,0.02927427499999998,1.0009635703583604,2847.628602249624,0.04558142999999998,TRUE
b_CR_std,-0.665923,-0.679864,-0.65274625,0.9999752774392042,5753.683959297625,0.02711775000000005,TRUE
b_SI_std,-0.07467665,-0.08919335,-0.060170774999999996,1.0005072168715763,5209.002116540192,0.02902257500000001,TRUE
sd_SPCD__Intercept,0.33900949999999996,0.25257074999999996,0.45379959999999997,1.005127280432838,659.5559039974743,0.20122885000000001,TRUE
sigma,1.29153,1.28268,1.30041,1.0015427433397008,6918.089447895513,0.017730000000000024,TRUE
Intercept,-0.29897799999999997,-0.42003995,-0.18678490000000003,1.0094455161866287,714.4400363847674,0.23325504999999996,TRUE
"r_SPCD[11,Intercept]",0.25460000000000005,0.12852105000000003,0.3844504499999999,1.007499088524174,879.7615265256625,0.25592939999999986,TRUE
"r_SPCD[15,Intercept]",0.24445,-0.23438045,0.7864305999999999,0.9999406481522578,3716.594279427336,1.0208110499999998,TRUE
"r_SPCD[17,Intercept]",0.09507575,-0.02423701,0.22498009999999993,1.0074376445329576,847.8298622450606,0.24921710999999994,TRUE
"r_SPCD[19,Intercept]",0.28903650000000003,0.17110275000000003,0.4173238999999999,1.006401735666226,844.9516361678733,0.2462211499999999,TRUE
"r_SPCD[22,Intercept]",-0.09643555000000001,-0.26340775,0.07319483499999993,1.003829472245446,1379.7175859780218,0.33660258499999995,TRUE
"r_SPCD[42,Intercept]",0.29014850000000003,0.07804422,0.5088501499999999,1.00129270920985,2019.79068758015,0.4308059299999999,TRUE
"r_SPCD[64,Intercept]",0.27504249999999997,-0.008417493499999994,0.5777873,1.0003635977216185,3257.5977324692826,0.5862047935,TRUE
"r_SPCD[72,Intercept]",0.1585025,-0.04240965999999999,0.3579792,1.001384768506278,1780.5777700595022,0.40038885999999996,TRUE
"r_SPCD[73,Intercept]",-0.3678265,-0.49061695,-0.23809695000000006,1.0077332554505745,907.2367390883611,0.25251999999999997,TRUE
"r_SPCD[81,Intercept]",-0.17119499999999999,-0.53135495,0.1895916,1.0016375412265435,4437.974427435914,0.72094655,TRUE
