variable,p50,p05,p95,rhat,ess_bulk
b_Intercept,-0.051648700000000006,-0.10113584999999999,-0.006420769000000008,1.007578379974017,795.252290014188
b_CR_t1_std,0.610519,0.6043489500000001,0.6168187,1.0000417513332363,6724.13126065375
b_DBH_std,0.0915586,0.062795825,0.11832925,1.0018074710414695,1607.6822348621704
b_IDBH_stdE2,-0.009476765,-0.013776685,-0.005099059,1.0010766325710043,6134.471605466585
b_BA_std,-0.061390600000000003,-0.071930365,-0.051290640000000005,1.0016307709545984,6193.061606498076
b_BAL_std,-0.022174850000000003,-0.033383175,-0.010797740000000004,1.0005250775748995,5729.276661801496
b_SI_std,-0.037526149999999994,-0.04416967,-0.03111877,0.9997377893214637,7313.447161394277
b_relDBH_std,-0.04497255,-0.05511565499999999,-0.035178225000000014,1.001496775462476,7006.163299920771
sd_SPCD_grouped__Intercept,0.12558950000000002,0.09551541,0.17019384999999998,1.0013135143032577,1277.543266635405
sd_SPCD_grouped__DBH_std,0.05890265,0.039622985,0.088577575,1.0053889172614054,1537.6401049793733
cor_SPCD_grouped__Intercept__DBH_std,-0.6649905,-0.86605245,-0.24299980000000002,1.0027375121559794,1825.5431635579243
phi,11.885,11.728,12.046235000000001,1.002128643978671,7783.774451662888
Intercept,-0.06234265,-0.11156119999999999,-0.017296485,1.0075805439224026,786.2320412616772
"r_SPCD_grouped[OTHER,Intercept]",-0.1338765,-0.23110985,-0.04041829000000001,1.0013734206709546,2706.824178780997
"r_SPCD_grouped[11,Intercept]",0.0857697,0.03781621,0.13824744999999997,1.005070787574799,936.433824846505
"r_SPCD_grouped[17,Intercept]",0.0211263,-0.027453575,0.07463945999999999,1.0057794596941234,936.798288178403
"r_SPCD_grouped[19,Intercept]",0.09219379999999999,0.04297326,0.14521535,1.00598981837731,946.5169667025821
"r_SPCD_grouped[22,Intercept]",-0.03126085,-0.1056185,0.041436504999999936,1.0034677492209343,1931.8123103539147
"r_SPCD_grouped[42,Intercept]",0.09744675,0.005546324500000001,0.18689929999999993,1.0031888991899587,2514.7508893525587
"r_SPCD_grouped[64,Intercept]",0.14584799999999998,0.03077644,0.26524239999999993,0.9995858319654233,4524.536508112385
"r_SPCD_grouped[72,Intercept]",0.0173585,-0.061514095,0.09428555999999999,1.0007325307889818,2219.988641553713
"r_SPCD_grouped[73,Intercept]",-0.1364955,-0.18838904999999997,-0.08299688000000002,1.006072623553104,927.2167158138031
"r_SPCD_grouped[81,Intercept]",-0.0584027,-0.2053162,0.07279662499999998,0.9999546741762744,5552.766301727346
"r_SPCD_grouped[93,Intercept]",0.1122235,0.058321794999999996,0.1691599,1.004622580276968,1012.0809799056069
"r_SPCD_grouped[101,Intercept]",0.0495125,-0.03199034499999999,0.13250094999999998,1.0027514650493432,2192.107192264348
"r_SPCD_grouped[108,Intercept]",-0.0956717,-0.15180225,-0.037974490000000014,1.0072421468336354,1075.6037588540212
"r_SPCD_grouped[119,Intercept]",0.17070200000000002,0.08258229,0.25816359999999994,1.0013378234229104,2447.9355363496907
"r_SPCD_grouped[122,Intercept]",-0.03976059999999999,-0.087923215,0.010401159999999918,1.0076887439265814,882.2318585035473
"r_SPCD_grouped[202,Intercept]",-0.06572644999999999,-0.111588,-0.016217765000000012,1.0070803062921723,835.0067941178736
"r_SPCD_grouped[242,Intercept]",0.144593,0.08887471,0.20294684999999993,1.0055517475767626,1154.6473880016779
