variable,estimate
lp__,-2490.14
mu_b0,1.57531
sigma_b0,0.649136
z_b0[1],0.0744193
z_b0[2],0.0582809
z_b0[3],0.311695
z_b0[4],-0.375926
z_b0[5],0.972492
z_b0[6],-0.155655
z_b0[7],0.0292014
z_b0[8],0.0341528
z_b0[9],0.146997
z_b0[10],-0.0477313
z_b0[11],-0.0282484
z_b0[12],-0.236305
z_b0[13],-0.0432154
z_b0[14],0.317286
z_b0[15],-0.108886
z_b0[16],-0.108959
z_b0[17],-0.0418789
z_b0[18],0.0309556
z_b0[19],0.129834
z_b0[20],-0.179982
z_b0[21],-0.0182069
z_b0[22],0.14801
z_b0[23],-0.0549061
z_b0[24],0.0372839
z_b0[25],-0.131101
z_b0[26],-0.0355087
z_b0[27],-0.0365858
z_b0[28],-0.0487267
z_b0[29],0.0464471
z_b0[30],0.131738
z_b0[31],0.0415707
z_b0[32],0.0637979
z_b0[33],-0.954811
z_b0[34],0.022773
b1,0.98325
b2,-0.232337
b3,0.132625
b4,-0.101684
b5,0.0145729
b6,-0.00408518
b7,-0.0145266
b8,-0.109702
b9,0.0236437
b10,0.0154331
b11,1.34782e-5
b12,-0.148303
b13,-0.00665478
sigma,0.7779
b0[1],1.62362
b0[2],1.61314
b0[3],1.77764
b0[4],1.33128
b0[5],2.20659
b0[6],1.47427
b0[7],1.59427
b0[8],1.59748
b0[9],1.67073
b0[10],1.54433
b0[11],1.55697
b0[12],1.42192
b0[13],1.54726
b0[14],1.78127
b0[15],1.50463
b0[16],1.50458
b0[17],1.54812
b0[18],1.5954
b0[19],1.65959
b0[20],1.45848
b0[21],1.56349
b0[22],1.67139
b0[23],1.53967
b0[24],1.59951
b0[25],1.49021
b0[26],1.55226
b0[27],1.55156
b0[28],1.54368
b0[29],1.60546
b0[30],1.66083
b0[31],1.60229
b0[32],1.61672
b0[33],0.955507
b0[34],1.59009
ln_DDS_rep[1],3.32881
ln_DDS_rep[2],3.67267
ln_DDS_rep[3],1.98854
ln_DDS_rep[4],1.87437
ln_DDS_rep[5],2.77507
ln_DDS_rep[6],3.0686
ln_DDS_rep[7],2.94338
ln_DDS_rep[8],2.72771
ln_DDS_rep[9],1.9204
ln_DDS_rep[10],2.7492
ln_DDS_rep[11],2.47099
ln_DDS_rep[12],2.90731
ln_DDS_rep[13],2.98747
ln_DDS_rep[14],3.59019
ln_DDS_rep[15],2.69367
ln_DDS_rep[16],0.466075
ln_DDS_rep[17],2.49972
ln_DDS_rep[18],3.00643
ln_DDS_rep[19],1.4716
ln_DDS_rep[20],3.28906
ln_DDS_rep[21],3.10497
ln_DDS_rep[22],2.74387
ln_DDS_rep[23],-0.00120777
ln_DDS_rep[24],-0.362572
ln_DDS_rep[25],4.16053
ln_DDS_rep[26],0.849035
ln_DDS_rep[27],3.05
ln_DDS_rep[28],0.389087
ln_DDS_rep[29],2.19853
ln_DDS_rep[30],3.8744
ln_DDS_rep[31],2.43846
ln_DDS_rep[32],3.2525
ln_DDS_rep[33],1.59336
ln_DDS_rep[34],4.10446
ln_DDS_rep[35],3.16972
ln_DDS_rep[36],1.67561
ln_DDS_rep[37],1.02178
ln_DDS_rep[38],4.59924
ln_DDS_rep[39],1.7025
ln_DDS_rep[40],1.68126
ln_DDS_rep[41],5.15634
ln_DDS_rep[42],5.20994
ln_DDS_rep[43],3.89338
ln_DDS_rep[44],2.8059
ln_DDS_rep[45],0.417144
ln_DDS_rep[46],2.69942
ln_DDS_rep[47],1.51938
ln_DDS_rep[48],3.35284
ln_DDS_rep[49],3.67752
ln_DDS_rep[50],1.24685
ln_DDS_rep[51],2.32375
ln_DDS_rep[52],1.64602
ln_DDS_rep[53],3.80573
ln_DDS_rep[54],1.67562
ln_DDS_rep[55],3.84037
ln_DDS_rep[56],3.36331
ln_DDS_rep[57],2.77281
ln_DDS_rep[58],-0.515976
ln_DDS_rep[59],0.0838338
ln_DDS_rep[60],3.02583
ln_DDS_rep[61],-0.616317
ln_DDS_rep[62],2.86001
ln_DDS_rep[63],2.5821
ln_DDS_rep[64],2.70526
ln_DDS_rep[65],2.46366
ln_DDS_rep[66],2.51446
ln_DDS_rep[67],4.29167
ln_DDS_rep[68],2.30534
ln_DDS_rep[69],3.71228
ln_DDS_rep[70],2.31421
ln_DDS_rep[71],3.05651
ln_DDS_rep[72],2.42983
ln_DDS_rep[73],1.04852
ln_DDS_rep[74],1.91089
ln_DDS_rep[75],3.25273
ln_DDS_rep[76],4.03409
ln_DDS_rep[77],0.211255
ln_DDS_rep[78],1.65152
ln_DDS_rep[79],2.2623
ln_DDS_rep[80],3.32376
ln_DDS_rep[81],-0.0385553
ln_DDS_rep[82],2.50547
ln_DDS_rep[83],1.79859
ln_DDS_rep[84],2.34703
ln_DDS_rep[85],2.42364
ln_DDS_rep[86],2.4735
