variable,estimate
b_Intercept,1.96921
b_DBH_std,-0.12947999999999998
b_IDBH_stdE2,0.0631919
b_BAL_std,0.08718165
b_CR_std,0.447362
b_SI_std,-0.01168325
b_BA_std,-0.08550595
sd_SPCD__Intercept,0.9883759999999999
Intercept,2.032595
"r_SPCD[11,Intercept]",0.302892
"r_SPCD[15,Intercept]",-0.4251465
"r_SPCD[17,Intercept]",-0.45152749999999997
"r_SPCD[19,Intercept]",-1.075215
"r_SPCD[22,Intercept]",0.9373564999999999
"r_SPCD[42,Intercept]",0.8548169999999999
"r_SPCD[64,Intercept]",-0.9615325
"r_SPCD[72,Intercept]",0.31824050000000004
"r_SPCD[73,Intercept]",0.19122299999999998
"r_SPCD[81,Intercept]",-0.30397450000000004
"r_SPCD[93,Intercept]",-1.0539200000000002
"r_SPCD[101,Intercept]",-1.699035
"r_SPCD[108,Intercept]",-1.392575
"r_SPCD[119,Intercept]",-1.3015349999999999
"r_SPCD[122,Intercept]",0.203642
"r_SPCD[202,Intercept]",-0.1415385
"r_SPCD[231,Intercept]",0.396343
"r_SPCD[242,Intercept]",1.4534500000000001
"r_SPCD[263,Intercept]",1.5229
"r_SPCD[264,Intercept]",0.7027295
"r_SPCD[312,Intercept]",1.03721
"r_SPCD[351,Intercept]",-0.588175
"r_SPCD[352,Intercept]",-0.32413749999999997
"r_SPCD[374,Intercept]",0.718074
"r_SPCD[375,Intercept]",-0.6640440000000001
"r_SPCD[431,Intercept]",0.494962
"r_SPCD[492,Intercept]",0.5449094999999999
"r_SPCD[603,Intercept]",-0.4067945
"r_SPCD[746,Intercept]",-0.6830505
"r_SPCD[747,Intercept]",0.6336845
"r_SPCD[763,Intercept]",0.664811
"r_SPCD[768,Intercept]",-0.7049505
"r_SPCD[815,Intercept]",0.853517
"r_SPCD[901,Intercept]",0.385128
lprior,-3.641255
lp__,-12352.7
