SPCD,ln_sdimax_offset,ln_sdimax,sdimax_bayes,slope_offset,species_slope,qr_sdimax_10,qr_slope,n_stands,w_qr,w_bayes,sdimax_combined,slope_combined,fvs_sdimax_prior
11,0.51596369825,6.3417599332500005,567.7947133586908,-0.0429030120126875,-1.6414698520126874,713.2607877659452,-1.7047390935386875,1016,0.7,0.30000000000000004,669.6209654437689,-1.6857583210808875,NA
15,0.164427015569375,5.990223250569375,399.50378942050884,-0.012286358095457126,-1.610853198095457,553.3960859409142,-1.6850320548735624,815,0.7,0.30000000000000004,507.22839698479254,-1.662778397840131,NA
17,0.04975694404396,5.87555317904396,356.22166053526996,-0.0313183788635575,-1.6298852188635575,483.7325149361794,-1.6391214500667046,1494,0.7,0.30000000000000004,445.4792586159066,-1.6363505807057606,NA
19,0.140030116445125,5.965826351445125,389.87506881963304,-0.0262046873379225,-1.6247715273379224,556.6684322533926,-1.5981401144752239,468,0.7,0.30000000000000004,506.6304232232647,-1.6061295383340335,NA
20,0.4461748203625,6.2719710553625,529.5200633050903,-0.0148272504198225,-1.6133940904198225,NA,NA,NA,NA,NA,NA,NA,NA
21,0.46403950725,6.28983574225,539.0647762448468,-0.03602618874017788,-1.6345930287401778,697.1263811872141,-1.8068313270806893,148,0.7,0.30000000000000004,649.7078997045039,-1.7551598375785358,NA
22,0.4268973625,6.2526935975,519.4100236188593,-0.01587186995898875,-1.6144387099589887,734.9013915876752,-1.246396337099231,179,0.7,0.30000000000000004,670.2539811970305,-1.3568090489571585,NA
41,0.303086274414,6.128882509414001,458.9230318572201,0.0120735635492275,-1.5864932764507724,NA,NA,NA,NA,NA,NA,NA,NA
42,0.460590681375,6.286386916375,537.2088379398624,0.0180799750182125,-1.5804868649817874,678.4641737994954,-1.4968101320444398,46,0.46,0.54,602.1862924352936,-1.5419955678306076,NA
64,-0.787331796375,5.038464438625001,154.2329988602288,0.0362103786083625,-1.5623564613916374,241.40427735536514,-1.4501056263145056,421,0.7,0.30000000000000004,215.25289380682423,-1.4837808768376453,NA
72,-0.37128300797375,5.454513227026251,233.81103047385622,-0.01029708155597375,-1.6088639215559737,NA,NA,NA,NA,NA,NA,NA,NA
73,-0.0091949761444475,5.8166012588555525,335.82871690026127,-0.116074913292925,-1.714641753292925,465.3752575692028,-1.78774178478898,396,0.7,0.30000000000000004,426.51129536852034,-1.7658117753401634,NA
81,0.09282441970423375,5.918620654704234,371.8983836417691,0.08016527095707,-1.51840156904293,565.2474021348038,-1.1786722191111725,103,0.7,0.30000000000000004,507.2426965868934,-1.2805910240906997,NA
93,0.03811780371309625,5.863914038713096,352.0995818998389,-0.005992932240165,-1.604559772240165,482.78021445359445,-1.4627950666987874,333,0.7,0.30000000000000004,443.5760246874678,-1.5053244783612008,NA
98,0.22895781683375,6.054754051833751,426.1340856680722,0.0632237397263375,-1.5353431002736624,552.7835998362604,-1.545363242852783,113,0.7,0.30000000000000004,514.7887455858039,-1.5423572000790469,NA
101,-0.31387788605625,5.51191834894375,247.62570422793817,0.024826384103,-1.5737404558969998,294.7639137165559,-1.6926892404070266,46,0.46,0.54,269.30928059270235,-1.6284568967716124,900
103,0.248561603951625,6.0743578389516255,434.57034874433947,-0.040703824808315,-1.6392706648083148,NA,NA,NA,NA,NA,NA,NA,NA
108,-0.129410471289575,5.696385763710425,297.78917321935506,-0.058366883090375,-1.656933723090375,407.1887518466358,-1.7587556296356053,1747,0.7,0.30000000000000004,374.36887825845156,-1.7282090576720361,674
116,-0.47571544875,5.35008078625,210.62531280855546,-0.02504736206555,-1.62361420206555,NA,NA,NA,NA,NA,NA,NA,NA
117,0.00449371373255,5.83028994873255,340.4573799477634,-0.0041326944299675,-1.6026995344299675,591.7211057317123,-1.4605203117856576,39,0.39,0.61,438.4502330035035,-1.5472496375986866,NA
119,-0.2111567001275,5.6146395348725004,274.4144445274689,0.1704665270425,-1.4281003129574998,NA,NA,NA,NA,NA,NA,NA,645
122,-0.33916952225,5.486626712750001,241.44138049278934,-0.125449806975,-1.724016646975,334.6250151361176,-1.9186889097034596,4065,0.7,0.30000000000000004,306.6699247431191,-1.8602872308849216,645
202,0.2255860061625,6.0513822411625,424.69966187237327,0.018563165687002375,-1.5800036743129975,601.6425755315445,-1.4928802466844169,12402,0.7,0.30000000000000004,548.5597014337932,-1.519017274972991,766
211,-0.0441105136277125,5.781685721372288,324.3054184688046,-0.0895575904711125,-1.6881244304711125,NA,NA,NA,NA,NA,NA,NA,NA
