variable,Estimate,Est.Error,Q2.5,Q97.5
b_Intercept,5.825796235,0.05304404709051943,5.7212,5.927052
b_ln_qmd_centered,-1.59856684,0.019864312962083082,-1.63522,-1.5569294999999999
sd_SPCD__Intercept,0.352078228875,0.04000133819005141,0.283155975,0.43966415
sd_SPCD__ln_qmd_centered,0.08509011025,0.024270175326639498,0.04639969,0.14033027499999998
cor_SPCD__Intercept__ln_qmd_centered,-0.060007773341675,0.20812498022235512,-0.4531139,0.3623126249999999
sigma,0.21402979425,0.0014128360570612763,0.21132487500000002,0.21678405
Intercept,5.8671680875,0.05303946676246519,5.762578749999999,5.968534000000001
"r_SPCD[11,Intercept]",0.51596369825,0.05416220518430726,0.412766175,0.622813975
"r_SPCD[15,Intercept]",0.164427015569375,0.05430853836080006,0.0604638375,0.27008564999999995
"r_SPCD[17,Intercept]",0.04975694404396,0.05371455034225576,-0.0534828,0.15399849999999984
"r_SPCD[19,Intercept]",0.140030116445125,0.05725223710403306,0.0301641025,0.25187495
"r_SPCD[20,Intercept]",0.4461748203625,0.10755559834953768,0.23638537500000004,0.6576929749999999
"r_SPCD[21,Intercept]",0.46403950725,0.059307964677566466,0.3479197,0.5789098249999999
"r_SPCD[22,Intercept]",0.4268973625,0.058515689751251564,0.3118383,0.541339425
"r_SPCD[41,Intercept]",0.303086274414,0.1044415626231201,0.09949837500000001,0.5151028749999996
"r_SPCD[42,Intercept]",0.460590681375,0.0734831187613214,0.317994925,0.604584725
"r_SPCD[64,Intercept]",-0.787331796375,0.05526016102555016,-0.8938875749999999,-0.6801643
"r_SPCD[72,Intercept]",-0.37128300797375,0.09455434297853571,-0.55935225,-0.1872755500000001
"r_SPCD[73,Intercept]",-0.0091949761444475,0.05619511064455202,-0.11755869999999999,0.10025234999999999
"r_SPCD[81,Intercept]",0.09282441970423375,0.06300190061292034,-0.026306069999999997,0.21505589999999988
"r_SPCD[93,Intercept]",0.03811780371309625,0.05656751761484418,-0.07059026,0.14729247499999998
"r_SPCD[98,Intercept]",0.22895781683375,0.06543567509218609,0.103313075,0.355694
"r_SPCD[101,Intercept]",-0.31387788605625,0.07806785549714548,-0.46294420000000003,-0.15747262500000006
"r_SPCD[103,Intercept]",0.248561603951625,0.14783132525950912,-0.03510540499999999,0.5379094999999997
"r_SPCD[108,Intercept]",-0.129410471289575,0.05596613833961294,-0.237582875,-0.019848695000000034
"r_SPCD[116,Intercept]",-0.47571544875,0.08730381515214063,-0.647333225,-0.3047640750000001
"r_SPCD[117,Intercept]",0.00449371373255,0.07603874846286998,-0.1410319,0.15346994999999974
"r_SPCD[119,Intercept]",-0.2111567001275,0.08611235146870085,-0.380078825,-0.04251531250000002
"r_SPCD[122,Intercept]",-0.33916952225,0.053359076793421806,-0.4404695,-0.23457045
"r_SPCD[202,Intercept]",0.2255860061625,0.053101238122709685,0.124679725,0.32909477499999995
"r_SPCD[211,Intercept]",-0.0441105136277125,0.14783491253909645,-0.33361255,0.25165569999999987
"r_SPCD[231,Intercept]",-0.7705950423,0.1979623398114411,-1.15772825,-0.3957276250000001
"r_SPCD[242,Intercept]",0.42729319175,0.05453204839973294,0.323381125,0.533785
"r_SPCD[263,Intercept]",0.432922217,0.053575881982158555,0.330962775,0.5378674249999998
"r_SPCD[264,Intercept]",0.392218464,0.054509849503737114,0.28704425,0.50038505
"r_SPCD[312,Intercept]",-0.02533637730165,0.05797232002497343,-0.139312225,0.0866095599999997
"r_SPCD[351,Intercept]",-0.151626061027,0.05450003751628455,-0.2548603,-0.04463593500000012
"r_SPCD[361,Intercept]",0.1407953436946,0.06616414772904133,0.014085305000000001,0.2700582249999998
"r_SPCD[374,Intercept]",-0.588125240335625,0.1967868997341386,-0.9841672250000001,-0.20730812500000004
"r_SPCD[375,Intercept]",0.0202580347005375,0.09594736807255141,-0.16547584999999998,0.20904612499999997
"r_SPCD[431,Intercept]",0.2760147727025,0.08877232037103963,0.09988734499999999,0.449322825
"r_SPCD[475,Intercept]",-0.3722238324375,0.0801623256704303,-0.527976825,-0.21485547500000005
"r_SPCD[542,Intercept]",-0.118387320783475,0.08481503679355493,-0.285262925,0.046679409999999956
"r_SPCD[603,Intercept]",0.0045816462841249996,0.18591131669983346,-0.3572934,0.3708042999999998
"r_SPCD[631,Intercept]",0.453252866625,0.06233584771330702,0.33365,0.5738620249999999
"r_SPCD[746,Intercept]",-0.31950690041375,0.0847314318071517,-0.4856779,-0.15400727500000003
"r_SPCD[747,Intercept]",-0.1447004971137875,0.07357352942385653,-0.28848285,6.24930449999883e-4
"r_SPCD[763,Intercept]",0.0347559791291875,0.18954346280440718,-0.339751875,0.40584242499999984
"r_SPCD[768,Intercept]",-0.4501136102125,0.12963511927528812,-0.7010957999999999,-0.19675717500000023
"r_SPCD[805,Intercept]",0.1434838987135875,0.0807567663969017,-0.009108597749999997,0.30415695
"r_SPCD[815,Intercept]",-0.36895000075,0.06111159920362625,-0.488235025,-0.25006035000000004
"r_SPCD[818,Intercept]",-0.1520962132786875,0.08001732657579741,-0.31099517500000007,0.0052614264999999725
"r_SPCD[920,Intercept]",-0.346457998852625,0.14949118771012262,-0.6415100499999999,-0.056432040000000176
"r_SPCD[981,Intercept]",0.0871262010770875,0.08610378340317729,-0.08091691749999999,0.2586456249999999
"r_SPCD[999,Intercept]",-0.014834146422425,0.19472790459861727,-0.39764895,0.3682764249999999
"r_SPCD[11,ln_qmd_centered]",-0.0429030120126875,0.03261412188436568,-0.109564575,0.018490092499999933
"r_SPCD[15,ln_qmd_centered]",-0.012286358095457126,0.032151343129393016,-0.0774054025,0.048172519999999996
"r_SPCD[17,ln_qmd_centered]",-0.0313183788635575,0.026940042410307667,-0.086129245,0.01952355749999998
"r_SPCD[19,ln_qmd_centered]",-0.0262046873379225,0.04678047409876573,-0.12009185,0.063711515
"r_SPCD[20,ln_qmd_centered]",-0.0148272504198225,0.08851413201626626,-0.197502875,0.16118577499999986
"r_SPCD[21,ln_qmd_centered]",-0.03602618874017788,0.05436743994665033,-0.1458415,0.06856684749999996
"r_SPCD[22,ln_qmd_centered]",-0.01587186995898875,0.05108704210550457,-0.1202712,0.0830705774999999
"r_SPCD[41,ln_qmd_centered]",0.0120735635492275,0.08342222578199822,-0.14870092499999998,0.18407682499999994
"r_SPCD[42,ln_qmd_centered]",0.0180799750182125,0.06463215956494285,-0.10483205000000001,0.15048567499999993
"r_SPCD[64,ln_qmd_centered]",0.0362103786083625,0.04145728687788938,-0.0447909225,0.11695599999999996
"r_SPCD[72,ln_qmd_centered]",-0.01029708155597375,0.08566335802457016,-0.190760025,0.1552729249999999
"r_SPCD[73,ln_qmd_centered]",-0.116074913292925,0.04452449774633981,-0.205634475,-0.03089229
"r_SPCD[81,ln_qmd_centered]",0.08016527095707,0.06745890305212703,-0.043329547499999996,0.22233767499999998
"r_SPCD[93,ln_qmd_centered]",-0.005992932240165,0.04138862566708444,-0.0876659475,0.07424316999999998
"r_SPCD[98,ln_qmd_centered]",0.0632237397263375,0.052498088017696676,-0.035952965,0.1688720249999999
"r_SPCD[101,ln_qmd_centered]",0.024826384103,0.06983719372205562,-0.11294639999999999,0.16725309999999996
"r_SPCD[103,ln_qmd_centered]",-0.040703824808315,0.08210301799123076,-0.21756092500000002,0.11200202499999995
"r_SPCD[108,ln_qmd_centered]",-0.058366883090375,0.031229073599407606,-0.12117407499999999,8.287903499999978e-4
"r_SPCD[116,ln_qmd_centered]",-0.02504736206555,0.08027544149344008,-0.194470225,0.12606384999999998
"r_SPCD[117,ln_qmd_centered]",-0.0041326944299675,0.07785595625355562,-0.16410207500000001,0.15103329999999998
"r_SPCD[119,ln_qmd_centered]",0.1704665270425,0.09325714468212504,0.015007947500000002,0.38014894999999965
"r_SPCD[122,ln_qmd_centered]",-0.125449806975,0.02421785729225998,-0.175185725,-0.08062625000000001
"r_SPCD[202,ln_qmd_centered]",0.018563165687002375,0.0209325158016857,-0.0253437225,0.05793207749999999
"r_SPCD[211,ln_qmd_centered]",-0.0895575904711125,0.08722552789476254,-0.287167325,0.05978978749999985
"r_SPCD[231,ln_qmd_centered]",0.04137583684746125,0.09478044830334773,-0.13463952499999998,0.24815992499999995
"r_SPCD[242,ln_qmd_centered]",0.02226585032428375,0.030868084705889646,-0.039022062499999996,0.083556615
"r_SPCD[263,ln_qmd_centered]",-0.0707712154833375,0.026588390891599947,-0.12516069999999999,-0.01977050000000001
"r_SPCD[264,ln_qmd_centered]",-0.011303768346047,0.03825902271585113,-0.0861737325,0.06374659249999991
"r_SPCD[312,ln_qmd_centered]",-0.0107113445085425,0.046516380200328514,-0.1025767,0.0810553
"r_SPCD[351,ln_qmd_centered]",0.02372483073562625,0.035161306680469344,-0.0474147425,0.09248658249999996
"r_SPCD[361,ln_qmd_centered]",0.0442441296047825,0.07068349654060262,-0.08737784500000001,0.1936633999999999
"r_SPCD[374,ln_qmd_centered]",0.03593383984105,0.09262715321138522,-0.136631075,0.23300884999999993
"r_SPCD[375,ln_qmd_centered]",-0.035034063742475,0.07874253692962298,-0.20794907499999998,0.11538067499999993
"r_SPCD[431,ln_qmd_centered]",0.00142163142626375,0.08017283685984537,-0.15606399999999998,0.1676368
"r_SPCD[475,ln_qmd_centered]",0.0078619209566325,0.07727406197967565,-0.14552995,0.16449384999999994
"r_SPCD[542,ln_qmd_centered]",-0.072345904265775,0.08239540805794564,-0.252223475,0.07032660749999999
"r_SPCD[603,ln_qmd_centered]",-1.0847816014999999e-4,0.08516151308018094,-0.1720389,0.170939275
"r_SPCD[631,ln_qmd_centered]",-0.0156858570918875,0.05364418099131467,-0.122651475,0.0879338099999999
"r_SPCD[746,ln_qmd_centered]",0.06790961499796624,0.07794654346622852,-0.0752888175,0.22944439999999988
"r_SPCD[747,ln_qmd_centered]",0.05663245602243125,0.06274473883370768,-0.060562214999999996,0.18510787499999978
"r_SPCD[763,ln_qmd_centered]",-0.0019241294031437498,0.08495291135677178,-0.17311815,0.17063119999999998
"r_SPCD[768,ln_qmd_centered]",0.053292449823175,0.08335120222347599,-0.09912026999999998,0.23142672499999983
"r_SPCD[805,ln_qmd_centered]",0.053815776679606,0.08075803141161812,-0.090160045,0.23143384999999997
"r_SPCD[815,ln_qmd_centered]",0.007801757745834875,0.054870617688611616,-0.10072935,0.11557334999999995
"r_SPCD[818,ln_qmd_centered]",0.054196065154775,0.08289888211800857,-0.0933559075,0.23477147499999992
"r_SPCD[920,ln_qmd_centered]",-0.052945346319325,0.08324576196886661,-0.23510182500000001,0.096032225
"r_SPCD[981,ln_qmd_centered]",0.05257824188991,0.0728615161493055,-0.08421240499999999,0.20810837499999996
"r_SPCD[999,ln_qmd_centered]",2.6218537069999995e-4,0.08295957300834658,-0.16362575,0.17011157499999993
lprior,-0.2104511805246125,0.14189824024106643,-0.525686075,0.024132164999999955
lp__,1294.1721875,10.335615467074476,1273.399,1313.6502500000001
