variable,p50,p05,p95,rhat,ess_bulk,ci_width,converged
b_Intercept,0.08787030000000001,-0.1370854,0.31103729999999996,1.0218556878522391,435.2324194634143,0.4481227,TRUE
b_DBH_std,0.1399755,0.12278945,0.15760054999999998,1.0012105704953271,3194.833730303133,0.034811099999999984,TRUE
b_IDBH_stdE2,-0.01492555,-0.020497245,-0.009462288000000001,1.0009571725207607,6249.124905946951,0.011034957,TRUE
b_BA_std,-0.132392,-0.1508756,-0.11381345000000001,1.0006181287783267,2917.9308742408452,0.03706214999999999,TRUE
b_BAL_std,-0.048135700000000003,-0.066320025,-0.029218385000000006,1.0009653042634263,2719.9999976303184,0.03710164,TRUE
b_CR_std,-0.651987,-0.6666890499999999,-0.6365912,1.0000514644372747,5431.541195500533,0.03009784999999987,TRUE
b_SI_std,-0.039423650000000005,-0.053075725,-0.025996645000000013,1.000901165116392,4822.021071913424,0.027079079999999985,TRUE
sd_SPCD__Intercept,0.5280885,0.3843679,0.7715149499999999,1.0013504129367758,876.884821492476,0.38714704999999994,TRUE
sigma,1.2644549999999999,1.256069,1.2725805,1.0022220358597669,6832.445826949786,0.01651149999999979,TRUE
Intercept,0.07042815,-0.15535145,0.29480724999999974,1.0218559320455398,434.8846735891531,0.45015869999999975,TRUE
"r_SPCD[19,Intercept]",0.31289449999999996,0.08931416500000004,0.53711645,1.021151899776203,447.17098024107054,0.4478022849999999,TRUE
"r_SPCD[65,Intercept]",0.8080905,0.5103854999999999,1.124815,1.0082203600240824,917.4956303486757,0.6144295,TRUE
"r_SPCD[66,Intercept]",0.8198955,0.5932617,1.0514785,1.019616996456052,468.50792783655345,0.4582168,TRUE
"r_SPCD[72,Intercept]",0.2485725,-0.4444414499999999,1.011748,1.0007208157069025,4128.027158507596,1.45618945,TRUE
"r_SPCD[73,Intercept]",0.312705,-0.3031296,0.96647689999999975,1.0003156395317425,4284.467662787386,1.2696064999999996,TRUE
"r_SPCD[93,Intercept]",0.466322,0.23856175000000002,0.6930129999999999,1.0231112211364337,436.15517573277157,0.45445124999999986,TRUE
"r_SPCD[101,Intercept]",-1.0385409999999999e-4,-0.2271626,0.22592779999999993,1.0207170414896745,443.7361785324406,0.4530903999999999,TRUE
"r_SPCD[108,Intercept]",-0.39282799999999995,-0.61864945,-0.16804685000000003,1.022426651594871,432.89634293991037,0.4506026,TRUE
"r_SPCD[113,Intercept]",-0.32232150000000004,-0.5625235,-0.08221129000000013,1.0186322719757368,494.40279823869605,0.4803122099999998,TRUE
"r_SPCD[122,Intercept]",-0.126091,-0.3531177,0.09991670999999999,1.0206790302407087,446.6524589473761,0.45303441,TRUE
"r_SPCD[202,Intercept]",-0.1489395,-0.3714751,0.07517771499999977,1.0220926434256303,435.3051314402478,0.44665281499999976,TRUE
"r_SPCD[313,Intercept]",0.182816,-0.57110615,0.9811451499999994,1.0017665879315356,3888.284026701937,1.5522512999999993,TRUE
"r_SPCD[375,Intercept]",-0.48050800000000005,-1.0992340000000003,0.09910601999999992,1.0016492569146134,2914.1139796212174,1.1983400200000003,TRUE
"r_SPCD[475,Intercept]",-0.0663774,-0.42415105,0.2938066,1.0075451645237137,1152.1188715486408,0.71795765,TRUE
"r_SPCD[544,Intercept]",-0.157338,-0.4485113499999999,0.12081919999999996,1.0133137932773177,663.9450169603708,0.5693305499999999,TRUE
"r_SPCD[742,Intercept]",0.2664835,-0.41911199999999993,0.9574470500000001,1.0003102213293529,3399.891194871536,1.37655905,TRUE
"r_SPCD[745,Intercept]",-0.4034225,-0.75007885,-0.06413912000000023,1.0085246460355521,1009.7394474847365,0.6859397299999997,TRUE
"r_SPCD[746,Intercept]",-0.7149179999999999,-0.9663471,-0.47315355000000003,1.0200923136653044,501.1709843826366,0.49319355,TRUE
"r_SPCD[747,Intercept]",-0.49738,-0.86920115,-0.14664755000000007,1.0086529846771972,1208.908493929563,0.7225535999999999,TRUE
"r_SPCD[749,Intercept]",-0.604732,-1.107473,-0.13427400000000006,1.0039203338090021,1741.898053436242,0.9731989999999999,TRUE
"r_SPCD[972,Intercept]",0.44936,-0.3276517999999999,1.3950819999999997,1.0017363318307442,2850.3424975407493,1.7227337999999996,TRUE
lprior,-4.56054,-4.596960500000001,-4.54556,1.0021799870939134,864.7980194714924,0.051400500000000626,TRUE
lp__,-49643.2,-49652.104999999996,-49635.7,1.0063966426790565,952.1629120003767,16.404999999998836,TRUE
