variable,estimate
lp__,-1491.72
mu_b0,0.94427
sigma_b0,0.495024
z_b0[1],0.00558156
z_b0[2],0.320927
z_b0[3],0.0871768
z_b0[4],0.0452988
z_b0[5],0.0239349
z_b0[6],0.0792573
z_b0[7],-0.721103
z_b0[8],0.136647
z_b0[9],-0.867489
z_b0[10],0.587062
z_b0[11],-0.589667
z_b0[12],0.017594
z_b0[13],0.00536172
z_b0[14],0.143287
z_b0[15],0.0369951
z_b0[16],0.321438
z_b0[17],0.517735
z_b0[18],-0.155636
z_b0[19],-0.0128601
b1,0.717323
b2,-0.107292
b3,0.138871
b4,-0.0627045
b5,-0.00476894
b6,0.017346
b7,-0.00524073
b8,-0.0184289
b9,0.001466
b10,0.0118169
b11,4.42842e-5
b12,-0.131759
b13,-0.0775495
sigma,0.704207
b0[1],0.947033
b0[2],1.10314
b0[3],0.987424
b0[4],0.966694
b0[5],0.956118
b0[6],0.983504
b0[7],0.587307
b0[8],1.01191
b0[9],0.514842
b0[10],1.23488
b0[11],0.652371
b0[12],0.952979
b0[13],0.946924
b0[14],1.0152
b0[15],0.962583
b0[16],1.10339
b0[17],1.20056
b0[18],0.867226
b0[19],0.937904
ln_DDS_rep[1],0.670453
ln_DDS_rep[2],1.8959
ln_DDS_rep[3],1.21057
ln_DDS_rep[4],0.778616
ln_DDS_rep[5],1.10087
ln_DDS_rep[6],2.51145
ln_DDS_rep[7],2.25981
ln_DDS_rep[8],2.17823
ln_DDS_rep[9],2.65139
ln_DDS_rep[10],4.0124
ln_DDS_rep[11],2.22534
ln_DDS_rep[12],1.98936
ln_DDS_rep[13],0.1534
ln_DDS_rep[14],2.55335
ln_DDS_rep[15],3.11629
ln_DDS_rep[16],2.39431
ln_DDS_rep[17],1.02569
ln_DDS_rep[18],-0.209545
ln_DDS_rep[19],0.192564
ln_DDS_rep[20],1.45832
ln_DDS_rep[21],0.935551
ln_DDS_rep[22],0.791961
ln_DDS_rep[23],2.468
ln_DDS_rep[24],0.973551
ln_DDS_rep[25],3.18297
ln_DDS_rep[26],4.45415
ln_DDS_rep[27],1.7733
ln_DDS_rep[28],0.950503
ln_DDS_rep[29],1.53228
ln_DDS_rep[30],2.46111
ln_DDS_rep[31],0.844873
ln_DDS_rep[32],1.48908
ln_DDS_rep[33],1.48284
ln_DDS_rep[34],1.38281
ln_DDS_rep[35],3.4381
ln_DDS_rep[36],1.4156
ln_DDS_rep[37],2.02441
ln_DDS_rep[38],1.9562
ln_DDS_rep[39],0.777249
ln_DDS_rep[40],1.17684
ln_DDS_rep[41],2.39685
ln_DDS_rep[42],1.91433
ln_DDS_rep[43],-0.201957
ln_DDS_rep[44],2.99676
ln_DDS_rep[45],2.04381
ln_DDS_rep[46],2.60457
ln_DDS_rep[47],2.26784
ln_DDS_rep[48],4.12283
ln_DDS_rep[49],2.12396
ln_DDS_rep[50],2.17886
ln_DDS_rep[51],1.38857
ln_DDS_rep[52],2.07098
ln_DDS_rep[53],1.67373
ln_DDS_rep[54],2.70709
ln_DDS_rep[55],1.64553
ln_DDS_rep[56],-0.821211
ln_DDS_rep[57],1.62134
ln_DDS_rep[58],1.27346
ln_DDS_rep[59],2.50904
ln_DDS_rep[60],1.78489
ln_DDS_rep[61],0.604263
ln_DDS_rep[62],1.54053
ln_DDS_rep[63],0.528792
ln_DDS_rep[64],0.996883
ln_DDS_rep[65],-0.291501
ln_DDS_rep[66],2.45869
ln_DDS_rep[67],1.10142
ln_DDS_rep[68],1.64556
ln_DDS_rep[69],0.754934
ln_DDS_rep[70],0.594292
ln_DDS_rep[71],1.74901
ln_DDS_rep[72],0.684521
ln_DDS_rep[73],-0.0913662
ln_DDS_rep[74],-0.330282
ln_DDS_rep[75],1.43739
ln_DDS_rep[76],0.82815
ln_DDS_rep[77],0.359458
ln_DDS_rep[78],-0.876723
ln_DDS_rep[79],1.04201
ln_DDS_rep[80],0.464473
ln_DDS_rep[81],2.96095
ln_DDS_rep[82],1.13392
ln_DDS_rep[83],1.59622
ln_DDS_rep[84],1.38729
ln_DDS_rep[85],2.45982
ln_DDS_rep[86],2.10539
ln_DDS_rep[87],2.44701
ln_DDS_rep[88],0.631045
ln_DDS_rep[89],2.57801
ln_DDS_rep[90],0.21981
ln_DDS_rep[91],-0.0793524
ln_DDS_rep[92],2.87707
ln_DDS_rep[93],0.34493
ln_DDS_rep[94],2.26434
ln_DDS_rep[95],1.74254
ln_DDS_rep[96],2.98276
ln_DDS_rep[97],2.09401
ln_DDS_rep[98],-0.705033
ln_DDS_rep[99],3.24655
ln_DDS_rep[100],1.51798
ln_DDS_rep[101],1.62741
ln_DDS_rep[102],1.0514
ln_DDS_rep[103],2.33919
ln_DDS_rep[104],0.260242
ln_DDS_rep[105],1.39616
ln_DDS_rep[106],1.24442
ln_DDS_rep[107],1.64683
ln_DDS_rep[108],0.800326
ln_DDS_rep[109],-0.220192
ln_DDS_rep[110],1.90332
ln_DDS_rep[111],-0.242086
ln_DDS_rep[112],1.5677
ln_DDS_rep[113],0.215522
ln_DDS_rep[114],-0.657117
ln_DDS_rep[115],1.15597
ln_DDS_rep[116],1.67268
ln_DDS_rep[117],1.64998
ln_DDS_rep[118],2.46635
ln_DDS_rep[119],3.16589
ln_DDS_rep[120],3.12251
ln_DDS_rep[121],1.67773
ln_DDS_rep[122],0.177685
ln_DDS_rep[123],3.74226
ln_DDS_rep[124],1.25548
ln_DDS_rep[125],1.70772
ln_DDS_rep[126],4.21306
ln_DDS_rep[127],2.50893
ln_DDS_rep[128],1.31657
ln_DDS_rep[129],0.0949241
ln_DDS_rep[130],1.85691
ln_DDS_rep[131],2.86048
ln_DDS_rep[132],1.18828
ln_DDS_rep[133],2.69646
ln_DDS_rep[134],0.0599667
ln_DDS_rep[135],-0.948847
ln_DDS_rep[136],0.166945
ln_DDS_rep[137],0.382043
ln_DDS_rep[138],2.26067
ln_DDS_rep[139],0.888971
ln_DDS_rep[140],-2.41255
ln_DDS_rep[141],2.07873
ln_DDS_rep[142],-0.300617
ln_DDS_rep[143],0.255569
ln_DDS_rep[144],1.56115
ln_DDS_rep[145],1.934
ln_DDS_rep[146],1.53861
ln_DDS_rep[147],1.89834
ln_DDS_rep[148],1.50989
ln_DDS_rep[149],3.18932
ln_DDS_rep[150],1.60248
ln_DDS_rep[151],0.193684
ln_DDS_rep[152],1.94535
ln_DDS_rep[153],1.63487
ln_DDS_rep[154],1.85579
ln_DDS_rep[155],0.676593
ln_DDS_rep[156],1.57336
ln_DDS_rep[157],-0.169049
ln_DDS_rep[158],1.19043
ln_DDS_rep[159],0.630125
ln_DDS_rep[160],-0.060678
ln_DDS_rep[161],2.74284
ln_DDS_rep[162],2.00317
ln_DDS_rep[163],3.38304
ln_DDS_rep[164],0.881767
ln_DDS_rep[165],1.87546
ln_DDS_rep[166],-0.0507862
ln_DDS_rep[167],0.805991
ln_DDS_rep[168],3.21561
ln_DDS_rep[169],0.563004
ln_DDS_rep[170],0.523164
ln_DDS_rep[171],0.30111
ln_DDS_rep[172],0.971084
ln_DDS_rep[173],1.97178
ln_DDS_rep[174],2.1103
ln_DDS_rep[175],2.83786
ln_DDS_rep[176],1.74145
ln_DDS_rep[177],1.45128
ln_DDS_rep[178],2.36667
ln_DDS_rep[179],-0.0837248
ln_DDS_rep[180],3.16345
ln_DDS_rep[181],-0.372282
ln_DDS_rep[182],2.14515
ln_DDS_rep[183],1.83692
ln_DDS_rep[184],0.0758046
ln_DDS_rep[185],2.71772
ln_DDS_rep[186],-0.23727
ln_DDS_rep[187],1.99897
ln_DDS_rep[188],0.982135
ln_DDS_rep[189],1.56854
ln_DDS_rep[190],1.52292
ln_DDS_rep[191],2.30954
ln_DDS_rep[192],2.2307
ln_DDS_rep[193],1.23482
ln_DDS_rep[194],1.83806
ln_DDS_rep[195],2.32088
ln_DDS_rep[196],1.10857
ln_DDS_rep[197],1.80741
ln_DDS_rep[198],2.29593
ln_DDS_rep[199],3.57704
ln_DDS_rep[200],3.271
ln_DDS_rep[201],1.38063
ln_DDS_rep[202],3.23214
ln_DDS_rep[203],-0.23337
ln_DDS_rep[204],2.21373
ln_DDS_rep[205],-0.283956
ln_DDS_rep[206],1.42345
ln_DDS_rep[207],2.29069
ln_DDS_rep[208],1.0248
ln_DDS_rep[209],0.124308
ln_DDS_rep[210],2.78144
ln_DDS_rep[211],0.922577
ln_DDS_rep[212],0.734511
ln_DDS_rep[213],3.02728
ln_DDS_rep[214],1.89169
ln_DDS_rep[215],0.504241
ln_DDS_rep[216],-0.25477
ln_DDS_rep[217],0.158532
ln_DDS_rep[218],0.407222
ln_DDS_rep[219],0.849917
ln_DDS_rep[220],0.58458
ln_DDS_rep[221],1.5326
ln_DDS_rep[222],1.29334
ln_DDS_rep[223],2.09581
ln_DDS_rep[224],2.42654
ln_DDS_rep[225],0.349706
ln_DDS_rep[226],3.7032
ln_DDS_rep[227],-1.90757
ln_DDS_rep[228],1.02344
ln_DDS_rep[229],2.11243
ln_DDS_rep[230],0.237339
ln_DDS_rep[231],0.975709
ln_DDS_rep[232],0.515072
ln_DDS_rep[233],2.81528
ln_DDS_rep[234],1.08913
