SPCD,n_stands,qr_slope,species_slope,slope_combined,reineke_b_qr,reineke_b_bayes,reineke_b_combined,diff_from_reineke
15,669,-1.7616058267917172,-1.6578506965375188,-1.7304792877154576,1.7616058267917172,1.6578506965375188,1.7304792877154576,0.12547928771545758
17,1084,-1.6156770351508682,-1.6202627698671612,-1.6170527555657561,1.6156770351508682,1.6202627698671612,1.6170527555657561,0.012052755565756135
18,99,-1.8776626479618896,-1.6609040432088251,-1.8126350665359703,1.8776626479618896,1.6609040432088251,1.8126350665359703,0.2076350665359703
19,3084,-1.712912202564171,-1.6642615609173788,-1.6983170100701335,1.712912202564171,1.6642615609173788,1.6983170100701335,0.09331701007013349
20,NA,NA,-1.6364576567858125,NA,NA,1.6364576567858125,NA,NA
51,NA,NA,-1.6877189765015237,NA,NA,1.6877189765015237,NA,NA
59,62,-1.2641909231449522,-1.6343397459078226,-1.4048474757948428,1.2641909231449522,1.6343397459078226,1.4048474757948428,-0.20015252420515717
62,NA,NA,-1.6185232208642097,NA,NA,1.6185232208642097,NA,NA
63,1025,-1.9221781895962198,-1.722617112105875,-1.8623098663491164,1.9221781895962198,1.722617112105875,1.8623098663491164,0.25730986634911646
64,85,-1.180479895623355,-1.4903107556763875,-1.2734291536392648,1.180479895623355,1.4903107556763875,1.2734291536392648,-0.3315708463607352
65,7676,-1.4480468566589824,-1.5314506916625001,-1.4730680071600375,1.4480468566589824,1.5314506916625001,1.4730680071600375,-0.1319319928399625
66,1005,-1.576369054822693,-1.6254410365931626,-1.5910906493538337,1.576369054822693,1.6254410365931626,1.5910906493538337,-0.013909350646166274
69,2738,-1.7891439887694363,-1.685075266179125,-1.757923371992343,1.7891439887694363,1.685075266179125,1.757923371992343,0.15292337199234307
72,NA,NA,-1.6531564716433875,NA,NA,1.6531564716433875,NA,NA
73,460,-1.5894552042002335,-1.6454799595548626,-1.6062626308066223,1.5894552042002335,1.6454799595548626,1.6062626308066223,0.0012626308066223668
93,3407,-1.6892853124721592,-1.64475418650402,-1.6759259746817174,1.6892853124721592,1.64475418650402,1.6759259746817174,0.07092597468171746
94,NA,NA,-1.6240014705002126,NA,NA,1.6240014705002126,NA,NA
96,137,-2.174574439341021,-1.71936122424225,-2.0380104748113896,2.174574439341021,1.71936122424225,2.0380104748113896,0.43301047481138966
101,603,-1.7790661881709036,-1.6904094457572751,-1.752469165446815,1.7790661881709036,1.6904094457572751,1.752469165446815,0.147469165446815
102,54,-1.0210122455095951,-1.5320934517668838,-1.2561096003879477,1.0210122455095951,1.5320934517668838,1.2561096003879477,-0.34889039961205226
106,3113,-1.7470270464755877,-1.6377720965854088,-1.714250561508534,1.7470270464755877,1.6377720965854088,1.714250561508534,0.10925056150853396
108,4730,-1.9499383727653674,-1.759082141225,-1.8926815033032574,1.9499383727653674,1.759082141225,1.8926815033032574,0.28768150330325737
