SPCD,n_stands,ba_p95,ba_p97,ba_p99,ba_max_obs,ba_mean,bamax_calibrated,fvs_bamax_prior,w_obs,w_prior,bamax_combined
15,669,212.05626371720265,222.88802868658235,254.92546833792096,319.2929552084302,122.30989702792792,222.88802868658235,NA,0.8,0.19999999999999996,222.88802868658235
17,1084,265.4770627539083,282.10608107888515,325.16413628178674,384.1503551920475,145.49738563055826,282.10608107888515,NA,0.8,0.19999999999999996,282.10608107888515
18,99,246.11911615999756,258.9432089784649,272.00900493425354,274.58516911041716,125.72850805450052,258.9432089784649,NA,0.8,0.19999999999999996,258.9432089784649
19,3084,201.98824055594267,220.70678856538643,253.29315676394953,408.432817541091,112.54716798736719,220.70678856538643,NA,0.8,0.19999999999999996,220.70678856538643
51,22,138.48523743422388,143.58374807448058,148.56811623012177,151.06030030794238,86.01959912460221,143.58374807448058,NA,0.22,0.78,143.58374807448058
59,62,98.1942306834202,99.31507635354072,102.59086850836914,107.5533503081281,64.53182437809846,99.31507635354072,NA,0.62,0.38,99.31507635354072
63,1025,192.52099821833195,211.0715903429987,247.57206940799995,280.8013408479482,103.22254171418635,211.0715903429987,NA,0.8,0.19999999999999996,211.0715903429987
64,85,217.05403787999998,280.4571587520004,347.3522794799999,365.7899628,107.14692099757563,280.4571587520004,NA,0.8,0.19999999999999996,280.4571587520004
65,7676,226.22176222644256,250.81158766637574,295.81474347851787,568.2953466,114.47000213897128,250.81158766637574,NA,0.8,0.19999999999999996,250.81158766637574
66,1005,171.1561964937593,203.03064389859298,230.61441159103344,376.07048009999994,87.25883588700421,203.03064389859298,NA,0.8,0.19999999999999996,203.03064389859298
69,2738,183.80154140780724,203.29900920901474,230.7855722498565,395.87697564446984,95.86799578297008,203.29900920901474,NA,0.8,0.19999999999999996,203.29900920901474
73,460,215.18178463279455,234.8907272921256,256.28978945327106,319.182458004583,113.09535510556495,234.8907272921256,NA,0.8,0.19999999999999996,234.8907272921256
93,3407,245.44337152544097,264.9048230126131,304.35689009533615,377.69971237447857,135.59355315554123,264.9048230126131,NA,0.8,0.19999999999999996,264.9048230126131
96,137,184.29898610249188,203.7215131613782,210.59154222881466,289.2723232344458,102.21089502550339,203.7215131613782,NA,0.8,0.19999999999999996,203.7215131613782
101,603,230.44093889934652,254.48535843031547,277.3084806987167,333.7001387578799,113.83497991883908,254.48535843031547,140,0.8,0.19999999999999996,231.5882867442524
102,54,240.03900781874222,272.5626650721754,277.5609013090432,282.0559990869583,106.19261121319181,272.5626650721754,NA,0.54,0.45999999999999996,272.5626650721754
106,3113,166.91390982354432,181.89647800417723,207.69847093696194,247.314357,89.54667569067966,181.89647800417723,NA,0.8,0.19999999999999996,181.89647800417723
108,4730,207.78294716051573,224.63160485064472,253.72731409576608,315.23195200889165,114.09097603854885,224.63160485064472,310,0.8,0.19999999999999996,241.70528388051576
113,274,192.53991517260005,206.49217064187357,240.2215664815995,259.85367078866994,99.55399018726595,206.49217064187357,310,0.8,0.19999999999999996,227.19373651349883
114,25,183.7057466284159,189.05791173033657,191.40961836430793,192.58547168129363,117.85567712263926,189.05791173033657,NA,0.25,0.75,189.05791173033657
119,32,152.7187651943674,176.63107132915354,181.80630903495194,184.3939278878511,82.07228482427003,176.63107132915354,NA,0.32,0.6799999999999999,176.63107132915354
122,5316,176.88467705449358,189.49321837850772,223.4884189871343,295.8803568816487,96.28261026814782,189.49321837850772,310,0.8,0.19999999999999996,213.59457470280614
133,1750,171.10066207134963,183.43006515899998,204.168191139,352.30440239999996,94.14972949481762,183.43006515899998,NA,0.8,0.19999999999999996,183.43006515899998
134,59,109.51701012507513,111.43404783566051,126.48089785681344,142.176683720628,60.677194948808385,111.43404783566051,NA,0.59,0.41000000000000003,111.43404783566051
140,25,129.55898655761743,138.58656592042624,143.878778889908,146.52488537464893,68.12000147958462,138.58656592042624,NA,0.25,0.75,138.58656592042624
143,87,109.86197015421138,112.76905767203162,114.4776755913547,118.65149756462806,54.20100769201291,112.76905767203162,NA,0.8,0.19999999999999996,112.76905767203162
202,7217,209.80493798681482,229.61083345711177,272.41199912676694,397.6426582285892,112.61728826591208,229.61083345711177,250,0.8,0.19999999999999996,233.6886667656894
242,448,368.1209505842456,392.43507714737723,444.78130470528896,495.9372912746036,180.62242238524385,392.43507714737723,NA,0.8,0.19999999999999996,392.43507714737723
263,196,258.77276371377855,272.9550294833502,316.97274385760477,378.3575257772504,158.35056871882853,272.9550294833502,NA,0.8,0.19999999999999996,272.9550294833502
264,169,305.33631278877624,315.44185589234144,348.039049484429,388.88671807706345,174.2909994229412,315.44185589234144,NA,0.8,0.19999999999999996,315.44185589234144
322,115,201.4221914112609,222.69008905855233,248.2533006542718,288.4396986,93.6389168528643,222.69008905855233,NA,0.8,0.19999999999999996,222.69008905855233
375,25,195.29865472108412,213.5309611597871,236.04339516184064,247.29961216286753,99.9846085763919,213.5309611597871,390,0.25,0.75,345.88274028994675
475,573,189.70398401332906,203.48110020191655,258.6909974358598,316.2741876,102.39186982008731,203.48110020191655,NA,0.8,0.19999999999999996,203.48110020191655
745,30,212.82358988649165,223.35506449525127,251.9235219231758,266.20775063713796,105.94420013548394,223.35506449525127,500,0.3,0.7,417.00651934857535
746,2410,215.26454758779852,231.99755408807235,267.52319939032145,391.7567477861712,106.35659885382768,231.99755408807235,330,0.8,0.19999999999999996,251.59804327045788
747,46,161.6300744363985,173.4870029966795,180.14191734473343,182.2442054938081,93.8847486080729,173.4870029966795,380,0.46,0.54,285.0040213784726
