variable,estimate
b_Intercept,-0.131967
b_DBH_std,0.26209950000000004
b_IDBH_stdE2,-0.02266915
b_BA_std,-0.2421605
b_BAL_std,-0.0287025
b_CR_std,-0.7891630000000001
b_SI_std,-0.0894807
sd_SPCD__Intercept,0.6045100000000001
sigma,1.303625
Intercept,-0.15305
"r_SPCD[17,Intercept]",0.02672365
"r_SPCD[19,Intercept]",0.336626
"r_SPCD[66,Intercept]",1.5028199999999998
"r_SPCD[72,Intercept]",-0.46224149999999997
"r_SPCD[73,Intercept]",-0.5027029999999999
"r_SPCD[93,Intercept]",0.3388835
"r_SPCD[101,Intercept]",-0.42962900000000004
"r_SPCD[108,Intercept]",-0.4820735
"r_SPCD[119,Intercept]",0.17490050000000001
"r_SPCD[122,Intercept]",-0.157471
"r_SPCD[202,Intercept]",-0.219141
"r_SPCD[231,Intercept]",0.5042475
"r_SPCD[242,Intercept]",0.3404025
"r_SPCD[263,Intercept]",0.3800205
"r_SPCD[264,Intercept]",0.6829715000000001
"r_SPCD[351,Intercept]",-0.4296575
"r_SPCD[374,Intercept]",-0.41999299999999995
"r_SPCD[375,Intercept]",0.0792602
"r_SPCD[746,Intercept]",-0.925938
"r_SPCD[747,Intercept]",-0.330862
lprior,-4.581315
lp__,-50554.9
