variable,p50,p05,p95,rhat,ess_bulk,ci_width,converged
b_Intercept,-0.131967,-0.36161614999999997,0.11382539999999992,1.0114604722020022,435.57711422363576,0.4754415499999999,TRUE
b_DBH_std,0.26209950000000004,0.24245495000000003,0.28180954999999996,1.0005821727840345,2486.6502275764265,0.039354599999999934,TRUE
b_IDBH_stdE2,-0.02266915,-0.02784908,-0.017610065000000005,0.9998256851161123,5021.468395903727,0.010239014999999994,TRUE
b_BA_std,-0.2421605,-0.26471215,-0.22105575000000002,1.0038634124748942,2183.096941224326,0.043656399999999956,TRUE
b_BAL_std,-0.0287025,-0.05053673,-0.006235920500000012,1.0034545239659167,2109.043438593442,0.04430080949999999,TRUE
b_CR_std,-0.7891630000000001,-0.804394,-0.7745129000000001,1.000957064601316,4060.01225644024,0.029881099999999994,TRUE
b_SI_std,-0.0894807,-0.10371630000000001,-0.075927995,1.002106436607888,4892.780510862047,0.027788305000000013,TRUE
sd_SPCD__Intercept,0.6045100000000001,0.4415341,0.8512516499999999,1.003375834642548,627.2440687134911,0.40971754999999993,TRUE
sigma,1.303625,1.2948095,1.3125305,1.0014247956684896,8386.120227215008,0.017721000000000098,TRUE
Intercept,-0.15305,-0.3816659,0.09514938499999989,1.0115350781068808,434.6696920522406,0.4768152849999999,TRUE
"r_SPCD[17,Intercept]",0.02672365,-0.2189366,0.26104799999999984,1.0109905193230329,427.1611348193064,0.4799845999999999,TRUE
"r_SPCD[19,Intercept]",0.336626,0.08722386,0.5751510999999999,1.0108170458270407,445.9026806351667,0.48792723999999993,TRUE
"r_SPCD[66,Intercept]",1.5028199999999998,1.0488790000000001,2.007584,1.0028232493100921,1777.2116619953426,0.9587049999999999,TRUE
"r_SPCD[72,Intercept]",-0.46224149999999997,-0.82877155,-0.09260868500000013,1.0044041296868071,1074.284345159359,0.7361628649999998,TRUE
"r_SPCD[73,Intercept]",-0.5027029999999999,-0.7492389,-0.26525614999999997,1.011858264887101,433.2830171143515,0.4839827500000001,TRUE
"r_SPCD[93,Intercept]",0.3388835,0.08982490500000001,0.5805131999999998,1.010995471776213,452.01406820564785,0.49068829499999983,TRUE
"r_SPCD[101,Intercept]",-0.42962900000000004,-0.7223277,-0.14192365000000012,1.0085152832231086,669.7431268475173,0.5804040499999998,TRUE
"r_SPCD[108,Intercept]",-0.4820735,-0.7296058000000001,-0.24718255000000003,1.0108252043840065,439.9040406686157,0.4824232500000001,TRUE
"r_SPCD[119,Intercept]",0.17490050000000001,-0.10849204999999999,0.4549726,1.007902736481404,602.7920383935641,0.56346465,TRUE
"r_SPCD[122,Intercept]",-0.157471,-0.40388624999999995,0.08654216499999975,1.0116195733305107,461.1695783063599,0.4904284149999997,TRUE
"r_SPCD[202,Intercept]",-0.219141,-0.4660527,0.01359763499999996,1.0113872744328427,441.3163675238272,0.47965033499999993,TRUE
"r_SPCD[231,Intercept]",0.5042475,0.1455253,0.8773529499999998,1.0039481436983402,1119.5154692828983,0.7318276499999998,TRUE
"r_SPCD[242,Intercept]",0.3404025,0.09546356500000001,0.5839838999999998,1.011216442565457,445.92030293470066,0.48852033499999975,TRUE
"r_SPCD[263,Intercept]",0.3800205,0.12613175000000001,0.6289484,1.011210294157813,467.03638999901887,0.50281665,TRUE
"r_SPCD[264,Intercept]",0.6829715000000001,0.42959644999999996,0.9341397,1.010656160641311,472.6164367800935,0.50454325,TRUE
"r_SPCD[351,Intercept]",-0.4296575,-0.95960275,0.07261292499999994,1.0012810552012976,2137.5960718806045,1.0322156749999998,TRUE
"r_SPCD[374,Intercept]",-0.41999299999999995,-1.215978,0.34967504999999993,1.0014725126571646,3106.8894228945187,1.5656530499999999,TRUE
"r_SPCD[375,Intercept]",0.0792602,-0.2093728,0.3686082999999999,1.0075674219787911,630.563377580054,0.5779810999999999,TRUE
"r_SPCD[746,Intercept]",-0.925938,-1.261827,-0.6001619000000004,1.0046625376152045,933.7984519774475,0.6616650999999997,TRUE
"r_SPCD[747,Intercept]",-0.330862,-0.66776785,-0.0022943320000001263,1.00576449970052,813.063420658366,0.6654735179999999,TRUE
lprior,-4.581315,-4.62212,-4.5620895,1.0012519535491708,645.9028176742155,0.060030499999999876,TRUE
lp__,-50554.9,-50564.4,-50547.695,1.001338386369147,722.3630616435815,16.705000000001746,TRUE
