variable,estimate
lp__,-4783.41
mu_b0,1.16042
sigma_b0,0.678823
z_b0[1],0.741973
z_b0[2],-0.22801
z_b0[3],-0.302171
z_b0[4],0.229514
z_b0[5],0.119411
z_b0[6],0.0203048
z_b0[7],-0.590524
z_b0[8],-0.088615
z_b0[9],0.213886
z_b0[10],0.224608
z_b0[11],0.0228865
z_b0[12],-0.822788
z_b0[13],0.292193
z_b0[14],0.212266
z_b0[15],0.173421
z_b0[16],-0.0190911
z_b0[17],-0.0390256
z_b0[18],-0.649135
z_b0[19],0.115234
z_b0[20],0.368395
b1,0.888681
b2,-0.188103
b3,0.10589
b4,-0.0665422
b5,-0.00494482
b6,0.00394356
b7,-0.00114091
b8,-0.148777
b9,-0.0283496
b10,0.0202155
b11,1.10849e-5
b12,-0.205487
b13,0.0119722
sigma,0.711254
b0[1],1.66409
b0[2],1.00564
b0[3],0.955297
b0[4],1.31622
b0[5],1.24148
b0[6],1.1742
b0[7],0.759557
b0[8],1.10026
b0[9],1.30561
b0[10],1.31289
b0[11],1.17595
b0[12],0.60189
b0[13],1.35877
b0[14],1.30451
b0[15],1.27814
b0[16],1.14746
b0[17],1.13393
b0[18],0.71977
b0[19],1.23864
b0[20],1.41049
ln_DDS_rep[1],2.17447
ln_DDS_rep[2],1.09287
ln_DDS_rep[3],3.33175
ln_DDS_rep[4],2.2912
ln_DDS_rep[5],3.55335
ln_DDS_rep[6],1.47385
ln_DDS_rep[7],2.92368
ln_DDS_rep[8],2.12721
ln_DDS_rep[9],0.907751
ln_DDS_rep[10],1.92152
ln_DDS_rep[11],3.06452
ln_DDS_rep[12],3.4262
ln_DDS_rep[13],2.04982
ln_DDS_rep[14],3.69679
ln_DDS_rep[15],2.95395
ln_DDS_rep[16],2.61261
ln_DDS_rep[17],0.193166
ln_DDS_rep[18],2.72406
ln_DDS_rep[19],3.5224
ln_DDS_rep[20],2.69933
ln_DDS_rep[21],1.46134
ln_DDS_rep[22],1.21828
ln_DDS_rep[23],3.05336
ln_DDS_rep[24],1.85248
ln_DDS_rep[25],1.39386
ln_DDS_rep[26],2.64442
ln_DDS_rep[27],2.58762
ln_DDS_rep[28],2.63382
ln_DDS_rep[29],2.90708
ln_DDS_rep[30],1.45158
ln_DDS_rep[31],2.79145
ln_DDS_rep[32],3.79093
ln_DDS_rep[33],2.63933
ln_DDS_rep[34],2.63071
ln_DDS_rep[35],0.823573
ln_DDS_rep[36],3.86808
ln_DDS_rep[37],2.42808
ln_DDS_rep[38],2.40449
ln_DDS_rep[39],1.5064
ln_DDS_rep[40],-0.322834
ln_DDS_rep[41],3.66985
ln_DDS_rep[42],3.35385
ln_DDS_rep[43],2.64837
ln_DDS_rep[44],1.83679
ln_DDS_rep[45],2.02544
ln_DDS_rep[46],3.74009
ln_DDS_rep[47],4.54464
ln_DDS_rep[48],3.03777
ln_DDS_rep[49],1.1082
ln_DDS_rep[50],0.0605145
ln_DDS_rep[51],3.46361
ln_DDS_rep[52],3.36672
ln_DDS_rep[53],3.18634
ln_DDS_rep[54],1.29058
ln_DDS_rep[55],0.628087
ln_DDS_rep[56],2.41233
ln_DDS_rep[57],3.45504
ln_DDS_rep[58],2.4185
ln_DDS_rep[59],4.38721
ln_DDS_rep[60],1.22944
ln_DDS_rep[61],2.41778
ln_DDS_rep[62],3.55522
ln_DDS_rep[63],2.65629
ln_DDS_rep[64],1.81593
ln_DDS_rep[65],3.86448
ln_DDS_rep[66],1.9402
ln_DDS_rep[67],2.85069
ln_DDS_rep[68],0.962686
ln_DDS_rep[69],2.20811
ln_DDS_rep[70],3.33802
ln_DDS_rep[71],2.26908
ln_DDS_rep[72],2.04789
ln_DDS_rep[73],3.48713
ln_DDS_rep[74],2.94462
ln_DDS_rep[75],3.45283
ln_DDS_rep[76],4.50542
ln_DDS_rep[77],0.842252
ln_DDS_rep[78],1.49461
ln_DDS_rep[79],-0.850992
ln_DDS_rep[80],0.0554283
ln_DDS_rep[81],3.6411
ln_DDS_rep[82],1.9517
ln_DDS_rep[83],3.09521
ln_DDS_rep[84],2.86517
ln_DDS_rep[85],2.87251
ln_DDS_rep[86],4.31458
ln_DDS_rep[87],2.14324
ln_DDS_rep[88],1.46547
ln_DDS_rep[89],0.860675
ln_DDS_rep[90],2.06459
ln_DDS_rep[91],2.02987
ln_DDS_rep[92],2.83649
ln_DDS_rep[93],-0.69848
ln_DDS_rep[94],4.09996
ln_DDS_rep[95],0.44353
ln_DDS_rep[96],1.79059
ln_DDS_rep[97],3.09323
ln_DDS_rep[98],2.06949
ln_DDS_rep[99],2.11087
ln_DDS_rep[100],2.64876
ln_DDS_rep[101],1.81152
ln_DDS_rep[102],0.685369
ln_DDS_rep[103],2.8534
ln_DDS_rep[104],3.8156
ln_DDS_rep[105],2.09697
ln_DDS_rep[106],5.71993
ln_DDS_rep[107],1.76004
ln_DDS_rep[108],2.20749
ln_DDS_rep[109],2.19121
ln_DDS_rep[110],4.41044
ln_DDS_rep[111],3.07888
ln_DDS_rep[112],2.346
ln_DDS_rep[113],3.56325
ln_DDS_rep[114],0.348205
ln_DDS_rep[115],1.90617
ln_DDS_rep[116],1.71949
ln_DDS_rep[117],3.08266
ln_DDS_rep[118],2.88907
ln_DDS_rep[119],1.63424
ln_DDS_rep[120],2.1558
ln_DDS_rep[121],4.2203
ln_DDS_rep[122],0.359376
ln_DDS_rep[123],4.31005
ln_DDS_rep[124],0.172674
ln_DDS_rep[125],2.10664
ln_DDS_rep[126],2.10946
ln_DDS_rep[127],3.12814
ln_DDS_rep[128],2.00888
ln_DDS_rep[129],3.79825
ln_DDS_rep[130],3.49154
ln_DDS_rep[131],1.25124
ln_DDS_rep[132],-0.391181
ln_DDS_rep[133],2.50249
ln_DDS_rep[134],1.2128
ln_DDS_rep[135],-0.104844
ln_DDS_rep[136],1.94081
ln_DDS_rep[137],3.38901
ln_DDS_rep[138],3.61229
ln_DDS_rep[139],2.22214
ln_DDS_rep[140],-1.79668
ln_DDS_rep[141],3.73828
ln_DDS_rep[142],2.26009
ln_DDS_rep[143],2.67851
