variable,p50,p05,p95,rhat,ess_bulk,ci_width,converged
lp__,-13009.3,-16924.71,-11669.49,NA,NA,5255.219999999999,NA
lp_approx__,-17.86825,-25.508295,-11.791060000000002,NA,NA,13.717234999999999,NA
mu_b0,1.173085,0.96334525,1.4012639999999998,NA,NA,0.4379187499999998,NA
sigma_b0,0.1653675,0.11766225000000001,0.2371257,NA,NA,0.11946344999999998,NA
z_b0[1],1.7894549999999998,1.056859,2.5135745000000003,NA,NA,1.4567155000000003,NA
z_b0[2],-0.480711,-1.2583055,0.26671914999999874,NA,NA,1.5250246499999989,NA
z_b0[3],-0.2974025,-1.820918,1.2465239999999993,NA,NA,3.0674419999999993,NA
z_b0[4],0.15796149999999998,-1.2930645000000003,1.653810499999999,NA,NA,2.9468749999999995,NA
z_b0[5],0.15586,-0.5272882,0.8355817999999996,NA,NA,1.3628699999999996,NA
z_b0[6],0.1412015,-0.6186267,0.9393307499999999,NA,NA,1.55795745,NA
z_b0[7],-1.188685,-2.351676,0.04147648999999996,NA,NA,2.39315249,NA
z_b0[8],-0.2887575,-0.8260823999999999,0.2555133499999998,NA,NA,1.0815957499999997,NA
z_b0[9],0.299618,-0.85153375,1.4437234999999997,NA,NA,2.2952572499999997,NA
z_b0[10],0.3293815,-0.49677905,1.103713,NA,NA,1.60049205,NA
z_b0[11],-0.005201965,-0.6282092499999999,0.6151536,NA,NA,1.24336285,NA
z_b0[12],-1.0899299999999998,-2.586054,0.49208624999999984,NA,NA,3.0781402499999997,NA
z_b0[13],0.46438,-0.25106304999999995,1.2087029999999999,NA,NA,1.4597660499999998,NA
z_b0[14],0.1604095,-0.73438285,1.0688719999999998,NA,NA,1.8032548499999999,NA
z_b0[15],0.461002,-0.39791639999999995,1.3783895,NA,NA,1.7763058999999999,NA
z_b0[16],0.042922,-1.4772079999999999,1.6823455,NA,NA,3.1595535,NA
z_b0[17],0.00435505,-1.6696490000000002,1.7131944999999995,NA,NA,3.3828435,NA
z_b0[18],-1.3446150000000001,-2.545824,-0.1969321,NA,NA,2.3488919,NA
z_b0[19],-0.337998,-1.720837,0.9923348999999991,NA,NA,2.713171899999999,NA
z_b0[20],0.3655705,-1.030066,1.7310984999999994,NA,NA,2.7611644999999996,NA
b1,0.872352,0.8498201,0.894763,NA,NA,0.04494290000000001,NA
b2,-0.15453,-0.17676585,-0.13276185000000001,NA,NA,0.04400399999999999,NA
b3,0.1205705,0.09565586499999999,0.14441715,NA,NA,0.048761285,NA
b4,-0.04287215,-0.06618122,-0.02060332,NA,NA,0.0455779,NA
b5,-0.0202769,-0.11471309999999998,0.07700153500000001,NA,NA,0.191714635,NA
b6,-0.0019358600000000002,-0.02286523,0.018618509999999987,NA,NA,0.04148373999999999,NA
b7,-0.0070758750000000006,-0.033117855,0.018639865,NA,NA,0.05175772,NA
b8,-0.177533,-0.2075766,-0.14736870000000002,NA,NA,0.06020789999999998,NA
b9,-0.036566299999999996,-0.14377245000000002,0.07087084999999993,NA,NA,0.21464329999999995,NA
b10,0.02212345,0.017023295,0.027154449999999997,NA,NA,0.010131154999999996,NA
b11,1.2054249999999999e-4,4.2609675e-5,1.9787804999999998e-4,NA,NA,1.5526837499999998e-4,NA
b12,-0.201471,-0.23856480000000002,-0.16507470000000002,NA,NA,0.0734901,NA
b13,0.0199749,-0.02769872,0.066593175,NA,NA,0.094291895,NA
sigma,0.925404,0.8695323,0.9866913,NA,NA,0.11715900000000001,NA
b0[1],1.4762,1.219459,1.767465,NA,NA,0.548006,NA
b0[2],1.0971549999999999,0.837251,1.3501085000000002,NA,NA,0.5128575000000002,NA
b0[3],1.12494,0.78224095,1.4672314999999998,NA,NA,0.6849905499999998,NA
b0[4],1.1996799999999999,0.8743212,1.5421819999999997,NA,NA,0.6678607999999997,NA
b0[5],1.2017099999999998,0.95915625,1.45874,NA,NA,0.4995837499999999,NA
b0[6],1.20262,0.9517558,1.4644914999999996,NA,NA,0.5127356999999996,NA
b0[7],0.9787049999999999,0.6638360500000001,1.2828939999999998,NA,NA,0.6190579499999996,NA
b0[8],1.12204,0.8965924000000001,1.3740674999999998,NA,NA,0.4774750999999997,NA
b0[9],1.2248299999999999,0.93435105,1.521869,NA,NA,0.58751795,NA
b0[10],1.228895,0.97610275,1.4899015,NA,NA,0.51379875,NA
b0[11],1.175415,0.9383516999999999,1.4264510000000001,NA,NA,0.48809930000000024,NA
b0[12],0.9917644999999999,0.63136675,1.3425415,NA,NA,0.7111747500000001,NA
b0[13],1.252375,1.0093955,1.517764,NA,NA,0.5083685,NA
b0[14],1.2057449999999998,0.9398811999999999,1.484095,NA,NA,0.5442138000000001,NA
b0[15],1.25427,0.99163505,1.538409,NA,NA,0.54677395,NA
b0[16],1.186305,0.8396663999999999,1.5503084999999999,NA,NA,0.7106420999999999,NA
b0[17],1.17206,0.8104623000000001,1.5491074999999999,NA,NA,0.7386451999999998,NA
b0[18],0.949809,0.6297448999999999,1.2537224999999999,NA,NA,0.6239775999999999,NA
b0[19],1.123005,0.79491675,1.4418805,NA,NA,0.64696375,NA
b0[20],1.23725,0.9109237000000001,1.5709569999999997,NA,NA,0.6600332999999996,NA
ln_DDS_rep[1],1.75321,0.22390990000000002,3.3132619999999995,NA,NA,3.0893520999999993,NA
ln_DDS_rep[2],1.617445,0.033876010000000026,3.169117999999999,NA,NA,3.135241989999999,NA
ln_DDS_rep[3],3.56692,1.906817,5.2454089999999995,NA,NA,3.3385919999999993,NA
