variable,Estimate,Est.Error,Q2.5,Q97.5,Rhat,Bulk_ESS,Q5,Q95
b_a_Intercept,57.658738125,10.242733510468561,36.7063125,76.66646,NA,NA,NA,NA
b_b_Intercept,0.0537730165825,0.01916032598834053,0.0156627975,0.09092494749999999,NA,NA,NA,NA
b_c_Intercept,1.2910002575,0.013978464102803357,1.2641995,1.3183410000000002,NA,NA,NA,NA
sd_SPCD__a_Intercept,56.839763225,11.733675404420994,37.990565000000004,83.81052500000001,NA,NA,NA,NA
sd_SPCD__b_Intercept,2.9360553975,0.5494774021071281,2.0573617500000005,4.199756750000001,NA,NA,NA,NA
sigma,11.521609625,0.04538933699491088,11.4329925,11.6129025,NA,NA,NA,NA
"r_SPCD__a[17,Intercept]",91.01054525,10.565482674487647,71.5200025,112.65180000000001,NA,NA,NA,NA
"r_SPCD__a[19,Intercept]",52.5478216,10.50687683251578,32.7251125,73.7287175,NA,NA,NA,NA
"r_SPCD__a[66,Intercept]",-22.0405578782,28.46600042797607,-55.709582499999996,53.45722750000004,NA,NA,NA,NA
"r_SPCD__a[72,Intercept]",-6.45843987225,11.41306449277972,-26.977357500000004,16.984027500000007,NA,NA,NA,NA
"r_SPCD__a[73,Intercept]",71.579229675,10.353140540550726,52.273247500000004,92.66103000000001,NA,NA,NA,NA
"r_SPCD__a[93,Intercept]",76.3612016,10.548793042468445,56.8678975,97.9172175,NA,NA,NA,NA
"r_SPCD__a[94,Intercept]",57.069716514275,29.3386055761719,10.8084625,127.35007499999999,NA,NA,NA,NA
"r_SPCD__a[101,Intercept]",20.6606383036,11.487566804780641,-0.6397589749999999,44.3643675,NA,NA,NA,NA
"r_SPCD__a[108,Intercept]",31.089813245,10.304251424659922,11.932955,51.92868250000001,NA,NA,NA,NA
"r_SPCD__a[119,Intercept]",119.2003746,15.619316179087848,90.8500775,152.19977500000002,NA,NA,NA,NA
"r_SPCD__a[122,Intercept]",74.462058825,10.771188693272375,54.55511,95.73789500000001,NA,NA,NA,NA
"r_SPCD__a[202,Intercept]",55.8843641,10.340249478122306,36.84064,76.66391000000002,NA,NA,NA,NA
"r_SPCD__a[231,Intercept]",-3.9464220495249998,31.161342072976836,-46.087115,74.61611250000004,NA,NA,NA,NA
"r_SPCD__a[242,Intercept]",63.387521425,10.473666984865469,43.7645225,84.3148,NA,NA,NA,NA
"r_SPCD__a[263,Intercept]",66.158038675,10.887871940680416,45.5974025,88.35975,NA,NA,NA,NA
"r_SPCD__a[264,Intercept]",76.504785975,12.447627155025708,53.165855,101.89127500000004,NA,NA,NA,NA
"r_SPCD__a[310,Intercept]",4.3654083221505,33.65181665337235,-42.4670275,89.61534250000004,NA,NA,NA,NA
"r_SPCD__a[321,Intercept]",-21.8293427854525,11.028257158593153,-42.62117250000001,1.244476250000001,NA,NA,NA,NA
"r_SPCD__a[351,Intercept]",5.2335427186875,17.693337205984655,-23.108987499999998,45.10378500000002,NA,NA,NA,NA
"r_SPCD__a[374,Intercept]",27.35275723209425,34.689509431018834,-24.6074275,111.33775000000004,NA,NA,NA,NA
"r_SPCD__a[375,Intercept]",10.887546359165,10.730981251069874,-9.14581575,32.6869,NA,NA,NA,NA
"r_SPCD__a[740,Intercept]",53.369666376725,30.238501934738395,6.559919250000003,124.76012500000002,NA,NA,NA,NA
"r_SPCD__a[746,Intercept]",34.68652782825,12.964488724702811,10.29197,61.31313000000001,NA,NA,NA,NA
"r_SPCD__a[747,Intercept]",38.7515698875,11.64203478490837,17.128202499999997,62.454865,NA,NA,NA,NA
