variable,estimate
b_Intercept,2.13699
b_DBH_std,-0.5370794999999999
b_IDBH_stdE2,0.0772253
b_BAL_std,-0.441519
b_CR_std,0.5260735000000001
b_SI_std,0.05478185
b_BA_std,0.409339
sd_SPCD__Intercept,0.7201655
Intercept,2.209975
"r_SPCD[17,Intercept]",-0.09345995
"r_SPCD[19,Intercept]",-0.8806095
"r_SPCD[66,Intercept]",0.2188945
"r_SPCD[72,Intercept]",0.434164
"r_SPCD[73,Intercept]",0.6656475
"r_SPCD[93,Intercept]",-0.1307645
"r_SPCD[101,Intercept]",-1.5028350000000001
"r_SPCD[108,Intercept]",-0.5914665
"r_SPCD[119,Intercept]",-0.9843715
"r_SPCD[122,Intercept]",0.5763815
"r_SPCD[202,Intercept]",0.29106699999999996
"r_SPCD[231,Intercept]",0.748337
"r_SPCD[242,Intercept]",0.47760250000000004
"r_SPCD[263,Intercept]",0.527889
"r_SPCD[264,Intercept]",0.5301605
"r_SPCD[351,Intercept]",-0.10158249999999999
"r_SPCD[374,Intercept]",0.18749
"r_SPCD[375,Intercept]",-0.6151845
"r_SPCD[746,Intercept]",0.143539
"r_SPCD[747,Intercept]",0.0838221
lprior,-3.6595750000000002
lp__,-10737.2
