variable,p50,p05,p95,rhat,ess_bulk,ci_width,converged
b_Intercept,2.13699,1.840749,2.4469905,1.0066027831255,678.2570689116891,0.6062415000000001,TRUE
b_DBH_std,-0.5370794999999999,-0.58177235,-0.49065945,1.002042733405158,3143.068335476169,0.09111290000000005,TRUE
b_IDBH_stdE2,0.0772253,0.059414514999999994,0.09579139499999999,1.000654125740332,4537.999668137597,0.03637687999999999,TRUE
b_BAL_std,-0.441519,-0.489185,-0.3924396,1.0023487219845748,2725.830786186735,0.09674539999999998,TRUE
b_CR_std,0.5260735000000001,0.49200384999999996,0.56198035,1.0035506060408972,4488.678645049465,0.06997650000000005,TRUE
b_SI_std,0.05478185,0.020697835,0.08749600499999999,1.0000877688822516,4953.714673928059,0.06679816999999999,TRUE
b_BA_std,0.409339,0.35970855,0.45835105,1.0028188217364042,2825.5510745264746,0.09864249999999997,TRUE
sd_SPCD__Intercept,0.7201655,0.53713745,1.0252534999999998,1.0009297902047354,941.1736111004293,0.4881160499999998,TRUE
Intercept,2.209975,1.918858,2.520151,1.0073266928193942,668.098138072719,0.6012929999999999,TRUE
"r_SPCD[17,Intercept]",-0.09345995,-0.40871095,0.20941409999999994,1.0050479819337415,717.2731333935752,0.61812505,TRUE
"r_SPCD[19,Intercept]",-0.8806095,-1.198139,-0.5813216000000002,1.005386513893855,722.0257448031599,0.6168173999999998,TRUE
"r_SPCD[66,Intercept]",0.2188945,-0.67824595,1.2318529999999999,1.0009469435968,4613.265611183518,1.9100989499999999,TRUE
"r_SPCD[72,Intercept]",0.434164,-0.27602489999999996,1.2637249999999998,1.0004740872724676,3033.290365584247,1.5397498999999997,TRUE
"r_SPCD[73,Intercept]",0.6656475,0.3328996,0.9899205499999998,1.00455300633546,701.7216030328344,0.6570209499999997,TRUE
"r_SPCD[93,Intercept]",-0.1307645,-0.4582582,0.1839538999999999,1.0055362229627203,677.8938261140618,0.6422120999999998,TRUE
"r_SPCD[101,Intercept]",-1.5028350000000001,-1.8938585000000001,-1.1403640000000002,1.004673085587078,973.379078144468,0.7534945,TRUE
"r_SPCD[108,Intercept]",-0.5914665,-0.90520385,-0.29840505,1.0058718532625357,705.2100282335288,0.6067988,TRUE
"r_SPCD[119,Intercept]",-0.9843715,-1.3823794999999999,-0.58121405,1.0029802916797421,1177.7335689334789,0.8011654499999998,TRUE
"r_SPCD[122,Intercept]",0.5763815,0.21989985000000004,0.9386953,1.0031659857771795,925.3699122197365,0.71879545,TRUE
"r_SPCD[202,Intercept]",0.29106699999999996,-0.028282604999999968,0.5879130499999999,1.0054479024976128,705.8170796586069,0.616195655,TRUE
"r_SPCD[231,Intercept]",0.748337,0.007225617000000015,1.712186,1.0003796756804384,3299.432276413396,1.704960383,TRUE
"r_SPCD[242,Intercept]",0.47760250000000004,0.13488725000000001,0.8028170499999997,1.004156036154003,805.012963715095,0.6679297999999997,TRUE
"r_SPCD[263,Intercept]",0.527889,0.16295435,0.9108911999999999,1.003176263037445,908.8750194484298,0.7479368499999999,TRUE
"r_SPCD[264,Intercept]",0.5301605,0.13981015,0.9313669499999999,1.002070007270776,1094.289150602283,0.7915568,TRUE
"r_SPCD[351,Intercept]",-0.10158249999999999,-0.9759166,0.8628880499999997,1.0033450976575162,3744.561147820235,1.8388046499999997,TRUE
"r_SPCD[374,Intercept]",0.18749,-0.93685905,1.3270539999999995,1.0014089409426212,4681.750655298952,2.2639130499999993,TRUE
"r_SPCD[375,Intercept]",-0.6151845,-1.0329325,-0.2171383500000004,1.0026689093024224,1118.78731279741,0.8157941499999997,TRUE
"r_SPCD[746,Intercept]",0.143539,-0.3984836,0.7247622499999999,1.002016991877309,1803.6588338766994,1.12324585,TRUE
"r_SPCD[747,Intercept]",0.0838221,-0.4999764,0.7124773499999999,1.0020146911094747,2200.7101341986095,1.2124537499999999,TRUE
lprior,-3.6595750000000002,-3.803766,-3.5537555,1.0104047249695491,747.9983226253595,0.25001050000000014,TRUE
lp__,-10737.2,-10745.5,-10730.6,1.00097717479129,901.7982606231628,14.899999999999636,TRUE
